#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
27737at50557_13686_0:00042a|STRG.17337.1:0-1832|+     -            611 27737at50557         -            506  4.4e-264  875.6  10.1   1   1  2.2e-265  1.6e-263  873.8  10.1     6   506    27   605    22   605 0.91 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+    -            289 27737at50557         -            506   6.7e-05   20.6   0.5   4   6       2.4   1.7e+02   -0.6   0.0   185   213   136   164   130   174 0.58 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+    -            289 27737at50557         -            506   6.7e-05   20.6   0.5   5   6      0.44        32    1.8   0.0   186   218   180   212   175   225 0.87 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+    -            289 27737at50557         -            506   6.7e-05   20.6   0.5   6   6      0.63        46    1.3   0.1    38    79   226   266   216   288 0.77 -
43553at50557_136037_0:001d49|STRG.1233.2:37-822|+     -            262 27737at50557         -            506   7.2e-05   20.5   0.1   1   3     0.003      0.22    9.0   0.0    34   102    16    90     5    99 0.79 -
43553at50557_136037_0:001d49|STRG.1233.2:37-822|+     -            262 27737at50557         -            506   7.2e-05   20.5   0.1   2   3      0.12       8.9    3.7   0.0   173   213   137   177   116   183 0.66 -
43553at50557_136037_0:001d49|STRG.1233.2:37-822|+     -            262 27737at50557         -            506   7.2e-05   20.5   0.1   3   3     0.088       6.4    4.1   0.0   176   218   182   224   174   228 0.82 -
43121at50557_103372_0:001d6c|STRG.17025.1:106-1101|+  -            332 27737at50557         -            506   9.3e-05   20.1   0.1   1   2   0.00011     0.008   13.7   0.0   185   242   219   274   196   278 0.79 -
43121at50557_103372_0:001d6c|STRG.17025.1:106-1101|+  -            332 27737at50557         -            506   9.3e-05   20.1   0.1   2   2     0.013      0.98    6.8   0.1    30    79   263   312   252   331 0.77 -
71739at50557_103372_0:00145d|STRG.17862.2:112-1044|+  -            311 27737at50557         -            506    0.0001   20.0   0.0   1   2       7.2   5.3e+02   -2.2   0.0   187   214    59    86    51    96 0.80 -
71739at50557_103372_0:00145d|STRG.17862.2:112-1044|+  -            311 27737at50557         -            506    0.0001   20.0   0.0   2   2   4.1e-06    0.0003   18.4   0.0    44   108   160   230   148   248 0.79 -
40115at50557_103372_0:0021d6|STRG.8786.4:187-1578|+   -            464 27737at50557         -            506   0.00019   19.1   0.0   1   3     0.011      0.83    7.1   0.0   183   211   123   151   100   159 0.85 -
40115at50557_103372_0:0021d6|STRG.8786.4:187-1578|+   -            464 27737at50557         -            506   0.00019   19.1   0.0   2   3      0.27        20    2.5   0.0    31    64   251   284   223   303 0.84 -
40115at50557_103372_0:0021d6|STRG.8786.4:187-1578|+   -            464 27737at50557         -            506   0.00019   19.1   0.0   3   3     0.042         3    5.2   0.0   185   216   373   404   365   420 0.83 -
33043at50557_454923_0:001231|STRG.5794.1:3409-4779|+  -            457 27737at50557         -            506   0.00037   18.1   1.8   1   5       1.6   1.2e+02   -0.0   0.0    31    59     1    30     1    37 0.84 -
33043at50557_454923_0:001231|STRG.5794.1:3409-4779|+  -            457 27737at50557         -            506   0.00037   18.1   1.8   2   5      0.26        19    2.6   0.0   185   218    90   123    84   139 0.90 -
33043at50557_454923_0:001231|STRG.5794.1:3409-4779|+  -            457 27737at50557         -            506   0.00037   18.1   1.8   3   5       6.8   4.9e+02   -2.1   0.0    34    58   130   154   127   159 0.79 -
33043at50557_454923_0:001231|STRG.5794.1:3409-4779|+  -            457 27737at50557         -            506   0.00037   18.1   1.8   4   5       1.8   1.3e+02   -0.2   0.0   182   216   222   256   208   271 0.80 -
33043at50557_454923_0:001231|STRG.5794.1:3409-4779|+  -            457 27737at50557         -            506   0.00037   18.1   1.8   5   5    0.0053      0.38    8.2   0.1    31    96   341   414   326   425 0.58 -
33043at50557_454923_0:001231|STRG.5794.2:2369-3739|+  -            457 27737at50557         -            506   0.00037   18.1   1.8   1   5       1.6   1.2e+02   -0.0   0.0    31    59     1    30     1    37 0.84 -
33043at50557_454923_0:001231|STRG.5794.2:2369-3739|+  -            457 27737at50557         -            506   0.00037   18.1   1.8   2   5      0.26        19    2.6   0.0   185   218    90   123    84   139 0.90 -
33043at50557_454923_0:001231|STRG.5794.2:2369-3739|+  -            457 27737at50557         -            506   0.00037   18.1   1.8   3   5       6.8   4.9e+02   -2.1   0.0    34    58   130   154   127   159 0.79 -
33043at50557_454923_0:001231|STRG.5794.2:2369-3739|+  -            457 27737at50557         -            506   0.00037   18.1   1.8   4   5       1.8   1.3e+02   -0.2   0.0   182   216   222   256   208   271 0.80 -
33043at50557_454923_0:001231|STRG.5794.2:2369-3739|+  -            457 27737at50557         -            506   0.00037   18.1   1.8   5   5    0.0053      0.38    8.2   0.1    31    96   341   414   326   425 0.58 -
13625at50557_34720_0:001854|STRG.11388.1:116-2269|+   -            718 27737at50557         -            506   0.00042   17.9   0.0   1   2      0.38        27    2.1   0.0   116   197    72   150    25   166 0.78 -
13625at50557_34720_0:001854|STRG.11388.1:116-2269|+   -            718 27737at50557         -            506   0.00042   17.9   0.0   2   2   0.00034     0.025   12.1   0.0    28   100   430   509   414   531 0.70 -
43553at50557_79782_0:002ee3|STRG.1233.1:273-1064|+    -            264 27737at50557         -            506   0.00053   17.6   0.1   1   3     0.021       1.5    6.2   0.0    42   102    26    92    10   101 0.76 -
43553at50557_79782_0:002ee3|STRG.1233.1:273-1064|+    -            264 27737at50557         -            506   0.00053   17.6   0.1   2   3      0.11       7.9    3.9   0.0   173   212   139   178   114   185 0.62 -
43553at50557_79782_0:002ee3|STRG.1233.1:273-1064|+    -            264 27737at50557         -            506   0.00053   17.6   0.1   3   3     0.089       6.5    4.1   0.0   176   218   184   226   176   230 0.82 -
14512at50557_197043_0:0050fb|STRG.8781.1:32-376|-     -            115 27737at50557         -            506   0.00083   17.0   1.2   1   2   3.1e-05    0.0023   15.5   1.2    31    97     4    78     3    87 0.79 -
14512at50557_197043_0:0050fb|STRG.8781.1:32-376|-     -            115 27737at50557         -            506   0.00083   17.0   1.2   2   2   0.00074     0.054   11.0   0.2    34    77    50    93    40   115 0.63 -
57752at50557_38123_0:002253|STRG.10261.2:552-1097|+   -            182 27737at50557         -            506    0.0016   16.1   0.0   1   1   3.7e-05    0.0027   15.3   0.0    48    97    47   103    19   114 0.83 -
57752at50557_38123_0:002253|STRG.10261.3:675-1220|+   -            182 27737at50557         -            506    0.0016   16.1   0.0   1   1   3.7e-05    0.0027   15.3   0.0    48    97    47   103    19   114 0.83 -
57752at50557_69319_0:000ee5|STRG.10430.1:187-990|+    -            268 27737at50557         -            506    0.0018   15.9   2.9   1   3      0.34        25    2.2   0.1    40    75    39    73    32    81 0.77 -
57752at50557_69319_0:000ee5|STRG.10430.1:187-990|+    -            268 27737at50557         -            506    0.0018   15.9   2.9   2   3   0.00014      0.01   13.4   0.6    30    96    70   145    49   155 0.76 -
57752at50557_69319_0:000ee5|STRG.10430.1:187-990|+    -            268 27737at50557         -            506    0.0018   15.9   2.9   3   3       1.8   1.3e+02   -0.2   0.0    45    59   216   230   200   237 0.76 -
57752at50557_69319_0:000ee5|STRG.10430.2:78-881|+     -            268 27737at50557         -            506    0.0018   15.9   2.9   1   3      0.34        25    2.2   0.1    40    75    39    73    32    81 0.77 -
57752at50557_69319_0:000ee5|STRG.10430.2:78-881|+     -            268 27737at50557         -            506    0.0018   15.9   2.9   2   3   0.00014      0.01   13.4   0.6    30    96    70   145    49   155 0.76 -
57752at50557_69319_0:000ee5|STRG.10430.2:78-881|+     -            268 27737at50557         -            506    0.0018   15.9   2.9   3   3       1.8   1.3e+02   -0.2   0.0    45    59   216   230   200   237 0.76 -
40115at50557_597456_0:00265e|STRG.8786.8:187-1611|+   -            450 27737at50557         -            506    0.0021   15.7   0.1   1   4         3   2.2e+02   -0.9   0.0   189   211   120   142   109   149 0.86 -
40115at50557_597456_0:00265e|STRG.8786.8:187-1611|+   -            450 27737at50557         -            506    0.0021   15.7   0.1   2   4      0.26        19    2.6   0.0    31    64   224   257   196   276 0.84 -
40115at50557_597456_0:00265e|STRG.8786.8:187-1611|+   -            450 27737at50557         -            506    0.0021   15.7   0.1   3   4    0.0064      0.47    7.9   0.0    31    96   336   408   327   415 0.64 -
40115at50557_597456_0:00265e|STRG.8786.8:187-1611|+   -            450 27737at50557         -            506    0.0021   15.7   0.1   4   4       3.2   2.3e+02   -1.0   0.0   171   207   412   448   408   449 0.89 -
40115at50557_29031_0:00277e|STRG.18596.1:1326-2111|+  -            262 27737at50557         -            506    0.0024   15.4   0.2   1   4       2.2   1.6e+02   -0.4   0.0   194   220    61    88    48   109 0.69 -
40115at50557_29031_0:00277e|STRG.18596.1:1326-2111|+  -            262 27737at50557         -            506    0.0024   15.4   0.2   2   4    0.0013     0.095   10.2   0.0   189   222   152   185   139   193 0.78 -
40115at50557_29031_0:00277e|STRG.18596.1:1326-2111|+  -            262 27737at50557         -            506    0.0024   15.4   0.2   3   4       3.7   2.7e+02   -1.2   0.0   190   214   198   222   189   235 0.69 -
40115at50557_29031_0:00277e|STRG.18596.1:1326-2111|+  -            262 27737at50557         -            506    0.0024   15.4   0.2   4   4       3.8   2.8e+02   -1.2   0.0   183   207   233   257   225   259 0.80 -
40115at50557_29031_0:00277e|STRG.18596.2:1326-2111|+  -            262 27737at50557         -            506    0.0024   15.4   0.2   1   4       2.2   1.6e+02   -0.4   0.0   194   220    61    88    48   109 0.69 -
40115at50557_29031_0:00277e|STRG.18596.2:1326-2111|+  -            262 27737at50557         -            506    0.0024   15.4   0.2   2   4    0.0013     0.095   10.2   0.0   189   222   152   185   139   193 0.78 -
40115at50557_29031_0:00277e|STRG.18596.2:1326-2111|+  -            262 27737at50557         -            506    0.0024   15.4   0.2   3   4       3.7   2.7e+02   -1.2   0.0   190   214   198   222   189   235 0.69 -
40115at50557_29031_0:00277e|STRG.18596.2:1326-2111|+  -            262 27737at50557         -            506    0.0024   15.4   0.2   4   4       3.8   2.8e+02   -1.2   0.0   183   207   233   257   225   259 0.80 -
40115at50557_29031_0:00277e|STRG.18596.3:1326-2111|+  -            262 27737at50557         -            506    0.0024   15.4   0.2   1   4       2.2   1.6e+02   -0.4   0.0   194   220    61    88    48   109 0.69 -
40115at50557_29031_0:00277e|STRG.18596.3:1326-2111|+  -            262 27737at50557         -            506    0.0024   15.4   0.2   2   4    0.0013     0.095   10.2   0.0   189   222   152   185   139   193 0.78 -
40115at50557_29031_0:00277e|STRG.18596.3:1326-2111|+  -            262 27737at50557         -            506    0.0024   15.4   0.2   3   4       3.7   2.7e+02   -1.2   0.0   190   214   198   222   189   235 0.69 -
40115at50557_29031_0:00277e|STRG.18596.3:1326-2111|+  -            262 27737at50557         -            506    0.0024   15.4   0.2   4   4       3.8   2.8e+02   -1.2   0.0   183   207   233   257   225   259 0.80 -
40115at50557_29031_0:00277e|STRG.18596.4:1326-2111|+  -            262 27737at50557         -            506    0.0024   15.4   0.2   1   4       2.2   1.6e+02   -0.4   0.0   194   220    61    88    48   109 0.69 -
40115at50557_29031_0:00277e|STRG.18596.4:1326-2111|+  -            262 27737at50557         -            506    0.0024   15.4   0.2   2   4    0.0013     0.095   10.2   0.0   189   222   152   185   139   193 0.78 -
40115at50557_29031_0:00277e|STRG.18596.4:1326-2111|+  -            262 27737at50557         -            506    0.0024   15.4   0.2   3   4       3.7   2.7e+02   -1.2   0.0   190   214   198   222   189   235 0.69 -
40115at50557_29031_0:00277e|STRG.18596.4:1326-2111|+  -            262 27737at50557         -            506    0.0024   15.4   0.2   4   4       3.8   2.8e+02   -1.2   0.0   183   207   233   257   225   259 0.80 -
40115at50557_29031_0:00277e|STRG.18596.5:1326-2111|+  -            262 27737at50557         -            506    0.0024   15.4   0.2   1   4       2.2   1.6e+02   -0.4   0.0   194   220    61    88    48   109 0.69 -
40115at50557_29031_0:00277e|STRG.18596.5:1326-2111|+  -            262 27737at50557         -            506    0.0024   15.4   0.2   2   4    0.0013     0.095   10.2   0.0   189   222   152   185   139   193 0.78 -
40115at50557_29031_0:00277e|STRG.18596.5:1326-2111|+  -            262 27737at50557         -            506    0.0024   15.4   0.2   3   4       3.7   2.7e+02   -1.2   0.0   190   214   198   222   189   235 0.69 -
40115at50557_29031_0:00277e|STRG.18596.5:1326-2111|+  -            262 27737at50557         -            506    0.0024   15.4   0.2   4   4       3.8   2.8e+02   -1.2   0.0   183   207   233   257   225   259 0.80 -
31374at50557_1155016_0:001371|STRG.10435.2:398-1852|+ -            485 27737at50557         -            506    0.0035   14.9   0.0   1   3      0.11       7.9    3.8   0.0   185   218   365   398   359   407 0.88 -
31374at50557_1155016_0:001371|STRG.10435.2:398-1852|+ -            485 27737at50557         -            506    0.0035   14.9   0.0   2   3       0.2        15    3.0   0.0   185   215   407   437   400   442 0.87 -
31374at50557_1155016_0:001371|STRG.10435.2:398-1852|+ -            485 27737at50557         -            506    0.0035   14.9   0.0   3   3     0.098       7.1    4.0   0.0    31    65   443   478   439   481 0.85 -
31374at50557_133901_0:001035|STRG.10435.1:150-1769|+  -            540 27737at50557         -            506    0.0044   14.6   0.0   1   3      0.14       9.9    3.5   0.0   185   218   385   418   380   426 0.89 -
31374at50557_133901_0:001035|STRG.10435.1:150-1769|+  -            540 27737at50557         -            506    0.0044   14.6   0.0   2   3      0.23        17    2.8   0.0   185   215   427   457   421   462 0.87 -
31374at50557_133901_0:001035|STRG.10435.1:150-1769|+  -            540 27737at50557         -            506    0.0044   14.6   0.0   3   3     0.094       6.8    4.1   0.0    31    65   463   498   459   509 0.86 -
40115at50557_103372_0:0021d6|STRG.3637.1:4073-5059|+  -            329 27737at50557         -            506    0.0045   14.5   0.6   1   3     0.054       3.9    4.8   0.1    35    80    28    71    16   105 0.69 -
40115at50557_103372_0:0021d6|STRG.3637.1:4073-5059|+  -            329 27737at50557         -            506    0.0045   14.5   0.6   2   3         3   2.2e+02   -0.9   0.0    99   139   133   173    64   186 0.60 -
40115at50557_103372_0:0021d6|STRG.3637.1:4073-5059|+  -            329 27737at50557         -            506    0.0045   14.5   0.6   3   3     0.012      0.88    7.0   0.0    38    59   306   327   297   329 0.83 -
40115at50557_103372_0:0021d6|STRG.8786.7:187-1583|+   -            458 27737at50557         -            506    0.0056   14.2   0.1   1   3       3.1   2.3e+02   -1.0   0.0   189   211   120   142   109   149 0.86 -
40115at50557_103372_0:0021d6|STRG.8786.7:187-1583|+   -            458 27737at50557         -            506    0.0056   14.2   0.1   2   3      0.27        20    2.5   0.0    31    64   242   275   214   294 0.84 -
40115at50557_103372_0:0021d6|STRG.8786.7:187-1583|+   -            458 27737at50557         -            506    0.0056   14.2   0.1   3   3    0.0088      0.64    7.4   0.0    36    96   363   430   354   439 0.61 -
80377at50557_38123_0:002ff9|STRG.2736.3:333-1727|+    -            465 27737at50557         -            506     0.006   14.1   5.0   1   2      0.61        44    1.4   0.0   184   218    35    69    28    80 0.89 -
80377at50557_38123_0:002ff9|STRG.2736.3:333-1727|+    -            465 27737at50557         -            506     0.006   14.1   5.0   2   2   0.00053     0.039   11.5   2.7    31   103   114   193   105   207 0.68 -
56099at50557_34720_0:001a91|STRG.12890.2:0-1331|+     -            444 27737at50557         -            506    0.0065   14.0   0.1   1   3      0.12       9.1    3.6   0.0    10    97    43   139    33   144 0.67 -
56099at50557_34720_0:001a91|STRG.12890.2:0-1331|+     -            444 27737at50557         -            506    0.0065   14.0   0.1   2   3     0.011      0.78    7.2   0.1   177   219   278   320   203   330 0.70 -
56099at50557_34720_0:001a91|STRG.12890.2:0-1331|+     -            444 27737at50557         -            506    0.0065   14.0   0.1   3   3       1.5   1.1e+02    0.1   0.0    22    61   316   354   312   359 0.78 -
80377at50557_38123_0:002ff9|STRG.2736.1:333-1874|+    -            514 27737at50557         -            506    0.0067   14.0   4.8   1   2      0.68        50    1.2   0.0   184   218    35    69    29    81 0.89 -
80377at50557_38123_0:002ff9|STRG.2736.1:333-1874|+    -            514 27737at50557         -            506    0.0067   14.0   4.8   2   2   0.00064     0.047   11.2   2.7    31   103   114   193   109   207 0.67 -
80377at50557_38123_0:002ff9|STRG.2736.2:325-1866|+    -            514 27737at50557         -            506    0.0067   14.0   4.8   1   2      0.68        50    1.2   0.0   184   218    35    69    29    81 0.89 -
80377at50557_38123_0:002ff9|STRG.2736.2:325-1866|+    -            514 27737at50557         -            506    0.0067   14.0   4.8   2   2   0.00064     0.047   11.2   2.7    31   103   114   193   109   207 0.67 -
80377at50557_38123_0:002ff9|STRG.2736.4:102-1643|+    -            514 27737at50557         -            506    0.0067   14.0   4.8   1   2      0.68        50    1.2   0.0   184   218    35    69    29    81 0.89 -
80377at50557_38123_0:002ff9|STRG.2736.4:102-1643|+    -            514 27737at50557         -            506    0.0067   14.0   4.8   2   2   0.00064     0.047   11.2   2.7    31   103   114   193   109   207 0.67 -
80377at50557_38123_0:002ff9|STRG.2736.5:246-1787|+    -            514 27737at50557         -            506    0.0067   14.0   4.8   1   2      0.68        50    1.2   0.0   184   218    35    69    29    81 0.89 -
80377at50557_38123_0:002ff9|STRG.2736.5:246-1787|+    -            514 27737at50557         -            506    0.0067   14.0   4.8   2   2   0.00064     0.047   11.2   2.7    31   103   114   193   109   207 0.67 -
80377at50557_104452_0:001b3f|STRG.11985.6:1226-1735|+ -            170 27737at50557         -            506      0.01   13.4   0.0   1   2     0.023       1.7    6.1   0.0    31    95     5    73     4    84 0.73 -
80377at50557_104452_0:001b3f|STRG.11985.6:1226-1735|+ -            170 27737at50557         -            506      0.01   13.4   0.0   2   2     0.047       3.5    5.0   0.0   183   224    88   129    78   140 0.81 -
40115at50557_108931_0:001d6b|STRG.17037.2:480-1517|+  -            346 27737at50557         -            506     0.019   12.5   0.0   1   2       2.4   1.7e+02   -0.6   0.0    67    96   184   220   158   242 0.57 -
40115at50557_108931_0:001d6b|STRG.17037.2:480-1517|+  -            346 27737at50557         -            506     0.019   12.5   0.0   2   2    0.0033      0.24    8.9   0.0   185   218   289   322   277   330 0.89 -
70122at50557_56086_0:00188d|STRG.15848.1:13-360|+     -            116 27737at50557         -            506     0.021   12.3   0.0   1   1   0.00032     0.023   12.2   0.0   311   377    19    85     7   108 0.84 -
70122at50557_56086_0:00188d|STRG.15848.2:13-360|+     -            116 27737at50557         -            506     0.021   12.3   0.0   1   1   0.00032     0.023   12.2   0.0   311   377    19    85     7   108 0.84 -
70122at50557_56086_0:00188d|STRG.15848.3:13-360|+     -            116 27737at50557         -            506     0.021   12.3   0.0   1   1   0.00032     0.023   12.2   0.0   311   377    19    85     7   108 0.84 -
70122at50557_56086_0:00188d|STRG.15848.4:0-347|+      -            116 27737at50557         -            506     0.021   12.3   0.0   1   1   0.00032     0.023   12.2   0.0   311   377    19    85     7   108 0.84 -
40115at50557_103372_0:0021d6|STRG.3637.2:3810-4820|+  -            337 27737at50557         -            506     0.022   12.3   0.2   1   3     0.055         4    4.8   0.1    35    80    28    71    16   106 0.69 -
40115at50557_103372_0:0021d6|STRG.3637.2:3810-4820|+  -            337 27737at50557         -            506     0.022   12.3   0.2   2   3       3.1   2.3e+02   -1.0   0.0   100   139   134   173    64   186 0.60 -
40115at50557_103372_0:0021d6|STRG.3637.2:3810-4820|+  -            337 27737at50557         -            506     0.022   12.3   0.2   3   3     0.076       5.5    4.4   0.0    38    59   306   327   297   332 0.82 -
40115at50557_103372_0:0021d6|STRG.3637.4:3357-4367|+  -            337 27737at50557         -            506     0.022   12.3   0.2   1   3     0.055         4    4.8   0.1    35    80    28    71    16   106 0.69 -
40115at50557_103372_0:0021d6|STRG.3637.4:3357-4367|+  -            337 27737at50557         -            506     0.022   12.3   0.2   2   3       3.1   2.3e+02   -1.0   0.0   100   139   134   173    64   186 0.60 -
40115at50557_103372_0:0021d6|STRG.3637.4:3357-4367|+  -            337 27737at50557         -            506     0.022   12.3   0.2   3   3     0.076       5.5    4.4   0.0    38    59   306   327   297   332 0.82 -
57752at50557_103372_0:000c5a|STRG.11653.2:0-1298|+    -            433 27737at50557         -            506     0.022   12.3   0.1   1   3     0.091       6.7    4.1   0.0   188   217   131   160   126   177 0.83 -
57752at50557_103372_0:000c5a|STRG.11653.2:0-1298|+    -            433 27737at50557         -            506     0.022   12.3   0.1   2   3      0.66        48    1.3   0.0    45    95   179   235   164   245 0.61 -
57752at50557_103372_0:000c5a|STRG.11653.2:0-1298|+    -            433 27737at50557         -            506     0.022   12.3   0.1   3   3      0.51        37    1.6   0.0    31    59   248   277   243   315 0.84 -
40115at50557_38123_0:0006c3|STRG.9048.1:17-220|+      -             68 27737at50557         -            506     0.023   12.2   0.0   1   1   0.00032     0.023   12.2   0.0   185   219    31    65    14    67 0.91 -
57752at50557_103372_0:000c5a|STRG.11653.1:397-1758|+  -            454 27737at50557         -            506     0.027   12.0   0.1   1   4      0.11       8.1    3.8   0.0   188   216   152   180   147   192 0.83 -
57752at50557_103372_0:000c5a|STRG.11653.1:397-1758|+  -            454 27737at50557         -            506     0.027   12.0   0.1   2   4      0.69        50    1.2   0.0    45    95   200   256   185   267 0.62 -
57752at50557_103372_0:000c5a|STRG.11653.1:397-1758|+  -            454 27737at50557         -            506     0.027   12.0   0.1   3   4      0.65        47    1.3   0.0    31    59   269   298   264   317 0.85 -
57752at50557_103372_0:000c5a|STRG.11653.1:397-1758|+  -            454 27737at50557         -            506     0.027   12.0   0.1   4   4         3   2.2e+02   -0.9   0.0   149   207   372   429   318   434 0.57 -
80377at50557_454923_0:001015|STRG.3236.1:148-927|+    -            260 27737at50557         -            506     0.032   11.7   0.1   1   3     0.095         7    4.0   0.0   176   220    49    93    46   100 0.83 -
80377at50557_454923_0:001015|STRG.3236.1:148-927|+    -            260 27737at50557         -            506     0.032   11.7   0.1   2   3      0.24        17    2.7   0.1    33    98    97   171    94   181 0.60 -
80377at50557_454923_0:001015|STRG.3236.1:148-927|+    -            260 27737at50557         -            506     0.032   11.7   0.1   3   3      0.88        64    0.8   0.0   185   220   187   222   181   229 0.91 -
14512at50557_29053_0:0002b6|STRG.2402.1:12-722|+      -            237 27737at50557         -            506     0.033   11.7   0.4   1   2     0.034       2.5    5.5   0.2    40    98    59   123    31   130 0.68 -
14512at50557_29053_0:0002b6|STRG.2402.1:12-722|+      -            237 27737at50557         -            506     0.033   11.7   0.4   2   2     0.068         5    4.5   0.0    45    96   178   237   165   237 0.80 -
76755at50557_315563_0:0012ae|STRG.18490.1:448-3182|+  -            236 27737at50557         -            506     0.034   11.7   0.0   1   3       1.7   1.3e+02   -0.1   0.0   185   216    86   115    71   135 0.74 -
76755at50557_315563_0:0012ae|STRG.18490.1:448-3182|+  -            236 27737at50557         -            506     0.034   11.7   0.0   2   3     0.053       3.8    4.9   0.0    73    97   154   178   143   191 0.83 -
76755at50557_315563_0:0012ae|STRG.18490.1:448-3182|+  -            236 27737at50557         -            506     0.034   11.7   0.0   3   3      0.27        19    2.6   0.0   184   209   198   223   185   230 0.85 -
80377at50557_116153_0:0002e6|STRG.1233.3:226-885|+    -            220 27737at50557         -            506     0.048   11.1   0.0   1   4       8.6   6.3e+02   -2.4   0.0    79   101    10    32     7    39 0.83 -
80377at50557_116153_0:0002e6|STRG.1233.3:226-885|+    -            220 27737at50557         -            506     0.048   11.1   0.0   2   4       1.3        98    0.2   0.0   173   204    80   111    73   120 0.76 -
80377at50557_116153_0:0002e6|STRG.1233.3:226-885|+    -            220 27737at50557         -            506     0.048   11.1   0.0   3   4      0.51        37    1.6   0.0   188   218   115   145   106   149 0.84 -
80377at50557_116153_0:0002e6|STRG.1233.3:226-885|+    -            220 27737at50557         -            506     0.048   11.1   0.0   4   4     0.044       3.2    5.1   0.0   181   206   194   219   165   220 0.91 -
33043at50557_1507135_0:0016cf|STRG.2736.3:1733-2311|+ -            193 27737at50557         -            506     0.068   10.7   0.1   1   2      0.32        24    2.3   0.0   185   212    82   109    64   115 0.73 -
33043at50557_1507135_0:0016cf|STRG.2736.3:1733-2311|+ -            193 27737at50557         -            506     0.068   10.7   0.1   2   2     0.016       1.2    6.6   0.1    27    70   114   161   109   191 0.63 -
78072at50557_40932_0:0000db|STRG.941.1:829-1638|+     -            270 27737at50557         -            506      0.09   10.3   0.0   1   2       1.1        83    0.5   0.0    75   104    74   103    27   115 0.50 -
78072at50557_40932_0:0000db|STRG.941.1:829-1638|+     -            270 27737at50557         -            506      0.09   10.3   0.0   2   2    0.0095       0.7    7.3   0.0   185   213   113   141   110   147 0.89 -
78072at50557_40932_0:0000db|STRG.941.2:1001-1810|+    -            270 27737at50557         -            506      0.09   10.3   0.0   1   2       1.1        83    0.5   0.0    75   104    74   103    27   115 0.50 -
78072at50557_40932_0:0000db|STRG.941.2:1001-1810|+    -            270 27737at50557         -            506      0.09   10.3   0.0   2   2    0.0095       0.7    7.3   0.0   185   213   113   141   110   147 0.89 -
37475at50557_29031_0:002211|STRG.11503.3:395-820|+    -            142 27737at50557         -            506       0.1   10.1   0.0   1   2      0.35        25    2.2   0.0   193   230    16    53     8    58 0.83 -
37475at50557_29031_0:002211|STRG.11503.3:395-820|+    -            142 27737at50557         -            506       0.1   10.1   0.0   2   2     0.027         2    5.8   0.0   189   215   104   130    98   138 0.86 -
37475at50557_29031_0:002211|STRG.11503.4:634-1059|+   -            142 27737at50557         -            506       0.1   10.1   0.0   1   2      0.35        25    2.2   0.0   193   230    16    53     8    58 0.83 -
37475at50557_29031_0:002211|STRG.11503.4:634-1059|+   -            142 27737at50557         -            506       0.1   10.1   0.0   2   2     0.027         2    5.8   0.0   189   215   104   130    98   138 0.86 -
37475at50557_29031_0:002211|STRG.11503.5:1117-1542|+  -            142 27737at50557         -            506       0.1   10.1   0.0   1   2      0.35        25    2.2   0.0   193   230    16    53     8    58 0.83 -
37475at50557_29031_0:002211|STRG.11503.5:1117-1542|+  -            142 27737at50557         -            506       0.1   10.1   0.0   2   2     0.027         2    5.8   0.0   189   215   104   130    98   138 0.86 -
80377at50557_108931_0:002353|STRG.18490.1:2805-3422|+ -            206 27737at50557         -            506       0.1   10.1   0.0   1   2     0.045       3.3    5.1   0.0    73    97    44    68    35    81 0.83 -
80377at50557_108931_0:002353|STRG.18490.1:2805-3422|+ -            206 27737at50557         -            506       0.1   10.1   0.0   2   2       0.2        15    2.9   0.0   183   209    87   113    71   120 0.85 -
80377at50557_108931_0:002353|STRG.18490.2:2284-2901|+ -            206 27737at50557         -            506       0.1   10.1   0.0   1   2     0.045       3.3    5.1   0.0    73    97    44    68    35    81 0.83 -
80377at50557_108931_0:002353|STRG.18490.2:2284-2901|+ -            206 27737at50557         -            506       0.1   10.1   0.0   2   2       0.2        15    2.9   0.0   183   209    87   113    71   120 0.85 -
80377at50557_108931_0:002353|STRG.18490.3:2523-3140|+ -            206 27737at50557         -            506       0.1   10.1   0.0   1   2     0.045       3.3    5.1   0.0    73    97    44    68    35    81 0.83 -
80377at50557_108931_0:002353|STRG.18490.3:2523-3140|+ -            206 27737at50557         -            506       0.1   10.1   0.0   2   2       0.2        15    2.9   0.0   183   209    87   113    71   120 0.85 -
69548at50557_103372_0:0010c7|STRG.4281.1:0-1325|+     -            442 27737at50557         -            506      0.58    7.6   6.0   1   3      0.05       3.7    5.0   0.1    10    61   107   157    99   206 0.82 -
69548at50557_103372_0:0010c7|STRG.4281.1:0-1325|+     -            442 27737at50557         -            506      0.58    7.6   6.0   2   3     0.088       6.4    4.1   0.4    31    60   280   309   272   350 0.81 -
