#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
63645at50557_34720_0:0006b0|STRG.3326.1:397-1443|+    -            349 63645at50557         -            280  4.3e-181  598.9   1.8   1   1  1.7e-182  1.8e-180  596.9   1.8     1   280    10   326    10   326 0.95 -
48053at50557_104421_0:0017a2|STRG.1421.1:6-1523|+     -            506 63645at50557         -            280   0.00064   17.6   1.8   3   4       3.4   3.5e+02   -1.2   0.0    60    83   307   330   303   336 0.82 -
48053at50557_104421_0:0017a2|STRG.1421.1:6-1523|+     -            506 63645at50557         -            280   0.00064   17.6   1.8   4   4     0.004      0.42    8.4   0.0   155   251   366   460   360   486 0.68 -
69548at50557_104452_0:000ad1|STRG.7330.2:42-449|+     -            136 63645at50557         -            280    0.0014   16.5   1.4   1   2     0.067         7    4.4   0.2   189   212    52    74     2    82 0.79 -
69548at50557_104452_0:000ad1|STRG.7330.2:42-449|+     -            136 63645at50557         -            280    0.0014   16.5   1.4   2   2   0.00055     0.058   11.2   0.5   218   251   101   134    45   136 0.81 -
80377at50557_7370_0:002b5e|STRG.7381.1:136-549|+      -            138 63645at50557         -            280     0.003   15.4   0.1   1   2   7.7e-05    0.0081   14.0   0.1   221   270    14    66     1    76 0.75 -
80377at50557_7370_0:002b5e|STRG.7381.1:136-549|+      -            138 63645at50557         -            280     0.003   15.4   0.1   2   2       2.2   2.4e+02   -0.6   0.0   104   149    76   121    69   130 0.82 -
37475at50557_29031_0:002211|STRG.11503.3:395-820|+    -            142 63645at50557         -            280    0.0031   15.4   1.1   1   1   0.00026     0.027   12.3   1.0   182   257     3    83     1   105 0.75 -
37475at50557_29031_0:002211|STRG.11503.4:634-1059|+   -            142 63645at50557         -            280    0.0031   15.4   1.1   1   1   0.00026     0.027   12.3   1.0   182   257     3    83     1   105 0.75 -
37475at50557_29031_0:002211|STRG.11503.5:1117-1542|+  -            142 63645at50557         -            280    0.0031   15.4   1.1   1   1   0.00026     0.027   12.3   1.0   182   257     3    83     1   105 0.75 -
33043at50557_1507135_0:0016cf|STRG.2736.3:1733-2311|+ -            193 63645at50557         -            280    0.0043   14.9   0.3   1   2   0.00013     0.014   13.3   0.1   101   174    87   154    78   166 0.82 -
33043at50557_1507135_0:0016cf|STRG.2736.3:1733-2311|+ -            193 63645at50557         -            280    0.0043   14.9   0.3   2   2       2.4   2.5e+02   -0.7   0.0   154   168   175   189   150   192 0.75 -
80377at50557_166361_0:002fc1|STRG.12943.1:357-1118|+  -            254 63645at50557         -            280    0.0059   14.5   0.1   1   2      0.01       1.1    7.0   0.1   219   253    16    48     7    68 0.77 -
80377at50557_166361_0:002fc1|STRG.12943.1:357-1118|+  -            254 63645at50557         -            280    0.0059   14.5   0.1   2   2     0.044       4.6    5.0   0.0   130   170   105   143    91   187 0.85 -
80377at50557_166361_0:002fc1|STRG.12943.2:357-1118|+  -            254 63645at50557         -            280    0.0059   14.5   0.1   1   2      0.01       1.1    7.0   0.1   219   253    16    48     7    68 0.77 -
80377at50557_166361_0:002fc1|STRG.12943.2:357-1118|+  -            254 63645at50557         -            280    0.0059   14.5   0.1   2   2     0.044       4.6    5.0   0.0   130   170   105   143    91   187 0.85 -
69548at50557_7375_0:00230f|STRG.11503.1:234-878|+     -            215 63645at50557         -            280    0.0075   14.1   0.8   1   1   0.00054     0.057   11.2   0.7   181   257     3    84     1   106 0.75 -
69548at50557_7375_0:00230f|STRG.11503.2:397-1041|+    -            215 63645at50557         -            280    0.0075   14.1   0.8   1   1   0.00054     0.057   11.2   0.7   181   257     3    84     1   106 0.75 -
56099at50557_34720_0:001a91|STRG.12890.1:560-1426|+   -            289 63645at50557         -            280    0.0082   14.0   0.1   1   2    0.0028      0.29    8.9   0.0   183   263    42   119    36   124 0.81 -
56099at50557_34720_0:001a91|STRG.12890.1:560-1426|+   -            289 63645at50557         -            280    0.0082   14.0   0.1   2   2      0.32        33    2.2   0.0   136   190   125   178   117   187 0.77 -
56099at50557_56086_0:002294|STRG.12890.1:102-1414|+   -            411 63645at50557         -            280      0.01   13.7   0.1   1   3       5.1   5.3e+02   -1.8   0.0   220   256    59    95    45   123 0.74 -
56099at50557_56086_0:002294|STRG.12890.1:102-1414|+   -            411 63645at50557         -            280      0.01   13.7   0.1   2   3   0.00066     0.069   11.0   0.0   152   239   179   265   167   290 0.78 -
56099at50557_56086_0:002294|STRG.12890.1:102-1414|+   -            411 63645at50557         -            280      0.01   13.7   0.1   3   3      0.59        62    1.3   0.0   136   190   251   304   246   313 0.77 -
80377at50557_7091_0:0009ff|STRG.17249.1:325-909|+     -            195 63645at50557         -            280     0.011   13.6   0.2   1   2    0.0029      0.31    8.8   0.1   221   256    13    47    10    56 0.85 -
80377at50557_7091_0:0009ff|STRG.17249.1:325-909|+     -            195 63645at50557         -            280     0.011   13.6   0.2   2   2      0.18        18    3.0   0.0   154   232    77   153    53   178 0.61 -
80377at50557_121845_0:0030d4|STRG.17948.1:162-737|+   -            192 63645at50557         -            280     0.012   13.5   0.1   1   1   0.00017     0.018   12.9   0.1   197   258    77   138    65   144 0.83 -
58729at50557_34740_0:001cbd|STRG.4877.1:792-1604|+    -            271 63645at50557         -            280     0.023   12.6   0.0   1   1   0.00032     0.033   12.0   0.0   133   219    45   128     9   149 0.79 -
58729at50557_34740_0:001cbd|STRG.4877.2:1149-1961|+   -            271 63645at50557         -            280     0.023   12.6   0.0   1   1   0.00032     0.033   12.0   0.0   133   219    45   128     9   149 0.79 -
58729at50557_34740_0:001cbd|STRG.4877.3:1146-1958|+   -            271 63645at50557         -            280     0.023   12.6   0.0   1   1   0.00032     0.033   12.0   0.0   133   219    45   128     9   149 0.79 -
40115at50557_103372_0:0021d6|STRG.3637.1:4073-5059|+  -            329 63645at50557         -            280     0.023   12.5   0.7   1   3      0.26        27    2.5   0.0   103   146    35    82    30   106 0.74 -
40115at50557_103372_0:0021d6|STRG.3637.1:4073-5059|+  -            329 63645at50557         -            280     0.023   12.5   0.7   2   3       7.4   7.8e+02   -2.3   0.0   207   260   152   161   129   192 0.54 -
40115at50557_103372_0:0021d6|STRG.3637.1:4073-5059|+  -            329 63645at50557         -            280     0.023   12.5   0.7   3   3     0.006      0.63    7.8   0.0   215   255   290   327   280   329 0.88 -
80377at50557_568069_0:004eea|STRG.1411.1:60-914|+     -            285 63645at50557         -            280     0.028   12.2   0.3   1   1   0.00053     0.056   11.3   0.3    96   197    58   151    40   210 0.80 -
80377at50557_77166_0:002f29|STRG.9159.1:435-1313|+    -            293 63645at50557         -            280     0.035   11.9   0.0   1   3     0.012       1.3    6.8   0.0   221   261    80   120    64   139 0.85 -
80377at50557_77166_0:002f29|STRG.9159.1:435-1313|+    -            293 63645at50557         -            280     0.035   11.9   0.0   2   3       3.9   4.1e+02   -1.4   0.0   217   258   124   164   117   170 0.75 -
80377at50557_77166_0:002f29|STRG.9159.1:435-1313|+    -            293 63645at50557         -            280     0.035   11.9   0.0   3   3      0.27        28    2.4   0.0   207   246   243   281   200   290 0.72 -
14512at50557_1218281_0:002752|STRG.3222.1:672-1052|+  -            127 63645at50557         -            280     0.036   11.9   0.0   1   1   0.00041     0.043   11.6   0.0   217   263    20    65     6    81 0.86 -
14512at50557_1218281_0:002752|STRG.3222.2:1096-1476|+ -            127 63645at50557         -            280     0.036   11.9   0.0   1   1   0.00041     0.043   11.6   0.0   217   263    20    65     6    81 0.86 -
40115at50557_110193_0:00292f|STRG.19716.2:1136-1870|+ -            245 63645at50557         -            280     0.044   11.6   3.1   1   4       3.4   3.6e+02   -1.2   0.1   222   246    36    60    25    78 0.73 -
40115at50557_110193_0:00292f|STRG.19716.2:1136-1870|+ -            245 63645at50557         -            280     0.044   11.6   3.1   2   4      0.13        13    3.4   0.1   204   255    59   109    37   116 0.82 -
40115at50557_110193_0:00292f|STRG.19716.2:1136-1870|+ -            245 63645at50557         -            280     0.044   11.6   3.1   3   4     0.024       2.5    5.8   0.1   216   246   119   149   111   165 0.78 -
40115at50557_110193_0:00292f|STRG.19716.2:1136-1870|+ -            245 63645at50557         -            280     0.044   11.6   3.1   4   4      0.64        67    1.2   0.1   179   244   171   235   142   245 0.48 -
40115at50557_110193_0:00292f|STRG.19716.3:1387-2121|+ -            245 63645at50557         -            280     0.044   11.6   3.1   1   4       3.4   3.6e+02   -1.2   0.1   222   246    36    60    25    78 0.73 -
40115at50557_110193_0:00292f|STRG.19716.3:1387-2121|+ -            245 63645at50557         -            280     0.044   11.6   3.1   2   4      0.13        13    3.4   0.1   204   255    59   109    37   116 0.82 -
40115at50557_110193_0:00292f|STRG.19716.3:1387-2121|+ -            245 63645at50557         -            280     0.044   11.6   3.1   3   4     0.024       2.5    5.8   0.1   216   246   119   149   111   165 0.78 -
40115at50557_110193_0:00292f|STRG.19716.3:1387-2121|+ -            245 63645at50557         -            280     0.044   11.6   3.1   4   4      0.64        67    1.2   0.1   179   244   171   235   142   245 0.48 -
40115at50557_110193_0:00292f|STRG.19716.4:789-1523|+  -            245 63645at50557         -            280     0.044   11.6   3.1   1   4       3.4   3.6e+02   -1.2   0.1   222   246    36    60    25    78 0.73 -
40115at50557_110193_0:00292f|STRG.19716.4:789-1523|+  -            245 63645at50557         -            280     0.044   11.6   3.1   2   4      0.13        13    3.4   0.1   204   255    59   109    37   116 0.82 -
40115at50557_110193_0:00292f|STRG.19716.4:789-1523|+  -            245 63645at50557         -            280     0.044   11.6   3.1   3   4     0.024       2.5    5.8   0.1   216   246   119   149   111   165 0.78 -
40115at50557_110193_0:00292f|STRG.19716.4:789-1523|+  -            245 63645at50557         -            280     0.044   11.6   3.1   4   4      0.64        67    1.2   0.1   179   244   171   235   142   245 0.48 -
40115at50557_103372_0:0021d6|STRG.3637.2:3810-4820|+  -            337 63645at50557         -            280     0.049   11.5   0.5   1   3      0.27        28    2.4   0.0   103   146    35    82    30   106 0.74 -
40115at50557_103372_0:0021d6|STRG.3637.2:3810-4820|+  -            337 63645at50557         -            280     0.049   11.5   0.5   2   3       7.7     8e+02   -2.4   0.0   207   260   152   161   129   192 0.55 -
40115at50557_103372_0:0021d6|STRG.3637.2:3810-4820|+  -            337 63645at50557         -            280     0.049   11.5   0.5   3   3     0.015       1.6    6.5   0.0   215   256   290   328   280   336 0.86 -
40115at50557_103372_0:0021d6|STRG.3637.4:3357-4367|+  -            337 63645at50557         -            280     0.049   11.5   0.5   1   3      0.27        28    2.4   0.0   103   146    35    82    30   106 0.74 -
40115at50557_103372_0:0021d6|STRG.3637.4:3357-4367|+  -            337 63645at50557         -            280     0.049   11.5   0.5   2   3       7.7     8e+02   -2.4   0.0   207   260   152   161   129   192 0.55 -
40115at50557_103372_0:0021d6|STRG.3637.4:3357-4367|+  -            337 63645at50557         -            280     0.049   11.5   0.5   3   3     0.015       1.6    6.5   0.0   215   256   290   328   280   336 0.86 -
42371at50557_144034_0:001692|STRG.1519.1:0-863|+      -            288 63645at50557         -            280     0.064   11.1   0.8   1   2      0.31        33    2.2   0.0   220   257     9    47     3    61 0.75 -
42371at50557_144034_0:001692|STRG.1519.1:0-863|+      -            288 63645at50557         -            280     0.064   11.1   0.8   2   2     0.012       1.3    6.8   0.1   217   258   220   261   146   279 0.81 -
42371at50557_69820_0:000b2f|STRG.9265.1:375-1319|+    -            315 63645at50557         -            280      0.13   10.1   1.2   1   1     0.011       1.2    6.9   0.2    93   120    54    80    50    92 0.88 -
66691at50557_456900_0:002b0f|STRG.7843.1:5659-6759|+  -            367 63645at50557         -            280      0.14    9.9   5.6   1   3   0.00095     0.099   10.4   0.3   220   256    47    82    11    91 0.82 -
66691at50557_456900_0:002b0f|STRG.7843.1:5659-6759|+  -            367 63645at50557         -            280      0.14    9.9   5.6   2   3         4   4.2e+02   -1.4   0.0    61    78   152   169   140   182 0.74 -
66691at50557_456900_0:002b0f|STRG.7843.1:5659-6759|+  -            367 63645at50557         -            280      0.14    9.9   5.6   3   3       0.8        84    0.8   0.0   225   263   326   362   264   365 0.82 -
66691at50557_456900_0:002b0f|STRG.7843.4:854-1954|+   -            367 63645at50557         -            280      0.14    9.9   5.6   1   3   0.00095     0.099   10.4   0.3   220   256    47    82    11    91 0.82 -
66691at50557_456900_0:002b0f|STRG.7843.4:854-1954|+   -            367 63645at50557         -            280      0.14    9.9   5.6   2   3         4   4.2e+02   -1.4   0.0    61    78   152   169   140   182 0.74 -
66691at50557_456900_0:002b0f|STRG.7843.4:854-1954|+   -            367 63645at50557         -            280      0.14    9.9   5.6   3   3       0.8        84    0.8   0.0   225   263   326   362   264   365 0.82 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/63645at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/63645at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/63645at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:56:06 2024
# [ok]
