#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107413at50557_610380_0:0005dc|STRG.9420.3:162-1023|+    -            276 107413at50557        -             88   2.5e-35  119.6   2.6   1   1   2.6e-36   1.6e-34  117.0   2.6     1    88   158   264   158   264 0.85 -
107413at50557_2015173_0:00166d|STRG.18049.2:1809-2564|+ -            252 107413at50557        -             88   8.3e-09   34.6   4.1   1   1   5.5e-09   3.4e-07   29.5   4.1    27    88   185   250   142   250 0.69 -
107413at50557_2015173_0:00166d|STRG.18049.3:1782-2537|+ -            252 107413at50557        -             88   8.3e-09   34.6   4.1   1   1   5.5e-09   3.4e-07   29.5   4.1    27    88   185   250   142   250 0.69 -
107413at50557_2015173_0:00166d|STRG.18049.4:1701-2456|+ -            252 107413at50557        -             88   8.3e-09   34.6   4.1   1   1   5.5e-09   3.4e-07   29.5   4.1    27    88   185   250   142   250 0.69 -
98621at50557_79782_0:0026bc|STRG.13727.1:166-879|+      -            238 107413at50557        -             88   8.4e-09   34.6   2.2   1   1   3.3e-10   2.1e-08   33.4   1.1    41    88   183   232   131   232 0.80 -
107413at50557_7493_0:002523|STRG.12406.2:116-918|+      -            232 107413at50557        -             88     1e-08   34.3   0.9   1   1   3.5e-10   2.2e-08   33.3   0.2    40    88   176   228   156   228 0.83 -
45935at50557_535359_0:0001fd|STRG.14414.2:373-1383|+    -            337 107413at50557        -             88   1.4e-08   33.9   3.8   1   1   1.7e-08   1.1e-06   27.9   3.8    27    88   263   328   214   328 0.84 -
98621at50557_7460_0:000221|STRG.9135.1:47-841|+         -            265 107413at50557        -             88   4.6e-08   32.3   1.0   1   1   1.4e-09   8.8e-08   31.4   1.0    27    88   193   260   151   260 0.81 -
98621at50557_166361_0:000283|STRG.19326.1:194-649|+     -            152 107413at50557        -             88     5e-08   32.1   0.9   1   2       5.5   3.4e+02    0.6   0.1    39    78    46    86    12    96 0.63 -
98621at50557_166361_0:000283|STRG.19326.1:194-649|+     -            152 107413at50557        -             88     5e-08   32.1   0.9   2   2   3.1e-09   1.9e-07   30.3   0.1    42    88   103   148    91   148 0.87 -
98621at50557_7394_0:001c66|STRG.12741.1:322-797|+       -            149 107413at50557        -             88   1.7e-07   30.5   0.4   1   1   3.6e-09   2.2e-07   30.1   0.4    22    81    85   149    53   149 0.80 -
98621at50557_7394_0:001c66|STRG.12741.2:325-800|+       -            149 107413at50557        -             88   1.7e-07   30.5   0.4   1   1   3.6e-09   2.2e-07   30.1   0.4    22    81    85   149    53   149 0.80 -
98621at50557_125945_0:003713|STRG.3217.1:29-757|+       -            243 107413at50557        -             88   3.9e-07   29.3   2.9   1   1   1.5e-08   9.2e-07   28.1   2.2    27    88   180   238   143   238 0.87 -
107413at50557_326594_0:0023a0|STRG.12405.4:124-804|+    -            227 107413at50557        -             88   5.6e-07   28.8   1.4   1   1   2.6e-08   1.6e-06   27.3   0.7    28    68   175   215   156   225 0.85 -
98621at50557_30019_0:0019d5|STRG.16453.1:1209-1997|+    -            263 107413at50557        -             88   2.5e-06   26.7   3.2   1   1   1.3e-07   8.3e-06   25.0   2.3    27    88   189   259   176   259 0.78 -
107413at50557_2015173_0:00166d|STRG.3221.1:94-738|+     -            215 107413at50557        -             88   1.7e-05   24.0   1.3   1   1   6.9e-07   4.3e-05   22.7   0.3    27    88   146   208   129   208 0.82 -
107413at50557_1155016_0:001042|STRG.9133.1:907-1062|+   -             52 107413at50557        -             88   8.6e-05   21.8   0.2   1   1   1.4e-06   8.9e-05   21.7   0.2    48    88     8    50     1    50 0.77 -
107413at50557_77166_0:001c77|STRG.11553.1:1580-2272|+   -            231 107413at50557        -             88   0.00022   20.5   3.4   1   1   0.00018     0.011   15.0   3.4    29    71   167   211   120   227 0.74 -
107413at50557_77166_0:001c77|STRG.11553.2:1662-2354|+   -            231 107413at50557        -             88   0.00022   20.5   3.4   1   1   0.00018     0.011   15.0   3.4    29    71   167   211   120   227 0.74 -
98621at50557_454923_0:00128e|STRG.8535.3:1302-2087|+    -            262 107413at50557        -             88   0.00022   20.5   0.3   1   1   1.2e-05   0.00075   18.8   0.1    28    88   192   259   183   259 0.76 -
98621at50557_454923_0:00128e|STRG.8535.1:1346-2134|+    -            263 107413at50557        -             88   0.00025   20.3   0.6   1   1   1.4e-05   0.00087   18.5   0.6    27    88   192   260   150   260 0.82 -
17536at50557_103372_0:00299d|STRG.12549.2:242-2194|+    -            651 107413at50557        -             88   0.00028   20.1   0.2   1   1   1.7e-05     0.001   18.3   0.2    27    88   578   646   546   646 0.62 -
17536at50557_103372_0:00299d|STRG.12549.1:242-2566|+    -            775 107413at50557        -             88   0.00041   19.6   0.2   1   1   2.1e-05    0.0013   18.0   0.2    27    88   702   770   670   770 0.62 -
17536at50557_103372_0:00299d|STRG.12549.3:475-1980|+    -            502 107413at50557        -             88   0.00071   18.8   0.2   1   1   1.1e-05   0.00071   18.8   0.2    27    88   429   497   397   497 0.62 -
98621at50557_441921_0:00278d|STRG.8537.1:704-1462|+     -            253 107413at50557        -             88    0.0017   17.6   0.5   1   1   6.8e-05    0.0042   16.4   0.5    14    88   165   246   142   246 0.75 -
98621at50557_441921_0:00278d|STRG.8537.2:1175-1933|+    -            253 107413at50557        -             88    0.0017   17.6   0.5   1   1   6.8e-05    0.0042   16.4   0.5    14    88   165   246   142   246 0.75 -
98621at50557_441921_0:00278d|STRG.8537.3:942-1700|+     -            253 107413at50557        -             88    0.0017   17.6   0.5   1   1   6.8e-05    0.0042   16.4   0.5    14    88   165   246   142   246 0.75 -
98621at50557_441921_0:00278d|STRG.8537.4:1233-1991|+    -            253 107413at50557        -             88    0.0017   17.6   0.5   1   1   6.8e-05    0.0042   16.4   0.5    14    88   165   246   142   246 0.75 -
98621at50557_7070_0:000de0|STRG.15013.1:1237-1929|+     -            231 107413at50557        -             88    0.0033   16.7   0.1   1   1   0.00012    0.0076   15.5   0.1    29    64   193   230   181   231 0.75 -
45935at50557_104452_0:001a48|STRG.14413.1:61-453|+      -            131 107413at50557        -             88    0.0041   16.4   3.4   1   1    0.0018      0.11   11.8   3.2    28    54   106   131    56   131 0.81 -
17536at50557_7493_0:002a62|STRG.7611.1:6784-7992|+      -            403 107413at50557        -             88    0.0071   15.6   0.0   1   1   0.00041     0.025   13.9   0.0    39    87   344   398   294   399 0.81 -
17536at50557_7493_0:002a62|STRG.7611.2:6564-7775|+      -            404 107413at50557        -             88    0.0073   15.6   0.0   1   1   0.00041     0.025   13.8   0.0    39    87   345   399   295   400 0.81 -
17536at50557_7493_0:002a62|STRG.7611.3:5910-7121|+      -            404 107413at50557        -             88    0.0073   15.6   0.0   1   1   0.00041     0.025   13.8   0.0    39    87   345   399   295   400 0.81 -
17536at50557_7493_0:002a62|STRG.7611.4:6702-7913|+      -            404 107413at50557        -             88    0.0073   15.6   0.0   1   1   0.00041     0.025   13.8   0.0    39    87   345   399   295   400 0.81 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/107413at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/107413at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/107413at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:52:15 2024
# [ok]
