#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
129956at50557_34720_0:00189a|STRG.9575.1:146-562|+      -            139 129956at50557        -            110   9.7e-63  207.9   0.2   1   1   2.4e-64   1.1e-62  207.7   0.2     1   107     1   114     1   117 0.94 -
129956at50557_7176_0:003daf|STRG.11122.8:745-960|+      -             72 129956at50557        -            110   1.5e-09   36.7   0.0   1   1   3.5e-11   1.6e-09   36.6   0.0    32   103     1    72     1    72 0.96 -
129956at50557_7176_0:003daf|STRG.11122.9:276-491|+      -             72 129956at50557        -            110   1.5e-09   36.7   0.0   1   1   3.5e-11   1.6e-09   36.6   0.0    32   103     1    72     1    72 0.96 -
129956at50557_7159_0:0030fc|STRG.2799.1:1173-1412|+     -             80 129956at50557        -            110   2.3e-09   36.1   0.0   1   1   5.4e-11   2.5e-09   35.9   0.0    32   104     1    73     1    79 0.95 -
129956at50557_29031_0:001f45|STRG.4477.1:682-825|+      -             48 129956at50557        -            110   2.6e-09   35.9   0.1   1   1     6e-11   2.8e-09   35.8   0.1    32    79     1    48     1    48 0.98 -
129956at50557_29031_0:001f45|STRG.4477.2:681-824|+      -             48 129956at50557        -            110   2.6e-09   35.9   0.1   1   1     6e-11   2.8e-09   35.8   0.1    32    79     1    48     1    48 0.98 -
83433at50557_121225_0:000702|STRG.8656.1:788-1276|+     -            163 129956at50557        -            110   4.2e-09   35.2   0.0   1   2    0.0011     0.052   12.4   0.0    33   104     3    68     1    74 0.82 -
83433at50557_121225_0:000702|STRG.8656.1:788-1276|+     -            163 129956at50557        -            110   4.2e-09   35.2   0.0   2   2   2.5e-06   0.00012   20.9   0.0    29   104    81   154    70   159 0.86 -
83433at50557_121225_0:000702|STRG.8656.2:788-1279|+     -            164 129956at50557        -            110   4.3e-09   35.2   0.0   1   2    0.0011     0.052   12.4   0.0    33   104     3    68     1    74 0.82 -
83433at50557_121225_0:000702|STRG.8656.2:788-1279|+     -            164 129956at50557        -            110   4.3e-09   35.2   0.0   2   2   2.6e-06   0.00012   20.9   0.0    29   104    82   155    71   160 0.87 -
83433at50557_132113_0:000abd|STRG.13815.1:195-587|+     -            131 129956at50557        -            110   4.5e-09   35.2   0.0   1   1   1.5e-10   6.9e-09   34.6   0.0    31   102    16    87    12    94 0.95 -
135254at50557_103372_0:002a85|STRG.16186.2:107-481|+    -            125 129956at50557        -            110   6.3e-09   34.7   0.2   1   1   1.9e-10   9.1e-09   34.2   0.2    32   109    22    96    19    97 0.92 -
129956at50557_441921_0:0017da|STRG.3168.1:1173-1403|+   -             77 129956at50557        -            110   6.5e-09   34.6   0.0   1   1   1.5e-10     7e-09   34.5   0.0    32    98     1    66     1    76 0.89 -
135254at50557_103372_0:002a85|STRG.16186.1:107-487|+    -            127 129956at50557        -            110   6.5e-09   34.6   0.2   1   1     2e-10   9.6e-09   34.1   0.2    32   109    24    98    21    99 0.92 -
129956at50557_37344_0:0029cb|STRG.11559.1:228-443|+     -             72 129956at50557        -            110   6.6e-09   34.6   0.0   1   1   1.4e-10   6.7e-09   34.6   0.0    32    99     1    68     1    72 0.90 -
101501at50557_1218281_0:0033ae|STRG.8154.1:236-454|+    -             73 129956at50557        -            110   1.2e-08   33.8   0.0   1   1   2.6e-10   1.2e-08   33.8   0.0    37   105     2    70     1    73 0.95 -
101501at50557_1218281_0:0033ae|STRG.8154.2:236-454|+    -             73 129956at50557        -            110   1.2e-08   33.8   0.0   1   1   2.6e-10   1.2e-08   33.8   0.0    37   105     2    70     1    73 0.95 -
101501at50557_1218281_0:0033ae|STRG.8154.3:236-454|+    -             73 129956at50557        -            110   1.2e-08   33.8   0.0   1   1   2.6e-10   1.2e-08   33.8   0.0    37   105     2    70     1    73 0.95 -
117816at50557_307658_0:0005e3|STRG.15495.1:199-1083|+   -            295 129956at50557        -            110   1.6e-08   33.4   0.0   1   2   6.4e-07     3e-05   22.8   0.0    32    96    10    75     8    88 0.90 -
117816at50557_307658_0:0005e3|STRG.15495.1:199-1083|+   -            295 129956at50557        -            110   1.6e-08   33.4   0.0   2   2     0.023       1.1    8.2   0.0    32    95   103   166    98   178 0.74 -
129956at50557_411798_0:003661|STRG.4852.1:201-449|+     -             83 129956at50557        -            110   1.7e-08   33.3   0.1   1   1   4.1e-10   1.9e-08   33.1   0.1    27   104     1    78     1    81 0.96 -
129956at50557_37344_0:0029cb|STRG.11960.2:435-677|+     -             81 129956at50557        -            110   2.2e-08   32.9   0.0   1   1   5.3e-10   2.5e-08   32.8   0.0    32   107     1    76     1    79 0.96 -
129956at50557_7536_0:0043e4|STRG.15167.1:1561-1878|+    -            106 129956at50557        -            110   3.3e-08   32.4   0.0   1   1   1.1e-09   5.2e-08   31.7   0.0    32   103     1    73     1    79 0.91 -
129956at50557_7536_0:0043e4|STRG.15167.6:552-869|+      -            106 129956at50557        -            110   3.3e-08   32.4   0.0   1   1   1.1e-09   5.2e-08   31.7   0.0    32   103     1    73     1    79 0.91 -
129956at50557_7536_0:0043e4|STRG.15167.13:548-901|+     -            118 129956at50557        -            110   4.3e-08   32.0   0.0   1   1   1.5e-09   7.1e-08   31.3   0.0    32   103     1    73     1    79 0.90 -
129956at50557_7536_0:0043e4|STRG.15167.4:552-905|+      -            118 129956at50557        -            110   4.3e-08   32.0   0.0   1   1   1.5e-09   7.1e-08   31.3   0.0    32   103     1    73     1    79 0.90 -
129956at50557_7536_0:0043e4|STRG.15167.7:548-901|+      -            118 129956at50557        -            110   4.3e-08   32.0   0.0   1   1   1.5e-09   7.1e-08   31.3   0.0    32   103     1    73     1    79 0.90 -
129956at50557_7536_0:0043e4|STRG.15167.8:548-901|+      -            118 129956at50557        -            110   4.3e-08   32.0   0.0   1   1   1.5e-09   7.1e-08   31.3   0.0    32   103     1    73     1    79 0.90 -
83433at50557_1507135_0:0010eb|STRG.8927.12:100-981|+    -            294 129956at50557        -            110   1.4e-07   30.4   0.0   1   2   5.5e-06   0.00026   19.8   0.0    32   108    12    80     8    82 0.92 -
83433at50557_1507135_0:0010eb|STRG.8927.12:100-981|+    -            294 129956at50557        -            110   1.4e-07   30.4   0.0   2   2     0.025       1.2    8.0   0.0    31    74    90   125    85   159 0.77 -
83433at50557_1507135_0:0010eb|STRG.8927.11:100-987|+    -            296 129956at50557        -            110   1.4e-07   30.3   0.0   1   2   5.5e-06   0.00026   19.8   0.0    32   108    12    80     8    82 0.92 -
83433at50557_1507135_0:0010eb|STRG.8927.11:100-987|+    -            296 129956at50557        -            110   1.4e-07   30.3   0.0   2   2     0.026       1.2    8.0   0.0    31    74    90   125    85   159 0.77 -
83433at50557_1507135_0:0010eb|STRG.8927.16:224-1111|+   -            296 129956at50557        -            110   1.4e-07   30.3   0.0   1   2   5.5e-06   0.00026   19.8   0.0    32   108    12    80     8    82 0.92 -
83433at50557_1507135_0:0010eb|STRG.8927.16:224-1111|+   -            296 129956at50557        -            110   1.4e-07   30.3   0.0   2   2     0.026       1.2    8.0   0.0    31    74    90   125    85   159 0.77 -
83433at50557_156304_0:001c1d|STRG.8927.15:224-1177|+    -            318 129956at50557        -            110   1.8e-07   30.0   0.0   1   2   6.3e-06   0.00029   19.6   0.0    32   108    12    80     8    82 0.92 -
83433at50557_156304_0:001c1d|STRG.8927.15:224-1177|+    -            318 129956at50557        -            110   1.8e-07   30.0   0.0   2   2     0.029       1.4    7.9   0.0    31    74    90   125    85   159 0.77 -
83433at50557_13686_0:000d60|STRG.8927.9:123-1121|+      -            333 129956at50557        -            110   1.9e-07   29.9   0.0   1   2   6.8e-06   0.00032   19.5   0.0    32   108    12    80     8    82 0.92 -
83433at50557_13686_0:000d60|STRG.8927.9:123-1121|+      -            333 129956at50557        -            110   1.9e-07   29.9   0.0   2   2     0.031       1.5    7.8   0.0    31    74    90   125    85   159 0.77 -
83433at50557_286306_0:001317|STRG.8927.8:105-1094|+     -            330 129956at50557        -            110   2.1e-07   29.8   0.0   1   2   6.7e-06   0.00031   19.6   0.0    32   108    18    86    14    88 0.92 -
83433at50557_286306_0:001317|STRG.8927.8:105-1094|+     -            330 129956at50557        -            110   2.1e-07   29.8   0.0   2   2     0.031       1.4    7.8   0.0    31    74    96   131    91   165 0.77 -
83433at50557_286306_0:001317|STRG.8927.7:106-1140|+     -            345 129956at50557        -            110   2.4e-07   29.6   0.0   1   2   7.2e-06   0.00034   19.5   0.0    32   108    18    86    14    88 0.92 -
83433at50557_286306_0:001317|STRG.8927.7:106-1140|+     -            345 129956at50557        -            110   2.4e-07   29.6   0.0   2   2     0.034       1.6    7.6   0.0    31    74    96   131    91   164 0.77 -
83433at50557_286306_0:001317|STRG.8927.6:106-1146|+     -            347 129956at50557        -            110   2.4e-07   29.6   0.0   1   2   7.3e-06   0.00034   19.4   0.0    32   108    18    86    14    88 0.92 -
83433at50557_286306_0:001317|STRG.8927.6:106-1146|+     -            347 129956at50557        -            110   2.4e-07   29.6   0.0   2   2     0.034       1.6    7.6   0.0    31    74    96   131    91   164 0.77 -
83433at50557_13686_0:000d60|STRG.8927.4:125-1189|+      -            355 129956at50557        -            110   2.5e-07   29.5   0.0   1   2   7.5e-06   0.00035   19.4   0.0    32   108    12    80     8    82 0.92 -
83433at50557_13686_0:000d60|STRG.8927.4:125-1189|+      -            355 129956at50557        -            110   2.5e-07   29.5   0.0   2   2     0.035       1.7    7.6   0.0    31    74    90   125    85   158 0.77 -
83433at50557_286306_0:001317|STRG.8927.10:82-1303|+     -            378 129956at50557        -            110   2.6e-07   29.5   0.0   1   2   8.3e-06   0.00039   19.2   0.0    32   108    18    86    14    88 0.92 -
83433at50557_286306_0:001317|STRG.8927.10:82-1303|+     -            378 129956at50557        -            110   2.6e-07   29.5   0.0   2   2     0.039       1.8    7.4   0.0    31    73    96   130    91   164 0.77 -
83433at50557_286306_0:001317|STRG.8927.14:206-1427|+    -            378 129956at50557        -            110   2.6e-07   29.5   0.0   1   2   8.3e-06   0.00039   19.2   0.0    32   108    18    86    14    88 0.92 -
83433at50557_286306_0:001317|STRG.8927.14:206-1427|+    -            378 129956at50557        -            110   2.6e-07   29.5   0.0   2   2     0.039       1.8    7.4   0.0    31    73    96   130    91   164 0.77 -
83433at50557_286306_0:001317|STRG.8927.5:106-1173|+     -            356 129956at50557        -            110   2.7e-07   29.4   0.0   1   2   7.6e-06   0.00035   19.4   0.0    32   108    18    86    14    88 0.92 -
83433at50557_286306_0:001317|STRG.8927.5:106-1173|+     -            356 129956at50557        -            110   2.7e-07   29.4   0.0   2   2     0.035       1.7    7.6   0.0    31    74    96   131    91   164 0.77 -
83433at50557_13686_0:000d60|STRG.8927.1:126-1235|+      -            370 129956at50557        -            110   2.8e-07   29.4   0.0   1   2   8.1e-06   0.00038   19.3   0.0    32   108    12    80     8    82 0.92 -
83433at50557_13686_0:000d60|STRG.8927.1:126-1235|+      -            370 129956at50557        -            110   2.8e-07   29.4   0.0   2   2     0.038       1.8    7.5   0.0    31    73    90   124    85   158 0.77 -
83433at50557_13686_0:000d60|STRG.8927.13:250-1362|+     -            371 129956at50557        -            110   2.8e-07   29.4   0.0   1   2   8.1e-06   0.00038   19.3   0.0    32   108    12    80     8    82 0.92 -
83433at50557_13686_0:000d60|STRG.8927.13:250-1362|+     -            371 129956at50557        -            110   2.8e-07   29.4   0.0   2   2     0.038       1.8    7.5   0.0    31    73    90   124    85   158 0.77 -
83433at50557_13686_0:000d60|STRG.8927.2:125-1237|+      -            371 129956at50557        -            110   2.8e-07   29.4   0.0   1   2   8.1e-06   0.00038   19.3   0.0    32   108    12    80     8    82 0.92 -
83433at50557_13686_0:000d60|STRG.8927.2:125-1237|+      -            371 129956at50557        -            110   2.8e-07   29.4   0.0   2   2     0.038       1.8    7.5   0.0    31    73    90   124    85   158 0.77 -
83433at50557_13686_0:000d60|STRG.8927.3:125-1237|+      -            371 129956at50557        -            110   2.8e-07   29.4   0.0   1   2   8.1e-06   0.00038   19.3   0.0    32   108    12    80     8    82 0.92 -
83433at50557_13686_0:000d60|STRG.8927.3:125-1237|+      -            371 129956at50557        -            110   2.8e-07   29.4   0.0   2   2     0.038       1.8    7.5   0.0    31    73    90   124    85   158 0.77 -
129956at50557_38123_0:0017f4|STRG.5568.1:692-853|+      -             54 129956at50557        -            110   2.9e-07   29.3   0.0   1   1   6.2e-09   2.9e-07   29.3   0.0    33    82     2    51     1    54 0.91 -
129956at50557_38123_0:0017f4|STRG.5568.2:692-853|+      -             54 129956at50557        -            110   2.9e-07   29.3   0.0   1   1   6.2e-09   2.9e-07   29.3   0.0    33    82     2    51     1    54 0.91 -
129956at50557_38123_0:0017f4|STRG.5568.3:648-809|+      -             54 129956at50557        -            110   2.9e-07   29.3   0.0   1   1   6.2e-09   2.9e-07   29.3   0.0    33    82     2    51     1    54 0.91 -
129956at50557_307658_0:002521|STRG.11559.1:477-695|+    -             73 129956at50557        -            110     3e-07   29.3   0.0   1   1   6.5e-09   3.1e-07   29.2   0.0    27    94     3    69     1    73 0.90 -
129956at50557_307658_0:002521|STRG.11559.2:360-578|+    -             73 129956at50557        -            110     3e-07   29.3   0.0   1   1   6.5e-09   3.1e-07   29.2   0.0    27    94     3    69     1    73 0.90 -
129956at50557_121225_0:0029b4|STRG.6489.1:270-512|+     -             81 129956at50557        -            110   3.4e-07   29.1   0.1   1   1   7.6e-09   3.6e-07   29.0   0.1    33   103     1    70     1    77 0.82 -
129956at50557_121225_0:0029b4|STRG.6489.2:274-516|+     -             81 129956at50557        -            110   3.4e-07   29.1   0.1   1   1   7.6e-09   3.6e-07   29.0   0.1    33   103     1    70     1    77 0.82 -
125548at50557_454923_0:002650|STRG.9573.1:1475-1945|+   -            157 129956at50557        -            110   3.8e-07   28.9   0.0   1   1   1.5e-08   7.2e-07   28.0   0.0    32   106    55   128    45   132 0.92 -
129956at50557_7176_0:003daf|STRG.5568.4:648-890|+       -             81 129956at50557        -            110   4.9e-07   28.6   0.0   1   1   1.1e-08   5.2e-07   28.5   0.0    33    84     2    53     1    70 0.89 -
117816at50557_217634_0:001779|STRG.8952.1:233-685|+     -            151 129956at50557        -            110   5.3e-07   28.5   0.0   1   1   1.4e-08   6.6e-07   28.2   0.0    32    84     1    52     1    74 0.87 -
117816at50557_217634_0:001779|STRG.8952.2:342-794|+     -            151 129956at50557        -            110   5.3e-07   28.5   0.0   1   1   1.4e-08   6.6e-07   28.2   0.0    32    84     1    52     1    74 0.87 -
117816at50557_217634_0:001779|STRG.8952.3:342-794|+     -            151 129956at50557        -            110   5.3e-07   28.5   0.0   1   1   1.4e-08   6.6e-07   28.2   0.0    32    84     1    52     1    74 0.87 -
104832at50557_315563_0:002a5b|STRG.415.1:497-1120|+     -            208 129956at50557        -            110   1.1e-06   27.5   0.0   1   2   1.3e-05   0.00061   18.6   0.0    28   102    52   123    41   131 0.85 -
104832at50557_315563_0:002a5b|STRG.415.1:497-1120|+     -            208 129956at50557        -            110   1.1e-06   27.5   0.0   2   2     0.054       2.5    7.0   0.0    32   105   135   202   127   206 0.79 -
104832at50557_315563_0:002a5b|STRG.415.2:497-1120|+     -            208 129956at50557        -            110   1.1e-06   27.5   0.0   1   2   1.3e-05   0.00061   18.6   0.0    28   102    52   123    41   131 0.85 -
104832at50557_315563_0:002a5b|STRG.415.2:497-1120|+     -            208 129956at50557        -            110   1.1e-06   27.5   0.0   2   2     0.054       2.5    7.0   0.0    32   105   135   202   127   206 0.79 -
104832at50557_315563_0:002a5b|STRG.415.3:497-1120|+     -            208 129956at50557        -            110   1.1e-06   27.5   0.0   1   2   1.3e-05   0.00061   18.6   0.0    28   102    52   123    41   131 0.85 -
104832at50557_315563_0:002a5b|STRG.415.3:497-1120|+     -            208 129956at50557        -            110   1.1e-06   27.5   0.0   2   2     0.054       2.5    7.0   0.0    32   105   135   202   127   206 0.79 -
104832at50557_315563_0:002a5b|STRG.415.4:491-1114|+     -            208 129956at50557        -            110   1.1e-06   27.5   0.0   1   2   1.3e-05   0.00061   18.6   0.0    28   102    52   123    41   131 0.85 -
104832at50557_315563_0:002a5b|STRG.415.4:491-1114|+     -            208 129956at50557        -            110   1.1e-06   27.5   0.0   2   2     0.054       2.5    7.0   0.0    32   105   135   202   127   206 0.79 -
104832at50557_315563_0:002a5b|STRG.415.5:491-1114|+     -            208 129956at50557        -            110   1.1e-06   27.5   0.0   1   2   1.3e-05   0.00061   18.6   0.0    28   102    52   123    41   131 0.85 -
104832at50557_315563_0:002a5b|STRG.415.5:491-1114|+     -            208 129956at50557        -            110   1.1e-06   27.5   0.0   2   2     0.054       2.5    7.0   0.0    32   105   135   202   127   206 0.79 -
104832at50557_315563_0:002a5b|STRG.415.6:491-1114|+     -            208 129956at50557        -            110   1.1e-06   27.5   0.0   1   2   1.3e-05   0.00061   18.6   0.0    28   102    52   123    41   131 0.85 -
104832at50557_315563_0:002a5b|STRG.415.6:491-1114|+     -            208 129956at50557        -            110   1.1e-06   27.5   0.0   2   2     0.054       2.5    7.0   0.0    32   105   135   202   127   206 0.79 -
117816at50557_680683_0:00163d|STRG.10927.1:698-1204|+   -            169 129956at50557        -            110   3.1e-06   26.0   0.0   1   2   1.5e-05   0.00073   18.4   0.0    32    89     2    61     1    66 0.80 -
117816at50557_680683_0:00163d|STRG.10927.1:698-1204|+   -            169 129956at50557        -            110   3.1e-06   26.0   0.0   2   2      0.13       6.2    5.7   0.0    32    88   110   167   104   169 0.91 -
117816at50557_680683_0:00163d|STRG.10927.2:1711-2217|+  -            169 129956at50557        -            110   3.1e-06   26.0   0.0   1   2   1.5e-05   0.00073   18.4   0.0    32    89     2    61     1    66 0.80 -
117816at50557_680683_0:00163d|STRG.10927.2:1711-2217|+  -            169 129956at50557        -            110   3.1e-06   26.0   0.0   2   2      0.13       6.2    5.7   0.0    32    88   110   167   104   169 0.91 -
129956at50557_7176_0:003daf|STRG.5619.1:217-498|+       -             94 129956at50557        -            110   3.5e-06   25.8   0.0   1   1   8.9e-08   4.2e-06   25.6   0.0    42   103     2    65     1    71 0.87 -
129956at50557_7176_0:003daf|STRG.5619.2:216-497|+       -             94 129956at50557        -            110   3.5e-06   25.8   0.0   1   1   8.9e-08   4.2e-06   25.6   0.0    42   103     2    65     1    71 0.87 -
129956at50557_7176_0:003daf|STRG.5619.3:102-383|+       -             94 129956at50557        -            110   3.5e-06   25.8   0.0   1   1   8.9e-08   4.2e-06   25.6   0.0    42   103     2    65     1    71 0.87 -
129956at50557_7176_0:003daf|STRG.6758.1:256-498|+       -             81 129956at50557        -            110   6.3e-06   25.0   0.2   1   1   1.9e-07     9e-06   24.5   0.1    32    81     1    50     1    74 0.81 -
129956at50557_441921_0:0017da|STRG.815.1:153-395|+      -             81 129956at50557        -            110     9e-06   24.5   0.0   1   1   2.3e-07   1.1e-05   24.2   0.0    23   104     5    81     1    81 0.91 -
129956at50557_441921_0:0017da|STRG.815.2:153-395|+      -             81 129956at50557        -            110     9e-06   24.5   0.0   1   1   2.3e-07   1.1e-05   24.2   0.0    23   104     5    81     1    81 0.91 -
129956at50557_441921_0:0017da|STRG.815.3:153-395|+      -             81 129956at50557        -            110     9e-06   24.5   0.0   1   1   2.3e-07   1.1e-05   24.2   0.0    23   104     5    81     1    81 0.91 -
129956at50557_441921_0:0017da|STRG.815.4:153-395|+      -             81 129956at50557        -            110     9e-06   24.5   0.0   1   1   2.3e-07   1.1e-05   24.2   0.0    23   104     5    81     1    81 0.91 -
129956at50557_441921_0:0017da|STRG.815.5:153-395|+      -             81 129956at50557        -            110     9e-06   24.5   0.0   1   1   2.3e-07   1.1e-05   24.2   0.0    23   104     5    81     1    81 0.91 -
129956at50557_441921_0:0017da|STRG.815.6:153-395|+      -             81 129956at50557        -            110     9e-06   24.5   0.0   1   1   2.3e-07   1.1e-05   24.2   0.0    23   104     5    81     1    81 0.91 -
129956at50557_441921_0:0017da|STRG.815.7:124-366|+      -             81 129956at50557        -            110     9e-06   24.5   0.0   1   1   2.3e-07   1.1e-05   24.2   0.0    23   104     5    81     1    81 0.91 -
129956at50557_441921_0:0017da|STRG.815.8:124-366|+      -             81 129956at50557        -            110     9e-06   24.5   0.0   1   1   2.3e-07   1.1e-05   24.2   0.0    23   104     5    81     1    81 0.91 -
129956at50557_441921_0:0017da|STRG.815.9:428-670|+      -             81 129956at50557        -            110     9e-06   24.5   0.0   1   1   2.3e-07   1.1e-05   24.2   0.0    23   104     5    81     1    81 0.91 -
135254at50557_103372_0:002a85|STRG.2981.1:914-1117|+    -             68 129956at50557        -            110   1.5e-05   23.8   0.0   1   1   3.4e-07   1.6e-05   23.7   0.0    33    95     2    67     1    68 0.89 -
135254at50557_103372_0:002a85|STRG.2981.2:914-1117|+    -             68 129956at50557        -            110   1.5e-05   23.8   0.0   1   1   3.4e-07   1.6e-05   23.7   0.0    33    95     2    67     1    68 0.89 -
134150at50557_166423_0:002eec|STRG.1580.5:208-1452|+    -            415 129956at50557        -            110   1.5e-05   23.8   0.0   1   1   6.1e-07   2.9e-05   22.9   0.0    32   105   171   252   164   257 0.82 -
134150at50557_166423_0:002eec|STRG.1580.1:231-1478|+    -            416 129956at50557        -            110   1.5e-05   23.8   0.0   1   1   6.1e-07   2.9e-05   22.9   0.0    32   105   172   253   165   258 0.82 -
134150at50557_166423_0:002eec|STRG.1580.2:231-1478|+    -            416 129956at50557        -            110   1.5e-05   23.8   0.0   1   1   6.1e-07   2.9e-05   22.9   0.0    32   105   172   253   165   258 0.82 -
129956at50557_91411_0:002117|STRG.8575.1:782-1078|+     -             99 129956at50557        -            110     2e-05   23.4   0.0   1   1   4.9e-07   2.3e-05   23.2   0.0    32   102     1    72     1    81 0.82 -
105919at50557_88501_0:001ba1|STRG.1476.1:0-1829|+       -            610 129956at50557        -            110   3.2e-05   22.8   0.0   1   1   1.4e-06   6.3e-05   21.8   0.0    24    85   443   513   434   522 0.76 -
105919at50557_88501_0:001ba1|STRG.1476.2:449-2278|+     -            610 129956at50557        -            110   3.2e-05   22.8   0.0   1   1   1.4e-06   6.3e-05   21.8   0.0    24    85   443   513   434   522 0.76 -
53033at50557_103372_0:000c7f|STRG.9549.1:191-2608|+     -            806 129956at50557        -            110   3.4e-05   22.7   0.0   1   1   2.9e-06   0.00014   20.7   0.0    28    88   134   194   111   205 0.89 -
81462at50557_568069_0:002a34|STRG.15203.1:279-2303|+    -            675 129956at50557        -            110   0.00013   20.8   0.0   1   1   5.7e-06   0.00027   19.8   0.0    11   107   268   365   260   368 0.89 -
81462at50557_568069_0:002a34|STRG.15203.2:233-2257|+    -            675 129956at50557        -            110   0.00013   20.8   0.0   1   1   5.7e-06   0.00027   19.8   0.0    11   107   268   365   260   368 0.89 -
81462at50557_568069_0:002a34|STRG.15203.3:233-2257|+    -            675 129956at50557        -            110   0.00013   20.8   0.0   1   1   5.7e-06   0.00027   19.8   0.0    11   107   268   365   260   368 0.89 -
129956at50557_315563_0:002b41|STRG.15167.10:716-1051|+  -            112 129956at50557        -            110   0.00019   20.2   0.0   1   1   4.7e-06   0.00022   20.0   0.0    31   104    25   102     4   108 0.80 -
129956at50557_315563_0:002b41|STRG.15167.11:716-1051|+  -            112 129956at50557        -            110   0.00019   20.2   0.0   1   1   4.7e-06   0.00022   20.0   0.0    31   104    25   102     4   108 0.80 -
129956at50557_315563_0:002b41|STRG.15167.12:716-1051|+  -            112 129956at50557        -            110   0.00019   20.2   0.0   1   1   4.7e-06   0.00022   20.0   0.0    31   104    25   102     4   108 0.80 -
129956at50557_315563_0:002b41|STRG.15167.14:716-1051|+  -            112 129956at50557        -            110   0.00019   20.2   0.0   1   1   4.7e-06   0.00022   20.0   0.0    31   104    25   102     4   108 0.80 -
129956at50557_315563_0:002b41|STRG.15167.15:796-1131|+  -            112 129956at50557        -            110   0.00019   20.2   0.0   1   1   4.7e-06   0.00022   20.0   0.0    31   104    25   102     4   108 0.80 -
129956at50557_315563_0:002b41|STRG.15167.16:720-1055|+  -            112 129956at50557        -            110   0.00019   20.2   0.0   1   1   4.7e-06   0.00022   20.0   0.0    31   104    25   102     4   108 0.80 -
129956at50557_315563_0:002b41|STRG.15167.2:751-1086|+   -            112 129956at50557        -            110   0.00019   20.2   0.0   1   1   4.7e-06   0.00022   20.0   0.0    31   104    25   102     4   108 0.80 -
129956at50557_315563_0:002b41|STRG.15167.3:751-1086|+   -            112 129956at50557        -            110   0.00019   20.2   0.0   1   1   4.7e-06   0.00022   20.0   0.0    31   104    25   102     4   108 0.80 -
129956at50557_315563_0:002b41|STRG.15167.5:720-1055|+   -            112 129956at50557        -            110   0.00019   20.2   0.0   1   1   4.7e-06   0.00022   20.0   0.0    31   104    25   102     4   108 0.80 -
129956at50557_315563_0:002b41|STRG.15167.9:716-1051|+   -            112 129956at50557        -            110   0.00019   20.2   0.0   1   1   4.7e-06   0.00022   20.0   0.0    31   104    25   102     4   108 0.80 -
129956at50557_315563_0:002b41|STRG.15167.1:1871-2200|+  -            110 129956at50557        -            110    0.0002   20.2   0.0   1   1   4.8e-06   0.00022   20.0   0.0    31   104    23   100     7   106 0.80 -
129956at50557_315563_0:002b41|STRG.15167.17:1384-1716|+ -            111 129956at50557        -            110    0.0002   20.2   0.0   1   1   4.8e-06   0.00022   20.0   0.0    31   104    24   101     6   107 0.80 -
129956at50557_38123_0:0017f4|STRG.3218.1:1064-1234|+    -             57 129956at50557        -            110   0.00032   19.5   0.0   1   1   6.9e-06   0.00032   19.5   0.0    32    64     1    33     1    50 0.93 -
129956at50557_441921_0:0017da|STRG.11879.1:162-434|+    -             91 129956at50557        -            110    0.0013   17.6   0.0   1   1   3.6e-05    0.0017   17.2   0.0    24   104    16    91     5    91 0.90 -
30467at50557_144034_0:0022a4|STRG.13504.2:194-2341|+    -            716 129956at50557        -            110    0.0024   16.7   0.1   1   1   0.00015     0.007   15.2   0.1    48   103   102   158    93   165 0.86 -
30467at50557_144034_0:0022a4|STRG.13504.3:252-2399|+    -            716 129956at50557        -            110    0.0024   16.7   0.1   1   1   0.00015     0.007   15.2   0.1    48   103   102   158    93   165 0.86 -
30467at50557_144034_0:0022a4|STRG.13504.4:311-2458|+    -            716 129956at50557        -            110    0.0024   16.7   0.1   1   1   0.00015     0.007   15.2   0.1    48   103   102   158    93   165 0.86 -
30467at50557_144034_0:0022a4|STRG.13504.1:78-2228|+     -            717 129956at50557        -            110    0.0024   16.7   0.1   1   1   0.00015     0.007   15.2   0.1    48   103   102   158    93   165 0.86 -
125548at50557_103372_0:000e1a|STRG.12946.1:43-876|+     -            243 129956at50557        -            110    0.0041   16.0   0.0   1   1   0.00014    0.0067   15.3   0.0    28    89   113   176    99   194 0.78 -
101501at50557_1218281_0:0033ae|STRG.8956.1:1347-1544|+  -             66 129956at50557        -            110     0.031   13.1   0.0   1   1    0.0007     0.033   13.0   0.0    32    81     2    51     1    62 0.89 -
49780at50557_13686_0:001eb7|STRG.11411.1:2-2191|+       -            730 129956at50557        -            110     0.079   11.8   0.0   1   1    0.0057      0.27   10.1   0.0    32    78   268   313   256   326 0.85 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/129956at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
