#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107413at50557_103372_0:00285a|STRG.10355.1:56-1173|+    -            297 107413at50557        -             88   2.6e-35  119.6   2.4   1   1   2.2e-36   1.6e-34  117.1   2.4     1    88   180   286   180   286 0.85 -
98621at50557_7370_0:001243|STRG.14458.2:3110-3796|+     -            229 107413at50557        -             88   1.3e-07   30.9   2.4   1   1   7.5e-09   5.5e-07   28.8   1.5    22    88   150   225   138   225 0.76 -
98621at50557_680683_0:001bfb|STRG.9099.1:305-981|+      -            220 107413at50557        -             88   6.2e-07   28.7   0.4   1   2       6.4   4.7e+02    0.2   0.0    24    36    23    35    16    55 0.80 -
98621at50557_680683_0:001bfb|STRG.9099.1:305-981|+      -            220 107413at50557        -             88   6.2e-07   28.7   0.4   2   2     5e-08   3.7e-06   26.2   0.1    31    88   155   216   134   216 0.80 -
107413at50557_1155016_0:001042|STRG.9099.1:820-978|+    -             53 107413at50557        -             88   1.5e-06   27.5   0.2   1   1   2.2e-08   1.6e-06   27.4   0.2    42    88     1    50     1    50 0.84 -
98621at50557_166361_0:000283|STRG.12313.1:516-1316|+    -            267 107413at50557        -             88   6.6e-06   25.4   4.0   1   1   2.5e-07   1.8e-05   24.0   3.0    28    88   196   263   153   263 0.78 -
98621at50557_110193_0:0027e7|STRG.15765.1:1288-2082|+   -            265 107413at50557        -             88   2.5e-05   23.5   0.2   1   1   1.2e-06     9e-05   21.8   0.1    27    88   193   261   186   261 0.76 -
98621at50557_110193_0:0027e7|STRG.15765.2:1099-1893|+   -            265 107413at50557        -             88   2.5e-05   23.5   0.2   1   1   1.2e-06     9e-05   21.8   0.1    27    88   193   261   186   261 0.76 -
98621at50557_110193_0:0027e7|STRG.15765.3:1000-1794|+   -            265 107413at50557        -             88   2.5e-05   23.5   0.2   1   1   1.2e-06     9e-05   21.8   0.1    27    88   193   261   186   261 0.76 -
98621at50557_110193_0:0027e7|STRG.15765.4:1430-2224|+   -            265 107413at50557        -             88   2.5e-05   23.5   0.2   1   1   1.2e-06     9e-05   21.8   0.1    27    88   193   261   186   261 0.76 -
98621at50557_110193_0:0027e7|STRG.15765.5:888-1682|+    -            265 107413at50557        -             88   2.5e-05   23.5   0.2   1   1   1.2e-06     9e-05   21.8   0.1    27    88   193   261   186   261 0.76 -
98621at50557_7460_0:000221|STRG.12311.1:151-939|+       -            263 107413at50557        -             88   0.00012   21.4   1.1   1   1   3.1e-06   0.00022   20.5   1.1    27    81   203   263   161   263 0.80 -
17536at50557_103372_0:00299d|STRG.6797.1:823-3147|+     -            775 107413at50557        -             88   0.00031   20.1   0.2   1   1   1.4e-05     0.001   18.4   0.2    27    88   702   770   670   770 0.62 -
17536at50557_103372_0:00299d|STRG.6797.2:261-2585|+     -            775 107413at50557        -             88   0.00031   20.1   0.2   1   1   1.4e-05     0.001   18.4   0.2    27    88   702   770   670   770 0.62 -
17536at50557_103372_0:00299d|STRG.6797.3:471-2795|+     -            775 107413at50557        -             88   0.00031   20.1   0.2   1   1   1.4e-05     0.001   18.4   0.2    27    88   702   770   670   770 0.62 -
107413at50557_77166_0:001c77|STRG.9579.1:1555-2247|+    -            231 107413at50557        -             88   0.00043   19.6   3.7   1   2      0.44        32    4.0   0.1     1    10   120   129   120   163 0.82 -
107413at50557_77166_0:001c77|STRG.9579.1:1555-2247|+    -            231 107413at50557        -             88   0.00043   19.6   3.7   2   2   8.5e-05    0.0062   15.9   1.1    31    71   169   211   149   227 0.80 -
107413at50557_77166_0:001c77|STRG.9579.2:1468-2160|+    -            231 107413at50557        -             88   0.00043   19.6   3.7   1   2      0.44        32    4.0   0.1     1    10   120   129   120   163 0.82 -
107413at50557_77166_0:001c77|STRG.9579.2:1468-2160|+    -            231 107413at50557        -             88   0.00043   19.6   3.7   2   2   8.5e-05    0.0062   15.9   1.1    31    71   169   211   149   227 0.80 -
17536at50557_7493_0:002a62|STRG.9461.2:6318-7628|+      -            437 107413at50557        -             88    0.0086   15.4   0.0   1   1   0.00047     0.035   13.5   0.0    41    87   380   432   328   433 0.79 -
17536at50557_7493_0:002a62|STRG.9461.1:6318-7631|+      -            438 107413at50557        -             88    0.0089   15.4   0.0   1   1   0.00047     0.035   13.5   0.0    41    87   381   433   329   434 0.79 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/107413at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/107413at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/107413at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:21:18 2024
# [ok]
