#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
27737at50557_103372_0:000a01|STRG.8506.1:47-1879|+     -            611 27737at50557         -            506  8.3e-264  874.8  10.1   1   1  3.2e-265    3e-263  872.9  10.1     6   506    27   605    22   605 0.91 -
25500at50557_121845_0:000041|STRG.12145.1:349-1062|+   -            238 27737at50557         -            506    0.0008   17.1   0.2   2   2   0.00012     0.011   13.3   0.0    48    96   103   158    96   167 0.83 -
57752at50557_69319_0:000ee5|STRG.14283.1:195-998|+     -            268 27737at50557         -            506    0.0018   15.9   2.2   1   4       1.8   1.7e+02   -0.5   0.0    80    95    43    58     3    67 0.49 -
57752at50557_69319_0:000ee5|STRG.14283.1:195-998|+     -            268 27737at50557         -            506    0.0018   15.9   2.2   2   4      0.28        26    2.2   0.1    40    75    39    73    32    81 0.77 -
57752at50557_69319_0:000ee5|STRG.14283.1:195-998|+     -            268 27737at50557         -            506    0.0018   15.9   2.2   3   4    0.0002     0.018   12.6   0.3    30    96    70   145    63   155 0.76 -
57752at50557_69319_0:000ee5|STRG.14283.1:195-998|+     -            268 27737at50557         -            506    0.0018   15.9   2.2   4   4       1.5   1.4e+02   -0.2   0.0    45    59   216   230   200   237 0.76 -
40115at50557_29031_0:00277e|STRG.15892.3:1407-2192|+   -            262 27737at50557         -            506    0.0023   15.5   0.3   1   5       5.3     5e+02   -2.0   0.0   115   146    19    52    12    57 0.74 -
40115at50557_29031_0:00277e|STRG.15892.3:1407-2192|+   -            262 27737at50557         -            506    0.0023   15.5   0.3   2   5       1.6   1.5e+02   -0.4   0.0   194   220    61    88    46   108 0.68 -
40115at50557_29031_0:00277e|STRG.15892.3:1407-2192|+   -            262 27737at50557         -            506    0.0023   15.5   0.3   3   5    0.0011     0.099   10.2   0.0   189   222   152   185   139   193 0.78 -
40115at50557_29031_0:00277e|STRG.15892.3:1407-2192|+   -            262 27737at50557         -            506    0.0023   15.5   0.3   4   5         3   2.8e+02   -1.2   0.0   190   214   198   222   189   235 0.69 -
40115at50557_29031_0:00277e|STRG.15892.3:1407-2192|+   -            262 27737at50557         -            506    0.0023   15.5   0.3   5   5       3.1   2.9e+02   -1.2   0.0   183   207   233   257   225   259 0.80 -
40115at50557_29031_0:00277e|STRG.15892.4:1407-2192|+   -            262 27737at50557         -            506    0.0023   15.5   0.3   1   5       5.3     5e+02   -2.0   0.0   115   146    19    52    12    57 0.74 -
40115at50557_29031_0:00277e|STRG.15892.4:1407-2192|+   -            262 27737at50557         -            506    0.0023   15.5   0.3   2   5       1.6   1.5e+02   -0.4   0.0   194   220    61    88    46   108 0.68 -
40115at50557_29031_0:00277e|STRG.15892.4:1407-2192|+   -            262 27737at50557         -            506    0.0023   15.5   0.3   3   5    0.0011     0.099   10.2   0.0   189   222   152   185   139   193 0.78 -
40115at50557_29031_0:00277e|STRG.15892.4:1407-2192|+   -            262 27737at50557         -            506    0.0023   15.5   0.3   4   5         3   2.8e+02   -1.2   0.0   190   214   198   222   189   235 0.69 -
40115at50557_29031_0:00277e|STRG.15892.4:1407-2192|+   -            262 27737at50557         -            506    0.0023   15.5   0.3   5   5       3.1   2.9e+02   -1.2   0.0   183   207   233   257   225   259 0.80 -
40115at50557_29031_0:00277e|STRG.15892.5:1577-2362|+   -            262 27737at50557         -            506    0.0023   15.5   0.3   1   5       5.3     5e+02   -2.0   0.0   115   146    19    52    12    57 0.74 -
40115at50557_29031_0:00277e|STRG.15892.5:1577-2362|+   -            262 27737at50557         -            506    0.0023   15.5   0.3   2   5       1.6   1.5e+02   -0.4   0.0   194   220    61    88    46   108 0.68 -
40115at50557_29031_0:00277e|STRG.15892.5:1577-2362|+   -            262 27737at50557         -            506    0.0023   15.5   0.3   3   5    0.0011     0.099   10.2   0.0   189   222   152   185   139   193 0.78 -
40115at50557_29031_0:00277e|STRG.15892.5:1577-2362|+   -            262 27737at50557         -            506    0.0023   15.5   0.3   4   5         3   2.8e+02   -1.2   0.0   190   214   198   222   189   235 0.69 -
40115at50557_29031_0:00277e|STRG.15892.5:1577-2362|+   -            262 27737at50557         -            506    0.0023   15.5   0.3   5   5       3.1   2.9e+02   -1.2   0.0   183   207   233   257   225   259 0.80 -
40115at50557_29031_0:00277e|STRG.15892.7:1407-2192|+   -            262 27737at50557         -            506    0.0023   15.5   0.3   1   5       5.3     5e+02   -2.0   0.0   115   146    19    52    12    57 0.74 -
40115at50557_29031_0:00277e|STRG.15892.7:1407-2192|+   -            262 27737at50557         -            506    0.0023   15.5   0.3   2   5       1.6   1.5e+02   -0.4   0.0   194   220    61    88    46   108 0.68 -
40115at50557_29031_0:00277e|STRG.15892.7:1407-2192|+   -            262 27737at50557         -            506    0.0023   15.5   0.3   3   5    0.0011     0.099   10.2   0.0   189   222   152   185   139   193 0.78 -
40115at50557_29031_0:00277e|STRG.15892.7:1407-2192|+   -            262 27737at50557         -            506    0.0023   15.5   0.3   4   5         3   2.8e+02   -1.2   0.0   190   214   198   222   189   235 0.69 -
40115at50557_29031_0:00277e|STRG.15892.7:1407-2192|+   -            262 27737at50557         -            506    0.0023   15.5   0.3   5   5       3.1   2.9e+02   -1.2   0.0   183   207   233   257   225   259 0.80 -
80377at50557_7222_0:00003c|STRG.3282.1:5-457|+         -            151 27737at50557         -            506    0.0039   14.8   0.1   1   2      0.38        36    1.7   0.0   187   213    33    59    25    65 0.88 -
80377at50557_7222_0:00003c|STRG.3282.1:5-457|+         -            151 27737at50557         -            506    0.0039   14.8   0.1   2   2   0.00067     0.063   10.8   0.0    42    96    79   139    67   146 0.74 -
56099at50557_103372_0:001a7e|STRG.15538.1:74-1405|+    -            444 27737at50557         -            506    0.0041   14.7   0.3   1   3      0.77        72    0.7   0.0   180   208   109   137   100   143 0.79 -
56099at50557_103372_0:001a7e|STRG.15538.1:74-1405|+    -            444 27737at50557         -            506    0.0041   14.7   0.3   2   3    0.0013      0.12    9.9   0.1   116   219   218   320   201   328 0.77 -
56099at50557_103372_0:001a7e|STRG.15538.1:74-1405|+    -            444 27737at50557         -            506    0.0041   14.7   0.3   3   3       1.5   1.4e+02   -0.2   0.0    23    61   317   354   315   359 0.77 -
80377at50557_38123_0:002ff9|STRG.10661.1:126-1727|+    -            534 27737at50557         -            506    0.0077   13.8   4.7   1   2      0.71        66    0.8   0.0   184   218    55    89    50    99 0.89 -
80377at50557_38123_0:002ff9|STRG.10661.1:126-1727|+    -            534 27737at50557         -            506    0.0077   13.8   4.7   2   2   0.00063     0.059   10.9   3.0    31   103   134   213   130   227 0.67 -
80377at50557_38123_0:002ff9|STRG.10661.2:120-1721|+    -            534 27737at50557         -            506    0.0077   13.8   4.7   1   2      0.71        66    0.8   0.0   184   218    55    89    50    99 0.89 -
80377at50557_38123_0:002ff9|STRG.10661.2:120-1721|+    -            534 27737at50557         -            506    0.0077   13.8   4.7   2   2   0.00063     0.059   10.9   3.0    31   103   134   213   130   227 0.67 -
80377at50557_38123_0:002ff9|STRG.10661.3:243-1844|+    -            534 27737at50557         -            506    0.0077   13.8   4.7   1   2      0.71        66    0.8   0.0   184   218    55    89    50    99 0.89 -
80377at50557_38123_0:002ff9|STRG.10661.3:243-1844|+    -            534 27737at50557         -            506    0.0077   13.8   4.7   2   2   0.00063     0.059   10.9   3.0    31   103   134   213   130   227 0.67 -
80377at50557_38123_0:002ff9|STRG.10661.4:125-1726|+    -            534 27737at50557         -            506    0.0077   13.8   4.7   1   2      0.71        66    0.8   0.0   184   218    55    89    50    99 0.89 -
80377at50557_38123_0:002ff9|STRG.10661.4:125-1726|+    -            534 27737at50557         -            506    0.0077   13.8   4.7   2   2   0.00063     0.059   10.9   3.0    31   103   134   213   130   227 0.67 -
55830at50557_168631_0:000573|STRG.15021.1:119-976|+    -            286 27737at50557         -            506      0.01   13.4   0.0   1   2     0.018       1.7    6.1   0.0   184   218    36    70     4   133 0.82 -
55830at50557_168631_0:000573|STRG.15021.1:119-976|+    -            286 27737at50557         -            506      0.01   13.4   0.0   2   2     0.028       2.6    5.5   0.0    42    68   184   210   169   251 0.68 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+    -            346 27737at50557         -            506     0.019   12.5   0.0   1   2       1.9   1.8e+02   -0.6   0.0    67    96   184   220   158   242 0.57 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+    -            346 27737at50557         -            506     0.019   12.5   0.0   2   2    0.0027      0.25    8.9   0.0   185   218   289   322   277   330 0.89 -
70122at50557_56086_0:00188d|STRG.14818.2:690-1037|+    -            116 27737at50557         -            506     0.022   12.3   0.0   1   1   0.00026     0.024   12.2   0.0   311   377    19    85     7   108 0.84 -
70122at50557_56086_0:00188d|STRG.14818.3:690-1037|+    -            116 27737at50557         -            506     0.022   12.3   0.0   1   1   0.00026     0.024   12.2   0.0   311   377    19    85     7   108 0.84 -
70122at50557_56086_0:00188d|STRG.14818.5:779-1126|+    -            116 27737at50557         -            506     0.022   12.3   0.0   1   1   0.00026     0.024   12.2   0.0   311   377    19    85     7   108 0.84 -
70122at50557_56086_0:00188d|STRG.14818.6:690-1037|+    -            116 27737at50557         -            506     0.022   12.3   0.0   1   1   0.00026     0.024   12.2   0.0   311   377    19    85     7   108 0.84 -
48053at50557_13249_0:0016bb|STRG.3351.1:750-1724|+     -            325 27737at50557         -            506     0.024   12.2   0.1   1   4       1.3   1.2e+02   -0.0   0.0    44    75    84   115    69   119 0.81 -
48053at50557_13249_0:0016bb|STRG.3351.1:750-1724|+     -            325 27737at50557         -            506     0.024   12.2   0.1   2   4     0.016       1.5    6.3   0.0   184   215   118   149   109   164 0.85 -
48053at50557_13249_0:0016bb|STRG.3351.1:750-1724|+     -            325 27737at50557         -            506     0.024   12.2   0.1   3   4       6.5   6.1e+02   -2.3   0.0   195   223   173   201   162   211 0.79 -
48053at50557_13249_0:0016bb|STRG.3351.1:750-1724|+     -            325 27737at50557         -            506     0.024   12.2   0.1   4   4      0.64        60    1.0   0.0   185   210   205   230   192   256 0.79 -
80377at50557_454923_0:001015|STRG.13365.1:148-927|+    -            260 27737at50557         -            506     0.033   11.7   0.1   1   3     0.077       7.2    4.0   0.0   176   220    49    93    46   100 0.83 -
80377at50557_454923_0:001015|STRG.13365.1:148-927|+    -            260 27737at50557         -            506     0.033   11.7   0.1   2   3      0.19        18    2.7   0.1    33    98    97   171    94   181 0.60 -
80377at50557_454923_0:001015|STRG.13365.1:148-927|+    -            260 27737at50557         -            506     0.033   11.7   0.1   3   3      0.71        67    0.8   0.0   185   220   187   222   181   229 0.91 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+     -            237 27737at50557         -            506     0.034   11.7   0.4   1   2     0.027       2.6    5.5   0.2    40    98    59   123    31   130 0.68 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+     -            237 27737at50557         -            506     0.034   11.7   0.4   2   2     0.055       5.1    4.5   0.0    45    96   178   237   165   237 0.80 -
37475at50557_29031_0:002211|STRG.9531.3:673-1098|+     -            142 27737at50557         -            506     0.043   11.4   0.0   1   2      0.28        26    2.2   0.0   193   230    16    53     8    58 0.83 -
37475at50557_29031_0:002211|STRG.9531.3:673-1098|+     -            142 27737at50557         -            506     0.043   11.4   0.0   2   2    0.0088      0.82    7.1   0.0   188   215   103   130    93   138 0.86 -
78072at50557_56086_0:002946|STRG.16090.1:1177-1830|+   -            218 27737at50557         -            506     0.059   10.9   0.0   1   2       0.7        65    0.9   0.0   196   229    22    55    15   105 0.52 -
78072at50557_56086_0:002946|STRG.16090.1:1177-1830|+   -            218 27737at50557         -            506     0.059   10.9   0.0   2   2    0.0055      0.51    7.8   0.0   185   213   103   131    99   136 0.89 -
78072at50557_56086_0:002946|STRG.16090.2:657-1310|+    -            218 27737at50557         -            506     0.059   10.9   0.0   1   2       0.7        65    0.9   0.0   196   229    22    55    15   105 0.52 -
78072at50557_56086_0:002946|STRG.16090.2:657-1310|+    -            218 27737at50557         -            506     0.059   10.9   0.0   2   2    0.0055      0.51    7.8   0.0   185   213   103   131    99   136 0.89 -
78072at50557_56086_0:002946|STRG.16090.3:378-1031|+    -            218 27737at50557         -            506     0.059   10.9   0.0   1   2       0.7        65    0.9   0.0   196   229    22    55    15   105 0.52 -
78072at50557_56086_0:002946|STRG.16090.3:378-1031|+    -            218 27737at50557         -            506     0.059   10.9   0.0   2   2    0.0055      0.51    7.8   0.0   185   213   103   131    99   136 0.89 -
78072at50557_56086_0:002946|STRG.16090.4:834-1487|+    -            218 27737at50557         -            506     0.059   10.9   0.0   1   2       0.7        65    0.9   0.0   196   229    22    55    15   105 0.52 -
78072at50557_56086_0:002946|STRG.16090.4:834-1487|+    -            218 27737at50557         -            506     0.059   10.9   0.0   2   2    0.0055      0.51    7.8   0.0   185   213   103   131    99   136 0.89 -
78072at50557_56086_0:002946|STRG.16090.5:2035-2688|+   -            218 27737at50557         -            506     0.059   10.9   0.0   1   2       0.7        65    0.9   0.0   196   229    22    55    15   105 0.52 -
78072at50557_56086_0:002946|STRG.16090.5:2035-2688|+   -            218 27737at50557         -            506     0.059   10.9   0.0   2   2    0.0055      0.51    7.8   0.0   185   213   103   131    99   136 0.89 -
78072at50557_56086_0:002946|STRG.16090.6:1959-2612|+   -            218 27737at50557         -            506     0.059   10.9   0.0   1   2       0.7        65    0.9   0.0   196   229    22    55    15   105 0.52 -
78072at50557_56086_0:002946|STRG.16090.6:1959-2612|+   -            218 27737at50557         -            506     0.059   10.9   0.0   2   2    0.0055      0.51    7.8   0.0   185   213   103   131    99   136 0.89 -
80377at50557_108931_0:002353|STRG.9836.1:2268-2888|+   -            207 27737at50557         -            506     0.071   10.7   0.0   1   2     0.024       2.3    5.7   0.1    72    96    43    67    36    89 0.87 -
80377at50557_108931_0:002353|STRG.9836.1:2268-2888|+   -            207 27737at50557         -            506     0.071   10.7   0.0   2   2      0.18        17    2.8   0.0   182   208    87   113    72   119 0.84 -
80377at50557_108931_0:002353|STRG.9836.2:1851-2471|+   -            207 27737at50557         -            506     0.071   10.7   0.0   1   2     0.024       2.3    5.7   0.1    72    96    43    67    36    89 0.87 -
80377at50557_108931_0:002353|STRG.9836.2:1851-2471|+   -            207 27737at50557         -            506     0.071   10.7   0.0   2   2      0.18        17    2.8   0.0   182   208    87   113    72   119 0.84 -
80377at50557_108931_0:002353|STRG.9836.3:2372-2992|+   -            207 27737at50557         -            506     0.071   10.7   0.0   1   2     0.024       2.3    5.7   0.1    72    96    43    67    36    89 0.87 -
80377at50557_108931_0:002353|STRG.9836.3:2372-2992|+   -            207 27737at50557         -            506     0.071   10.7   0.0   2   2      0.18        17    2.8   0.0   182   208    87   113    72   119 0.84 -
31374at50557_217634_0:002f47|STRG.3281.1:31-246|+      -             72 27737at50557         -            506     0.077   10.5   0.1   1   2    0.0036      0.34    8.4   0.0   184   213     7    36     2    47 0.83 -
31374at50557_217634_0:002f47|STRG.3281.1:31-246|+      -             72 27737at50557         -            506     0.077   10.5   0.1   2   2      0.78        73    0.7   0.1    31    58    44    72    36    72 0.71 -
40115at50557_103372_0:0021d6|STRG.13166.2:3978-4955|+  -            326 27737at50557         -            506     0.081   10.5   0.5   1   3      0.32        30    2.0   0.1    39    65    31    57    22    93 0.69 -
40115at50557_103372_0:0021d6|STRG.13166.2:3978-4955|+  -            326 27737at50557         -            506     0.081   10.5   0.5   2   3         4   3.7e+02   -1.6   0.0   108   135   142   169    64   183 0.64 -
40115at50557_103372_0:0021d6|STRG.13166.2:3978-4955|+  -            326 27737at50557         -            506     0.081   10.5   0.5   3   3     0.028       2.6    5.5   0.1    38    58   306   326   297   326 0.84 -
69548at50557_103372_0:0010c7|STRG.11560.1:140-1468|+   -            443 27737at50557         -            506      0.57    7.7   5.8   1   3     0.038       3.6    5.0   0.1    10    61   107   157    99   199 0.85 -
69548at50557_103372_0:0010c7|STRG.11560.1:140-1468|+   -            443 27737at50557         -            506      0.57    7.7   5.8   2   3     0.089       8.3    3.8   0.7    31    60   280   309   272   349 0.82 -
69548at50557_103372_0:0010c7|STRG.11560.1:140-1468|+   -            443 27737at50557         -            506      0.57    7.7   5.8   3   3       2.6   2.4e+02   -1.0   0.0    44    85   334   377   327   396 0.67 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/27737at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/27737at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/27737at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:25:20 2024
# [ok]
