#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
66691at50557_456900_0:002b0f|STRG.1398.1:336-1436|+   -            367 66691at50557         -            296  2.5e-144  478.9   8.7   1   1  9.7e-146  7.3e-144  477.3   8.7     1   290    15   355    15   360 0.89 -
40115at50557_123851_0:00295a|STRG.10159.6:292-1278|+  -            329 66691at50557         -            296   1.6e-06   26.4   0.0   1   3   6.1e-07   4.6e-05   21.6   0.0    73   180    11   125     4   155 0.67 -
40115at50557_123851_0:00295a|STRG.10159.6:292-1278|+  -            329 66691at50557         -            296   1.6e-06   26.4   0.0   2   3       5.5   4.1e+02   -1.2   0.0   121   184   216   272   205   291 0.50 -
40115at50557_123851_0:00295a|STRG.10159.6:292-1278|+  -            329 66691at50557         -            296   1.6e-06   26.4   0.0   3   3       1.1        84    1.1   0.0    25    56   298   329   295   329 0.91 -
40115at50557_123851_0:00295a|STRG.10159.1:1958-2926|+ -            323 66691at50557         -            296   1.6e-06   26.4   0.0   1   3   5.9e-07   4.4e-05   21.7   0.0    73   180    11   125     4   155 0.67 -
40115at50557_123851_0:00295a|STRG.10159.1:1958-2926|+ -            323 66691at50557         -            296   1.6e-06   26.4   0.0   2   3       7.2   5.5e+02   -1.6   0.0   161   185   243   267   204   285 0.48 -
40115at50557_123851_0:00295a|STRG.10159.1:1958-2926|+ -            323 66691at50557         -            296   1.6e-06   26.4   0.0   3   3       1.1        82    1.1   0.0    25    56   292   323   289   323 0.91 -
40115at50557_123851_0:00295a|STRG.10159.2:588-1556|+  -            323 66691at50557         -            296   1.6e-06   26.4   0.0   1   3   5.9e-07   4.4e-05   21.7   0.0    73   180    11   125     4   155 0.67 -
40115at50557_123851_0:00295a|STRG.10159.2:588-1556|+  -            323 66691at50557         -            296   1.6e-06   26.4   0.0   2   3       7.2   5.5e+02   -1.6   0.0   161   185   243   267   204   285 0.48 -
40115at50557_123851_0:00295a|STRG.10159.2:588-1556|+  -            323 66691at50557         -            296   1.6e-06   26.4   0.0   3   3       1.1        82    1.1   0.0    25    56   292   323   289   323 0.91 -
40115at50557_123851_0:00295a|STRG.10159.3:1807-2775|+ -            323 66691at50557         -            296   1.6e-06   26.4   0.0   1   3   5.9e-07   4.4e-05   21.7   0.0    73   180    11   125     4   155 0.67 -
40115at50557_123851_0:00295a|STRG.10159.3:1807-2775|+ -            323 66691at50557         -            296   1.6e-06   26.4   0.0   2   3       7.2   5.5e+02   -1.6   0.0   161   185   243   267   204   285 0.48 -
40115at50557_123851_0:00295a|STRG.10159.3:1807-2775|+ -            323 66691at50557         -            296   1.6e-06   26.4   0.0   3   3       1.1        82    1.1   0.0    25    56   292   323   289   323 0.91 -
40115at50557_123851_0:00295a|STRG.10159.4:103-1071|+  -            323 66691at50557         -            296   1.6e-06   26.4   0.0   1   3   5.9e-07   4.4e-05   21.7   0.0    73   180    11   125     4   155 0.67 -
40115at50557_123851_0:00295a|STRG.10159.4:103-1071|+  -            323 66691at50557         -            296   1.6e-06   26.4   0.0   2   3       7.2   5.5e+02   -1.6   0.0   161   185   243   267   204   285 0.48 -
40115at50557_123851_0:00295a|STRG.10159.4:103-1071|+  -            323 66691at50557         -            296   1.6e-06   26.4   0.0   3   3       1.1        82    1.1   0.0    25    56   292   323   289   323 0.91 -
40115at50557_123851_0:00295a|STRG.10159.5:803-1771|+  -            323 66691at50557         -            296   1.6e-06   26.4   0.0   1   3   5.9e-07   4.4e-05   21.7   0.0    73   180    11   125     4   155 0.67 -
40115at50557_123851_0:00295a|STRG.10159.5:803-1771|+  -            323 66691at50557         -            296   1.6e-06   26.4   0.0   2   3       7.2   5.5e+02   -1.6   0.0   161   185   243   267   204   285 0.48 -
40115at50557_123851_0:00295a|STRG.10159.5:803-1771|+  -            323 66691at50557         -            296   1.6e-06   26.4   0.0   3   3       1.1        82    1.1   0.0    25    56   292   323   289   323 0.91 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+   -            305 66691at50557         -            296   1.9e-06   26.2  15.8   1   5    0.0095      0.72    7.9   0.1   120   207     6    86     3    88 0.85 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+   -            305 66691at50557         -            296   1.9e-06   26.2  15.8   2   5    0.0083      0.63    8.1   0.2    22    67    83   128    77   143 0.84 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+   -            305 66691at50557         -            296   1.9e-06   26.2  15.8   3   5     0.011      0.85    7.6   0.9    24    91   127   192   123   199 0.73 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+   -            305 66691at50557         -            296   1.9e-06   26.2  15.8   4   5    0.0048      0.36    8.9   0.1   157   212   224   280   203   283 0.74 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+   -            305 66691at50557         -            296   1.9e-06   26.2  15.8   5   5     0.057       4.3    5.3   0.1   123   146   281   304   278   305 0.91 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+   -            305 66691at50557         -            296   1.9e-06   26.2  15.8   1   5    0.0095      0.72    7.9   0.1   120   207     6    86     3    88 0.85 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+   -            305 66691at50557         -            296   1.9e-06   26.2  15.8   2   5    0.0083      0.63    8.1   0.2    22    67    83   128    77   143 0.84 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+   -            305 66691at50557         -            296   1.9e-06   26.2  15.8   3   5     0.011      0.85    7.6   0.9    24    91   127   192   123   199 0.73 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+   -            305 66691at50557         -            296   1.9e-06   26.2  15.8   4   5    0.0048      0.36    8.9   0.1   157   212   224   280   203   283 0.74 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+   -            305 66691at50557         -            296   1.9e-06   26.2  15.8   5   5     0.057       4.3    5.3   0.1   123   146   281   304   278   305 0.91 -
25500at50557_13686_0:0020f5|STRG.4579.1:202-2007|+    -            602 66691at50557         -            296   2.3e-06   25.9   4.2   1   4      0.35        26    2.7   0.0   129   188    68   122    58   155 0.74 -
25500at50557_13686_0:0020f5|STRG.4579.1:202-2007|+    -            602 66691at50557         -            296   2.3e-06   25.9   4.2   2   4       1.5   1.2e+02    0.6   0.0   121   151   191   221   165   232 0.66 -
25500at50557_13686_0:0020f5|STRG.4579.1:202-2007|+    -            602 66691at50557         -            296   2.3e-06   25.9   4.2   3   4     0.098       7.4    4.6   0.0    28    60   232   264   229   273 0.89 -
25500at50557_13686_0:0020f5|STRG.4579.1:202-2007|+    -            602 66691at50557         -            296   2.3e-06   25.9   4.2   4   4   7.9e-05     0.006   14.7   1.4    27   138   481   590   445   599 0.74 -
78072at50557_29058_0:001c12|STRG.7963.1:284-1030|+    -            249 66691at50557         -            296   3.4e-06   25.3  16.2   1   2   1.3e-05   0.00095   17.3   2.6    28   130     8   111     2   119 0.84 -
78072at50557_29058_0:001c12|STRG.7963.1:284-1030|+    -            249 66691at50557         -            296   3.4e-06   25.3  16.2   2   2   0.00012    0.0089   14.1   4.9    23   108   154   243   150   248 0.84 -
78072at50557_39758_0:003b38|STRG.7795.1:738-1277|+    -            180 66691at50557         -            296   3.5e-06   25.3   0.8   1   1   6.6e-08     5e-06   24.8   0.8    31   140    62   177    37   180 0.72 -
14512at50557_103372_0:0005b9|STRG.15079.1:353-2929|+  -            859 66691at50557         -            296   5.2e-06   24.7   0.1   1   2   4.6e-05    0.0035   15.5   0.0    26   198    15   175     9   184 0.78 -
14512at50557_103372_0:0005b9|STRG.15079.1:353-2929|+  -            859 66691at50557         -            296   5.2e-06   24.7   0.1   2   2     0.023       1.7    6.6   0.0   122   145   190   213   185   251 0.86 -
14512at50557_103372_0:0005b9|STRG.15079.2:353-2986|+  -            878 66691at50557         -            296   5.6e-06   24.7   0.1   1   2   4.6e-05    0.0035   15.5   0.0    25   198    14   175     7   184 0.78 -
14512at50557_103372_0:0005b9|STRG.15079.2:353-2986|+  -            878 66691at50557         -            296   5.6e-06   24.7   0.1   2   2     0.022       1.7    6.7   0.0   121   145   189   213   184   251 0.86 -
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+    -            652 66691at50557         -            296   5.9e-06   24.6   1.7   1   3       1.8   1.4e+02    0.4   0.0   121   148   325   352   320   362 0.89 -
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+    -            652 66691at50557         -            296   5.9e-06   24.6   1.7   2   3   4.6e-05    0.0034   15.5   0.2    19   196   386   550   367   554 0.79 -
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+    -            652 66691at50557         -            296   5.9e-06   24.6   1.7   3   3   0.00015     0.011   13.8   0.5    31   196   440   592   433   606 0.70 -
14512at50557_56086_0:000590|STRG.6561.1:586-1053|+    -            156 66691at50557         -            296   1.3e-05   23.5   0.4   1   3     0.032       2.4    6.2   0.0   169   201     2    34     1    51 0.76 -
14512at50557_56086_0:000590|STRG.6561.1:586-1053|+    -            156 66691at50557         -            296   1.3e-05   23.5   0.4   2   3   0.00051     0.038   12.1   0.1   124   199    48   116    42   121 0.77 -
14512at50557_56086_0:000590|STRG.6561.1:586-1053|+    -            156 66691at50557         -            296   1.3e-05   23.5   0.4   3   3      0.24        18    3.3   0.0   160   194   119   154   113   156 0.62 -
33043at50557_6973_0:0036f9|STRG.7514.1:1695-2330|+    -            212 66691at50557         -            296   3.2e-05   22.2   0.5   1   2       0.2        15    3.6   0.2   118   133    65    80    46   118 0.81 -
33043at50557_6973_0:0036f9|STRG.7514.1:1695-2330|+    -            212 66691at50557         -            296   3.2e-05   22.2   0.5   2   2   2.4e-05    0.0018   16.4   0.0    20    89   132   200   114   211 0.79 -
42371at50557_520822_0:00190c|STRG.10436.1:510-2333|+  -            608 66691at50557         -            296   3.6e-05   22.0   1.0   1   2   0.00041     0.031   12.3   0.1    15    92   320   400   305   425 0.78 -
42371at50557_520822_0:00190c|STRG.10436.1:510-2333|+  -            608 66691at50557         -            296   3.6e-05   22.0   1.0   2   2      0.02       1.5    6.8   0.1    48   146   525   576   494   608 0.55 -
42371at50557_520822_0:00190c|STRG.10436.2:510-2330|+  -            607 66691at50557         -            296   3.7e-05   22.0   1.0   1   2   0.00041     0.031   12.4   0.1    15    92   319   399   304   424 0.78 -
42371at50557_520822_0:00190c|STRG.10436.2:510-2330|+  -            607 66691at50557         -            296   3.7e-05   22.0   1.0   2   2      0.02       1.5    6.8   0.1    48   146   524   575   493   607 0.55 -
42371at50557_520822_0:00190c|STRG.10436.3:496-2337|+  -            607 66691at50557         -            296   3.7e-05   22.0   1.0   1   2   0.00041     0.031   12.4   0.1    15    92   319   399   304   424 0.78 -
42371at50557_520822_0:00190c|STRG.10436.3:496-2337|+  -            607 66691at50557         -            296   3.7e-05   22.0   1.0   2   2      0.02       1.5    6.8   0.1    48   146   524   575   493   607 0.55 -
40115at50557_108931_0:001d6b|STRG.7514.1:1182-2330|+  -            383 66691at50557         -            296   8.8e-05   20.7   0.9   1   3         3   2.2e+02   -0.3   0.0   111   146   102   137    64   148 0.60 -
40115at50557_108931_0:001d6b|STRG.7514.1:1182-2330|+  -            383 66691at50557         -            296   8.8e-05   20.7   0.9   2   3      0.48        36    2.3   0.1   118   133   236   251   218   288 0.83 -
40115at50557_108931_0:001d6b|STRG.7514.1:1182-2330|+  -            383 66691at50557         -            296   8.8e-05   20.7   0.9   3   3   7.2e-05    0.0054   14.8   0.0    20    89   303   371   283   382 0.79 -
78072at50557_37001_0:000457|STRG.6861.1:703-1293|+    -            197 66691at50557         -            296    0.0001   20.5   0.2   1   2    0.0039      0.29    9.2   0.0   120   148     3    31     2    36 0.92 -
78072at50557_37001_0:000457|STRG.6861.1:703-1293|+    -            197 66691at50557         -            296    0.0001   20.5   0.2   2   2    0.0039      0.29    9.2   0.1    75   145    46   120    36   129 0.55 -
48053at50557_13249_0:0016bb|STRG.3351.1:750-1724|+    -            325 66691at50557         -            296   0.00025   19.2   2.9   1   2     0.012      0.94    7.5   0.0   122   211    73   159    64   164 0.80 -
48053at50557_13249_0:0016bb|STRG.3351.1:750-1724|+    -            325 66691at50557         -            296   0.00025   19.2   2.9   2   2     0.049       3.7    5.5   0.5    20    59   191   230   171   317 0.68 -
49370at50557_456900_0:00265d|STRG.6693.1:222-1790|+   -            523 66691at50557         -            296   0.00029   19.0   0.6   1   3       2.4   1.8e+02    0.0   0.0   153   194   353   392   323   405 0.58 -
49370at50557_456900_0:00265d|STRG.6693.1:222-1790|+   -            523 66691at50557         -            296   0.00029   19.0   0.6   2   3     0.032       2.4    6.1   0.0    25    60   404   439   399   446 0.87 -
49370at50557_456900_0:00265d|STRG.6693.1:222-1790|+   -            523 66691at50557         -            296   0.00029   19.0   0.6   3   3    0.0096      0.73    7.9   0.0    18    57   482   521   472   523 0.86 -
40115at50557_110193_0:00292f|STRG.6409.1:914-1648|+   -            245 66691at50557         -            296   0.00045   18.4   1.5   1   1   1.1e-05   0.00085   17.5   1.5    20   189    72   238    59   244 0.72 -
40115at50557_110193_0:00292f|STRG.6409.2:791-1525|+   -            245 66691at50557         -            296   0.00045   18.4   1.5   1   1   1.1e-05   0.00085   17.5   1.5    20   189    72   238    59   244 0.72 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+    -            237 66691at50557         -            296   0.00092   17.4   4.1   1   3     0.026         2    6.4   0.0   123   149    12    38     8    88 0.72 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+    -            237 66691at50557         -            296   0.00092   17.4   4.1   2   3     0.023       1.7    6.6   0.2    25    59    88   122    69   130 0.81 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+    -            237 66691at50557         -            296   0.00092   17.4   4.1   3   3      0.12       8.7    4.3   0.3    34    97   166   232   151   237 0.57 -
78072at50557_139723_0:002bcb|STRG.10627.1:459-1259|+  -            267 66691at50557         -            296    0.0013   16.9   0.2   1   2   0.00069     0.052   11.6   0.1    36    99    78   143    69   151 0.83 -
78072at50557_139723_0:002bcb|STRG.10627.1:459-1259|+  -            267 66691at50557         -            296    0.0013   16.9   0.2   2   2      0.31        23    2.9   0.0    37    66   166   195   159   257 0.82 -
43121at50557_7159_0:0008d1|STRG.3170.1:1074-1838|+    -            255 66691at50557         -            296    0.0018   16.4   2.0   1   3     0.015       1.1    7.3   0.2    28    97     4    73     1    75 0.76 -
43121at50557_7159_0:0008d1|STRG.3170.1:1074-1838|+    -            255 66691at50557         -            296    0.0018   16.4   2.0   2   3     0.021       1.6    6.8   0.0   119   184    48   111    37   120 0.77 -
43121at50557_7159_0:0008d1|STRG.3170.1:1074-1838|+    -            255 66691at50557         -            296    0.0018   16.4   2.0   3   3      0.26        20    3.1   0.0   116   134   236   254   188   255 0.79 -
58729at50557_103372_0:00194e|STRG.940.1:143-1714|+    -            524 66691at50557         -            296    0.0018   16.4   0.2   1   2       7.6   5.7e+02   -1.6   0.0   159   197   113   151    94   175 0.70 -
58729at50557_103372_0:00194e|STRG.940.1:143-1714|+    -            524 66691at50557         -            296    0.0018   16.4   0.2   2   2   7.9e-05    0.0059   14.7   0.0    22   101   241   317   224   337 0.85 -
40115at50557_77166_0:00051d|STRG.8742.2:0-308|+       -            103 66691at50557         -            296    0.0027   15.8   0.0   1   2     0.028       2.1    6.4   0.0   121   145    35    59    29    65 0.88 -
40115at50557_77166_0:00051d|STRG.8742.2:0-308|+       -            103 66691at50557         -            296    0.0027   15.8   0.0   2   2     0.019       1.4    6.9   0.0   121   146    77   102    66   103 0.77 -
25500at50557_121845_0:000041|STRG.12145.1:349-1062|+  -            238 66691at50557         -            296    0.0028   15.8   3.5   1   2      0.21        16    3.5   0.1   113   155    36    79     2   118 0.77 -
25500at50557_121845_0:000041|STRG.12145.1:349-1062|+  -            238 66691at50557         -            296    0.0028   15.8   3.5   2   2   0.00029     0.022   12.8   0.7    21    97   121   194    96   205 0.82 -
78072at50557_123851_0:000487|STRG.4718.1:423-1310|+   -            296 66691at50557         -            296    0.0029   15.7   1.2   1   3       2.8   2.1e+02   -0.2   0.0    76    99    21    43     3    48 0.62 -
78072at50557_123851_0:000487|STRG.4718.1:423-1310|+   -            296 66691at50557         -            296    0.0029   15.7   1.2   2   3   3.9e-05    0.0029   15.7   1.2    23   136    68   182    59   187 0.80 -
78072at50557_123851_0:000487|STRG.4718.1:423-1310|+   -            296 66691at50557         -            296    0.0029   15.7   1.2   3   3       6.5   4.9e+02   -1.4   0.0    28    52   269   291   239   294 0.64 -
43553at50557_103372_0:0013d1|STRG.6288.1:355-1868|+   -            494 66691at50557         -            296    0.0032   15.6   3.6   1   3      0.27        20    3.1   0.0   121   156   206   242   193   260 0.82 -
43553at50557_103372_0:0013d1|STRG.6288.1:355-1868|+   -            494 66691at50557         -            296    0.0032   15.6   3.6   2   3    0.0043      0.32    9.0   0.1    24    67   281   324   277   327 0.88 -
43553at50557_103372_0:0013d1|STRG.6288.1:355-1868|+   -            494 66691at50557         -            296    0.0032   15.6   3.6   3   3       1.3        99    0.9   0.0    26    60   368   401   357   423 0.74 -
43553at50557_103372_0:0013d1|STRG.6288.2:735-2248|+   -            494 66691at50557         -            296    0.0032   15.6   3.6   1   3      0.27        20    3.1   0.0   121   156   206   242   193   260 0.82 -
43553at50557_103372_0:0013d1|STRG.6288.2:735-2248|+   -            494 66691at50557         -            296    0.0032   15.6   3.6   2   3    0.0043      0.32    9.0   0.1    24    67   281   324   277   327 0.88 -
43553at50557_103372_0:0013d1|STRG.6288.2:735-2248|+   -            494 66691at50557         -            296    0.0032   15.6   3.6   3   3       1.3        99    0.9   0.0    26    60   368   401   357   423 0.74 -
63645at50557_34720_0:0006b0|STRG.13627.1:384-1424|+   -            347 66691at50557         -            296    0.0033   15.6   1.9   1   2       2.5   1.9e+02   -0.1   0.1    33    61   127   156   117   166 0.69 -
63645at50557_34720_0:0006b0|STRG.13627.1:384-1424|+   -            347 66691at50557         -            296    0.0033   15.6   1.9   2   2   0.00016     0.012   13.7   0.2    23    60   264   302   243   336 0.87 -
40115at50557_121225_0:000dac|STRG.2084.1:749-1819|+   -            357 66691at50557         -            296    0.0053   14.9   0.7   1   3       0.4        30    2.6   0.1   121   204     2    84     1   118 0.61 -
40115at50557_121225_0:000dac|STRG.2084.1:749-1819|+   -            357 66691at50557         -            296    0.0053   14.9   0.7   2   3       1.9   1.4e+02    0.4   0.0   155   184   202   231   194   253 0.77 -
40115at50557_121225_0:000dac|STRG.2084.1:749-1819|+   -            357 66691at50557         -            296    0.0053   14.9   0.7   3   3     0.011      0.85    7.6   0.0    77   143   261   327   256   341 0.82 -
40115at50557_121225_0:000dac|STRG.2084.2:1730-2800|+  -            357 66691at50557         -            296    0.0053   14.9   0.7   1   3       0.4        30    2.6   0.1   121   204     2    84     1   118 0.61 -
40115at50557_121225_0:000dac|STRG.2084.2:1730-2800|+  -            357 66691at50557         -            296    0.0053   14.9   0.7   2   3       1.9   1.4e+02    0.4   0.0   155   184   202   231   194   253 0.77 -
40115at50557_121225_0:000dac|STRG.2084.2:1730-2800|+  -            357 66691at50557         -            296    0.0053   14.9   0.7   3   3     0.011      0.85    7.6   0.0    77   143   261   327   256   341 0.82 -
40115at50557_121225_0:000dac|STRG.2084.3:1865-2935|+  -            357 66691at50557         -            296    0.0053   14.9   0.7   1   3       0.4        30    2.6   0.1   121   204     2    84     1   118 0.61 -
40115at50557_121225_0:000dac|STRG.2084.3:1865-2935|+  -            357 66691at50557         -            296    0.0053   14.9   0.7   2   3       1.9   1.4e+02    0.4   0.0   155   184   202   231   194   253 0.77 -
40115at50557_121225_0:000dac|STRG.2084.3:1865-2935|+  -            357 66691at50557         -            296    0.0053   14.9   0.7   3   3     0.011      0.85    7.6   0.0    77   143   261   327   256   341 0.82 -
40115at50557_121225_0:000dac|STRG.2084.4:1798-2868|+  -            357 66691at50557         -            296    0.0053   14.9   0.7   1   3       0.4        30    2.6   0.1   121   204     2    84     1   118 0.61 -
40115at50557_121225_0:000dac|STRG.2084.4:1798-2868|+  -            357 66691at50557         -            296    0.0053   14.9   0.7   2   3       1.9   1.4e+02    0.4   0.0   155   184   202   231   194   253 0.77 -
40115at50557_121225_0:000dac|STRG.2084.4:1798-2868|+  -            357 66691at50557         -            296    0.0053   14.9   0.7   3   3     0.011      0.85    7.6   0.0    77   143   261   327   256   341 0.82 -
40115at50557_121225_0:000dac|STRG.2084.5:1864-2934|+  -            357 66691at50557         -            296    0.0053   14.9   0.7   1   3       0.4        30    2.6   0.1   121   204     2    84     1   118 0.61 -
40115at50557_121225_0:000dac|STRG.2084.5:1864-2934|+  -            357 66691at50557         -            296    0.0053   14.9   0.7   2   3       1.9   1.4e+02    0.4   0.0   155   184   202   231   194   253 0.77 -
40115at50557_121225_0:000dac|STRG.2084.5:1864-2934|+  -            357 66691at50557         -            296    0.0053   14.9   0.7   3   3     0.011      0.85    7.6   0.0    77   143   261   327   256   341 0.82 -
40115at50557_121225_0:000dac|STRG.2084.7:1676-2746|+  -            357 66691at50557         -            296    0.0053   14.9   0.7   1   3       0.4        30    2.6   0.1   121   204     2    84     1   118 0.61 -
40115at50557_121225_0:000dac|STRG.2084.7:1676-2746|+  -            357 66691at50557         -            296    0.0053   14.9   0.7   2   3       1.9   1.4e+02    0.4   0.0   155   184   202   231   194   253 0.77 -
40115at50557_121225_0:000dac|STRG.2084.7:1676-2746|+  -            357 66691at50557         -            296    0.0053   14.9   0.7   3   3     0.011      0.85    7.6   0.0    77   143   261   327   256   341 0.82 -
40115at50557_121225_0:000dac|STRG.2084.9:1508-2578|+  -            357 66691at50557         -            296    0.0053   14.9   0.7   1   3       0.4        30    2.6   0.1   121   204     2    84     1   118 0.61 -
40115at50557_121225_0:000dac|STRG.2084.9:1508-2578|+  -            357 66691at50557         -            296    0.0053   14.9   0.7   2   3       1.9   1.4e+02    0.4   0.0   155   184   202   231   194   253 0.77 -
40115at50557_121225_0:000dac|STRG.2084.9:1508-2578|+  -            357 66691at50557         -            296    0.0053   14.9   0.7   3   3     0.011      0.85    7.6   0.0    77   143   261   327   256   341 0.82 -
78072at50557_139723_0:002bcb|STRG.10627.2:459-1019|+  -            187 66691at50557         -            296    0.0072   14.4   0.4   1   2   0.00035     0.026   12.6   0.2    36    99    78   143    67   151 0.83 -
78072at50557_139723_0:002bcb|STRG.10627.2:459-1019|+  -            187 66691at50557         -            296    0.0072   14.4   0.4   2   2       7.5   5.7e+02   -1.6   0.0    38    58   167   187   162   187 0.85 -
77772at50557_121845_0:003bba|STRG.11923.5:1653-2559|- -            300 66691at50557         -            296    0.0074   14.4   0.1   1   3    0.0042      0.31    9.1   0.0    20    61    11    52     4   131 0.86 -
77772at50557_121845_0:003bba|STRG.11923.5:1653-2559|- -            300 66691at50557         -            296    0.0074   14.4   0.1   2   3       2.4   1.8e+02    0.0   0.0   173   200   185   212   175   222 0.87 -
77772at50557_121845_0:003bba|STRG.11923.5:1653-2559|- -            300 66691at50557         -            296    0.0074   14.4   0.1   3   3       1.7   1.3e+02    0.5   0.0   127   148   233   254   224   258 0.85 -
77772at50557_121845_0:003bba|STRG.11925.1:3-909|+     -            300 66691at50557         -            296    0.0074   14.4   0.1   1   3    0.0042      0.31    9.1   0.0    20    61    11    52     4   131 0.86 -
77772at50557_121845_0:003bba|STRG.11925.1:3-909|+     -            300 66691at50557         -            296    0.0074   14.4   0.1   2   3       2.4   1.8e+02    0.0   0.0   173   200   185   212   175   222 0.87 -
77772at50557_121845_0:003bba|STRG.11925.1:3-909|+     -            300 66691at50557         -            296    0.0074   14.4   0.1   3   3       1.7   1.3e+02    0.5   0.0   127   148   233   254   224   258 0.85 -
69548at50557_609295_0:0005e7|STRG.1258.2:282-1139|+   -            286 66691at50557         -            296    0.0088   14.2   0.6   1   3     0.041       3.1    5.8   0.1    26    63    12    49     2    86 0.79 -
69548at50557_609295_0:0005e7|STRG.1258.2:282-1139|+   -            286 66691at50557         -            296    0.0088   14.2   0.6   2   3       1.1        83    1.1   0.0   244   293   111   158   102   161 0.68 -
69548at50557_609295_0:0005e7|STRG.1258.2:282-1139|+   -            286 66691at50557         -            296    0.0088   14.2   0.6   3   3      0.78        59    1.6   0.0    19    84   217   280   207   286 0.60 -
71739at50557_568069_0:0043fc|STRG.5635.1:7959-8870|+  -            304 66691at50557         -            296      0.01   13.9   0.7   1   2   0.00081     0.061   11.4   0.1    24    90    42   110    32   124 0.66 -
71739at50557_568069_0:0043fc|STRG.5635.1:7959-8870|+  -            304 66691at50557         -            296      0.01   13.9   0.7   2   2       2.2   1.7e+02    0.1   0.1   166   195   135   164    88   177 0.72 -
71739at50557_568069_0:0043fc|STRG.5635.2:567-1478|+   -            304 66691at50557         -            296      0.01   13.9   0.7   1   2   0.00081     0.061   11.4   0.1    24    90    42   110    32   124 0.66 -
71739at50557_568069_0:0043fc|STRG.5635.2:567-1478|+   -            304 66691at50557         -            296      0.01   13.9   0.7   2   2       2.2   1.7e+02    0.1   0.1   166   195   135   164    88   177 0.72 -
11478at50557_197043_0:0065a3|STRG.6964.1:276-701|+    -            142 66691at50557         -            296     0.013   13.6   0.1   1   1   0.00022     0.017   13.2   0.1    24    81    85   141    75   142 0.86 -
69548at50557_103372_0:0010c7|STRG.11560.1:140-1468|+  -            443 66691at50557         -            296     0.016   13.3  15.3   1   4      0.15        11    3.9   5.9    42   152   140   250   126   269 0.86 -
69548at50557_103372_0:0010c7|STRG.11560.1:140-1468|+  -            443 66691at50557         -            296     0.016   13.3  15.3   2   4      0.23        18    3.3   0.3    25    59   277   310   256   319 0.84 -
69548at50557_103372_0:0010c7|STRG.11560.1:140-1468|+  -            443 66691at50557         -            296     0.016   13.3  15.3   3   4    0.0049      0.37    8.8   0.1   124   185   326   383   312   418 0.78 -
69548at50557_103372_0:0010c7|STRG.11560.1:140-1468|+  -            443 66691at50557         -            296     0.016   13.3  15.3   4   4       1.1        81    1.1   0.0   122   148   413   438   408   443 0.78 -
80377at50557_7237_0:001b62|STRG.10707.2:809-1666|+    -            286 66691at50557         -            296     0.018   13.1   0.7   1   2    0.0038      0.28    9.2   0.2    21    61    30    70     3    86 0.70 -
80377at50557_7237_0:001b62|STRG.10707.2:809-1666|+    -            286 66691at50557         -            296     0.018   13.1   0.7   2   2       1.4   1.1e+02    0.7   0.0   134   185   184   239   156   260 0.66 -
31374at50557_217634_0:002f47|STRG.3281.1:31-246|+     -             72 66691at50557         -            296     0.019   13.0   0.1   1   2     0.011      0.84    7.6   0.0    28    61     2    35     1    37 0.90 -
31374at50557_217634_0:002f47|STRG.3281.1:31-246|+     -             72 66691at50557         -            296     0.019   13.0   0.1   2   2      0.15        11    4.0   0.1    22    56    38    72    36    72 0.88 -
37700at50557_1629725_0:002171|STRG.7515.1:415-1071|+  -            219 66691at50557         -            296      0.02   13.0   0.1   1   1    0.0014      0.11   10.6   0.1   140   209     7    71     1    99 0.56 -
56752at50557_144034_0:000a3e|STRG.14749.2:579-2510|+  -            644 66691at50557         -            296     0.022   12.8   0.5   1   4       1.3     1e+02    0.8   0.0   119   137   159   179   155   185 0.62 -
56752at50557_144034_0:000a3e|STRG.14749.2:579-2510|+  -            644 66691at50557         -            296     0.022   12.8   0.5   2   4     0.043       3.2    5.7   0.0   167   216   231   282   210   296 0.78 -
56752at50557_144034_0:000a3e|STRG.14749.2:579-2510|+  -            644 66691at50557         -            296     0.022   12.8   0.5   3   4      0.47        35    2.3   0.0    77   104   278   305   270   311 0.87 -
