#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107413at50557_64793_0:00239e|STRG.8033.1:0-1115|+       -            372 107413at50557        -             88   5.9e-35  118.7   2.5   1   1   4.2e-36   3.1e-34  116.3   2.5     1    88   255   361   255   361 0.85 -
45935at50557_535359_0:0001fd|STRG.12252.2:373-1383|+    -            337 107413at50557        -             88   1.6e-08   33.9   3.8   1   1   1.7e-08   1.2e-06   27.9   3.8    27    88   263   328   214   328 0.84 -
98621at50557_7460_0:000221|STRG.7796.1:211-1005|+       -            265 107413at50557        -             88   5.3e-08   32.3   1.0   1   1   1.4e-09     1e-07   31.4   1.0    27    88   193   260   151   260 0.81 -
98621at50557_7460_0:000221|STRG.7796.2:296-1090|+       -            265 107413at50557        -             88   5.3e-08   32.3   1.0   1   1   1.4e-09     1e-07   31.4   1.0    27    88   193   260   151   260 0.81 -
98621at50557_166361_0:000283|STRG.16399.1:194-649|+     -            152 107413at50557        -             88   5.9e-08   32.1   0.9   1   2       5.5     4e+02    0.6   0.1    39    78    46    86    12    96 0.63 -
98621at50557_166361_0:000283|STRG.16399.1:194-649|+     -            152 107413at50557        -             88   5.9e-08   32.1   0.9   2   2     3e-09   2.2e-07   30.3   0.1    42    88   103   148    91   148 0.87 -
98621at50557_7394_0:001c66|STRG.10834.1:183-658|+       -            149 107413at50557        -             88   1.9e-07   30.5   0.4   1   1   3.5e-09   2.6e-07   30.1   0.4    22    81    85   149    53   149 0.80 -
98621at50557_219809_0:001395|STRG.7600.1:553-1245|+     -            231 107413at50557        -             88   2.6e-07   30.0   0.4   1   1   1.1e-08   7.7e-07   28.5   0.3    11    88   148   227   131   227 0.70 -
98621at50557_125945_0:003713|STRG.2782.1:29-757|+       -            243 107413at50557        -             88   4.5e-07   29.3   2.9   1   1   1.5e-08   1.1e-06   28.1   2.2    27    88   180   238   143   238 0.87 -
107413at50557_326594_0:0023a0|STRG.10543.4:124-804|+    -            227 107413at50557        -             88   6.6e-07   28.8   1.4   1   1   2.6e-08   1.9e-06   27.3   0.7    28    68   175   215   156   225 0.85 -
98621at50557_30019_0:0019d5|STRG.13945.1:1595-2383|+    -            263 107413at50557        -             88   2.9e-06   26.7   3.2   1   1   1.3e-07   9.6e-06   25.0   2.3    27    88   189   259   176   259 0.78 -
107413at50557_2015173_0:00166d|STRG.2784.1:271-915|+    -            215 107413at50557        -             88     2e-05   24.0   1.3   1   1   6.9e-07     5e-05   22.7   0.3    27    88   146   208   129   208 0.82 -
107413at50557_2015173_0:00166d|STRG.2784.2:278-922|+    -            215 107413at50557        -             88     2e-05   24.0   1.3   1   1   6.9e-07     5e-05   22.7   0.3    27    88   146   208   129   208 0.82 -
107413at50557_1155016_0:001042|STRG.7794.1:739-894|+    -             52 107413at50557        -             88    0.0001   21.8   0.2   1   1   1.4e-06    0.0001   21.7   0.2    48    88     8    50     1    50 0.77 -
107413at50557_1155016_0:001042|STRG.7794.2:400-555|+    -             52 107413at50557        -             88    0.0001   21.8   0.2   1   1   1.4e-06    0.0001   21.7   0.2    48    88     8    50     1    50 0.77 -
107413at50557_77166_0:001c77|STRG.9824.1:1551-2243|+    -            231 107413at50557        -             88   0.00026   20.5   3.4   1   1   0.00018     0.013   15.0   3.4    29    71   167   211   120   227 0.74 -
107413at50557_77166_0:001c77|STRG.9824.2:1647-2339|+    -            231 107413at50557        -             88   0.00026   20.5   3.4   1   1   0.00018     0.013   15.0   3.4    29    71   167   211   120   227 0.74 -
98621at50557_454923_0:00128e|STRG.7283.1:1436-2224|+    -            263 107413at50557        -             88   0.00029   20.3   0.6   1   1   1.4e-05     0.001   18.5   0.6    27    88   192   260   150   260 0.82 -
17536at50557_103372_0:00299d|STRG.10656.1:635-2959|+    -            775 107413at50557        -             88   0.00048   19.6   0.2   1   1   2.1e-05    0.0015   18.0   0.2    27    88   702   770   670   770 0.62 -
17536at50557_103372_0:00299d|STRG.10656.2:482-2806|+    -            775 107413at50557        -             88   0.00048   19.6   0.2   1   1   2.1e-05    0.0015   18.0   0.2    27    88   702   770   670   770 0.62 -
17536at50557_103372_0:00299d|STRG.10656.3:482-2806|+    -            775 107413at50557        -             88   0.00048   19.6   0.2   1   1   2.1e-05    0.0015   18.0   0.2    27    88   702   770   670   770 0.62 -
17536at50557_103372_0:00299d|STRG.10656.4:473-2797|+    -            775 107413at50557        -             88   0.00048   19.6   0.2   1   1   2.1e-05    0.0015   18.0   0.2    27    88   702   770   670   770 0.62 -
98621at50557_28612_0:00515f|STRG.11271.1:588-1163|+     -            192 107413at50557        -             88    0.0005   19.5   0.6   1   1   0.00011    0.0079   15.7   0.6    18    53   157   190   124   192 0.57 -
17536at50557_103372_0:00299d|STRG.10656.5:98-1621|+     -            508 107413at50557        -             88   0.00084   18.8   0.2   1   1   1.2e-05   0.00084   18.8   0.2    27    88   435   503   403   503 0.62 -
98621at50557_286706_0:000660|STRG.2777.3:170-787|+      -            206 107413at50557        -             88    0.0011   18.4   0.8   1   2         6   4.4e+02    0.5   0.0    27    37    12    22     5    54 0.69 -
98621at50557_286706_0:000660|STRG.2777.3:170-787|+      -            206 107413at50557        -             88    0.0011   18.4   0.8   2   2    0.0001    0.0073   15.8   0.2    25    88   144   200   112   200 0.67 -
98621at50557_441921_0:00278d|STRG.7285.1:693-1451|+     -            253 107413at50557        -             88    0.0019   17.6   0.5   1   1   6.7e-05    0.0049   16.4   0.5    14    88   165   246   142   246 0.75 -
98621at50557_441921_0:00278d|STRG.7285.2:942-1700|+     -            253 107413at50557        -             88    0.0019   17.6   0.5   1   1   6.7e-05    0.0049   16.4   0.5    14    88   165   246   142   246 0.75 -
98621at50557_441921_0:00278d|STRG.7285.3:941-1699|+     -            253 107413at50557        -             88    0.0019   17.6   0.5   1   1   6.7e-05    0.0049   16.4   0.5    14    88   165   246   142   246 0.75 -
107413at50557_77166_0:001c77|STRG.2777.1:143-766|+      -            208 107413at50557        -             88    0.0034   16.9   0.8   1   2       6.4   4.7e+02    0.4   0.0    27    37    12    22     5    53 0.70 -
107413at50557_77166_0:001c77|STRG.2777.1:143-766|+      -            208 107413at50557        -             88    0.0034   16.9   0.8   2   2   0.00029     0.021   14.3   0.2    25    88   144   202   112   202 0.67 -
98621at50557_7070_0:000de0|STRG.12760.1:1237-1929|+     -            231 107413at50557        -             88    0.0038   16.7   0.1   1   1   0.00012    0.0089   15.5   0.1    29    64   193   230   181   231 0.75 -
45935at50557_104452_0:001a48|STRG.12251.1:61-453|+      -            131 107413at50557        -             88    0.0047   16.4   3.4   1   1    0.0018      0.13   11.8   3.2    28    54   106   131    56   131 0.81 -
17536at50557_7493_0:002a62|STRG.6500.2:6964-8172|+      -            403 107413at50557        -             88    0.0083   15.6   0.0   1   1   0.00041      0.03   13.9   0.0    39    87   344   398   294   399 0.81 -
17536at50557_7493_0:002a62|STRG.6500.3:7105-8313|+      -            403 107413at50557        -             88    0.0083   15.6   0.0   1   1   0.00041      0.03   13.9   0.0    39    87   344   398   294   399 0.81 -
17536at50557_7493_0:002a62|STRG.6500.1:6964-8175|+      -            404 107413at50557        -             88    0.0086   15.6   0.0   1   1   0.00041      0.03   13.8   0.0    39    87   345   399   295   400 0.81 -
17536at50557_7493_0:002a62|STRG.6500.4:7105-8316|+      -            404 107413at50557        -             88    0.0086   15.6   0.0   1   1   0.00041      0.03   13.8   0.0    39    87   345   399   295   400 0.81 -
98621at50557_166361_0:000283|STRG.7975.1:412-1086|+     -            225 107413at50557        -             88     0.034   13.7   2.1   1   2       6.1   4.4e+02    0.5   0.0    31    50    56    76    44    95 0.69 -
98621at50557_166361_0:000283|STRG.7975.1:412-1086|+     -            225 107413at50557        -             88     0.034   13.7   2.1   2   2    0.0023      0.17   11.4   0.5    27    70   181   225   145   225 0.75 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/107413at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/107413at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/107413at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:05:19 2024
# [ok]
