#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
84764at50557_286306_0:001d5c|STRG.13075.1:167-1180|+   -            338 84764at50557         -            287    1e-159  529.3   4.4   1   1    6e-160  9.4e-159  526.2   4.4     1   286     7   324     7   325 0.93 -
63962at50557_217634_0:002127|STRG.16699.2:215-1000|+   -            262 84764at50557         -            287   6.7e-22   77.0   0.0   1   1     6e-23   9.5e-22   76.6   0.0     8   203    13   211     7   255 0.81 -
63962at50557_217634_0:002127|STRG.16699.1:503-1351|+   -            283 84764at50557         -            287   8.8e-22   76.7   0.0   1   1   7.9e-23   1.2e-21   76.2   0.0     8   203    34   232    28   276 0.81 -
63962at50557_217634_0:002127|STRG.16699.3:176-1024|+   -            283 84764at50557         -            287   8.8e-22   76.7   0.0   1   1   7.9e-23   1.2e-21   76.2   0.0     8   203    34   232    28   276 0.81 -
57980at50557_13037_0:0006df|STRG.12623.2:211-1158|+    -            316 84764at50557         -            287   1.4e-21   76.0   0.1   1   1   1.2e-22   1.9e-21   75.6   0.1     2   212     6   211     5   258 0.81 -
57980at50557_1629725_0:000be4|STRG.7483.1:733-1563|+   -            277 84764at50557         -            287   1.7e-21   75.7   0.0   1   1   1.5e-22   2.4e-21   75.3   0.0    17   205    24   223    11   235 0.77 -
57980at50557_7038_0:000334|STRG.3667.1:1220-1993|+     -            258 84764at50557         -            287   2.9e-21   74.9   0.0   1   1   2.1e-22   3.3e-21   74.8   0.0     7   211     6   213     1   250 0.78 -
57980at50557_7038_0:000334|STRG.3667.2:1220-1993|+     -            258 84764at50557         -            287   2.9e-21   74.9   0.0   1   1   2.1e-22   3.3e-21   74.8   0.0     7   211     6   213     1   250 0.78 -
57980at50557_7038_0:000334|STRG.3667.3:1620-2393|+     -            258 84764at50557         -            287   2.9e-21   74.9   0.0   1   1   2.1e-22   3.3e-21   74.8   0.0     7   211     6   213     1   250 0.78 -
57980at50557_7038_0:000334|STRG.3667.4:1532-2305|+     -            258 84764at50557         -            287   2.9e-21   74.9   0.0   1   1   2.1e-22   3.3e-21   74.8   0.0     7   211     6   213     1   250 0.78 -
84269at50557_108931_0:00068a|STRG.7483.2:763-1431|+    -            223 84764at50557         -            287     4e-21   74.5   0.0   1   1   3.2e-22     5e-21   74.2   0.0    48   206    10   176     3   187 0.84 -
65033at50557_13686_0:0008e0|STRG.12053.1:297-1589|+    -            431 84764at50557         -            287   5.4e-21   74.1   0.0   1   1   4.9e-22   7.8e-21   73.6   0.0     2   190    67   265    66   288 0.82 -
65033at50557_13686_0:0008e0|STRG.12053.2:0-1292|+      -            431 84764at50557         -            287   5.4e-21   74.1   0.0   1   1   4.9e-22   7.8e-21   73.6   0.0     2   190    67   265    66   288 0.82 -
65033at50557_35570_0:001139|STRG.9345.1:215-1036|+     -            274 84764at50557         -            287   6.4e-21   73.8   0.1   1   1   5.2e-22   8.3e-21   73.5   0.1     8   193    28   215    21   225 0.80 -
65033at50557_35570_0:001139|STRG.9345.2:212-1033|+     -            274 84764at50557         -            287   6.4e-21   73.8   0.1   1   1   5.2e-22   8.3e-21   73.5   0.1     8   193    28   215    21   225 0.80 -
65033at50557_35570_0:001139|STRG.9345.3:227-1048|+     -            274 84764at50557         -            287   6.4e-21   73.8   0.1   1   1   5.2e-22   8.3e-21   73.5   0.1     8   193    28   215    21   225 0.80 -
65033at50557_35570_0:001139|STRG.9345.4:230-1051|+     -            274 84764at50557         -            287   6.4e-21   73.8   0.1   1   1   5.2e-22   8.3e-21   73.5   0.1     8   193    28   215    21   225 0.80 -
65033at50557_35570_0:001139|STRG.9345.6:159-980|+      -            274 84764at50557         -            287   6.4e-21   73.8   0.1   1   1   5.2e-22   8.3e-21   73.5   0.1     8   193    28   215    21   225 0.80 -
65033at50557_35570_0:001139|STRG.9345.7:77-898|+       -            274 84764at50557         -            287   6.4e-21   73.8   0.1   1   1   5.2e-22   8.3e-21   73.5   0.1     8   193    28   215    21   225 0.80 -
65033at50557_35570_0:001139|STRG.9345.8:67-888|+       -            274 84764at50557         -            287   6.4e-21   73.8   0.1   1   1   5.2e-22   8.3e-21   73.5   0.1     8   193    28   215    21   225 0.80 -
65033at50557_35570_0:001139|STRG.9345.5:141-983|+      -            281 84764at50557         -            287   6.8e-21   73.7   0.1   1   1   5.7e-22   8.9e-21   73.4   0.1     8   193    35   222    28   232 0.80 -
57980at50557_104421_0:00216f|STRG.16374.3:128-844|+    -            239 84764at50557         -            287   8.1e-21   73.5   0.1   1   1   5.5e-22   8.7e-21   73.4   0.1    41   232    24   218     1   235 0.82 -
125117at50557_54969_0:0029cc|STRG.14675.1:302-1576|+   -            425 84764at50557         -            287   1.2e-20   72.9   0.0   1   1     1e-21   1.6e-20   72.5   0.0     4   211    54   267    51   276 0.84 -
125117at50557_54969_0:0029cc|STRG.14675.2:214-1488|+   -            425 84764at50557         -            287   1.2e-20   72.9   0.0   1   1     1e-21   1.6e-20   72.5   0.0     4   211    54   267    51   276 0.84 -
17813at50557_7397_0:001703|STRG.2931.1:1887-2786|+     -            300 84764at50557         -            287   1.5e-20   72.6   0.0   1   1   1.2e-21   1.9e-20   72.3   0.0     1   230    27   256    27   282 0.80 -
17813at50557_7397_0:001703|STRG.2931.2:891-1790|+      -            300 84764at50557         -            287   1.5e-20   72.6   0.0   1   1   1.2e-21   1.9e-20   72.3   0.0     1   230    27   256    27   282 0.80 -
17813at50557_7397_0:001703|STRG.2931.3:1627-2526|+     -            300 84764at50557         -            287   1.5e-20   72.6   0.0   1   1   1.2e-21   1.9e-20   72.3   0.0     1   230    27   256    27   282 0.80 -
17813at50557_7397_0:001703|STRG.2931.4:1299-2198|+     -            300 84764at50557         -            287   1.5e-20   72.6   0.0   1   1   1.2e-21   1.9e-20   72.3   0.0     1   230    27   256    27   282 0.80 -
17813at50557_7397_0:001703|STRG.2931.5:1652-2551|+     -            300 84764at50557         -            287   1.5e-20   72.6   0.0   1   1   1.2e-21   1.9e-20   72.3   0.0     1   230    27   256    27   282 0.80 -
17813at50557_7397_0:001703|STRG.2931.6:1645-2544|+     -            300 84764at50557         -            287   1.5e-20   72.6   0.0   1   1   1.2e-21   1.9e-20   72.3   0.0     1   230    27   256    27   282 0.80 -
17813at50557_7397_0:001703|STRG.2931.7:903-1802|+      -            300 84764at50557         -            287   1.5e-20   72.6   0.0   1   1   1.2e-21   1.9e-20   72.3   0.0     1   230    27   256    27   282 0.80 -
63962at50557_441921_0:002083|STRG.12807.1:1420-2589|+  -            390 84764at50557         -            287   2.9e-20   71.7   0.0   1   1   2.5e-21   3.9e-20   71.2   0.0     7   198    10   207     5   238 0.81 -
63962at50557_441921_0:002083|STRG.12807.2:285-1454|+   -            390 84764at50557         -            287   2.9e-20   71.7   0.0   1   1   2.5e-21   3.9e-20   71.2   0.0     7   198    10   207     5   238 0.81 -
63962at50557_116153_0:001347|STRG.3038.1:574-1293|+    -            240 84764at50557         -            287   5.2e-20   70.9   0.0   1   1   4.8e-21   7.5e-20   70.3   0.0     8   199    14   208     9   219 0.82 -
63962at50557_116153_0:001347|STRG.3038.4:556-1302|+    -            249 84764at50557         -            287   5.5e-20   70.8   0.0   1   1     5e-21   7.9e-20   70.2   0.0     8   200    14   209     9   225 0.83 -
57980at50557_286706_0:000fec|STRG.12043.2:534-1385|+   -            284 84764at50557         -            287     6e-20   70.6   0.0   1   1   4.5e-21   7.1e-20   70.4   0.0    20   193    19   188     1   207 0.83 -
57980at50557_286706_0:000fec|STRG.12043.3:200-1051|+   -            284 84764at50557         -            287     6e-20   70.6   0.0   1   1   4.5e-21   7.1e-20   70.4   0.0    20   193    19   188     1   207 0.83 -
57980at50557_286706_0:000fec|STRG.12043.4:221-1072|+   -            284 84764at50557         -            287     6e-20   70.6   0.0   1   1   4.5e-21   7.1e-20   70.4   0.0    20   193    19   188     1   207 0.83 -
57980at50557_286706_0:000fec|STRG.12043.5:534-1385|+   -            284 84764at50557         -            287     6e-20   70.6   0.0   1   1   4.5e-21   7.1e-20   70.4   0.0    20   193    19   188     1   207 0.83 -
57980at50557_286706_0:000fec|STRG.12043.6:381-1232|+   -            284 84764at50557         -            287     6e-20   70.6   0.0   1   1   4.5e-21   7.1e-20   70.4   0.0    20   193    19   188     1   207 0.83 -
125117at50557_54969_0:0029cc|STRG.15505.1:534-1436|+   -            301 84764at50557         -            287   7.3e-20   70.4   0.0   1   1   5.8e-21   9.2e-20   70.0   0.0     6   191    24   218    19   242 0.82 -
125117at50557_54969_0:0029cc|STRG.15505.2:615-1517|+   -            301 84764at50557         -            287   7.3e-20   70.4   0.0   1   1   5.8e-21   9.2e-20   70.0   0.0     6   191    24   218    19   242 0.82 -
125117at50557_54969_0:0029cc|STRG.15505.3:780-1682|+   -            301 84764at50557         -            287   7.3e-20   70.4   0.0   1   1   5.8e-21   9.2e-20   70.0   0.0     6   191    24   218    19   242 0.82 -
125117at50557_54969_0:0029cc|STRG.3114.2:374-1306|+    -            311 84764at50557         -            287   9.6e-20   70.0   0.0   1   1   7.6e-21   1.2e-19   69.7   0.0     2   221    10   233     9   254 0.82 -
125117at50557_54969_0:0029cc|STRG.4033.1:2502-3494|+   -            331 84764at50557         -            287   1.6e-19   69.2   0.0   1   1   1.4e-20   2.2e-19   68.8   0.0     5   204     9   212     5   221 0.78 -
125117at50557_54969_0:0029cc|STRG.4033.2:2112-3104|+   -            331 84764at50557         -            287   1.6e-19   69.2   0.0   1   1   1.4e-20   2.2e-19   68.8   0.0     5   204     9   212     5   221 0.78 -
125117at50557_54969_0:0029cc|STRG.16621.1:433-1518|+   -            362 84764at50557         -            287   1.8e-19   69.1   0.0   1   1   1.5e-20   2.4e-19   68.7   0.0     2   200    38   239    37   248 0.87 -
57980at50557_7038_0:000334|STRG.13807.2:1160-2020|+    -            287 84764at50557         -            287   2.6e-19   68.6   0.0   1   1   1.8e-20   2.9e-19   68.4   0.0     2   199    12   221    11   267 0.81 -
57980at50557_7038_0:000334|STRG.13807.3:1160-2020|+    -            287 84764at50557         -            287   2.6e-19   68.6   0.0   1   1   1.8e-20   2.9e-19   68.4   0.0     2   199    12   221    11   267 0.81 -
47at50557_39758_0:003710|STRG.7189.10:9859-25092|+     -           5078 84764at50557         -            287     9e-19   66.8   0.0   1   1   9.1e-20   1.4e-18   66.1   0.0     1   225  4550  4775  4548  4799 0.84 -
47at50557_39758_0:003710|STRG.7189.1:9904-25137|+      -           5078 84764at50557         -            287     9e-19   66.8   0.0   1   1   9.1e-20   1.4e-18   66.1   0.0     1   225  4550  4775  4548  4799 0.84 -
47at50557_39758_0:003710|STRG.7189.2:9739-24972|+      -           5078 84764at50557         -            287     9e-19   66.8   0.0   1   1   9.1e-20   1.4e-18   66.1   0.0     1   225  4550  4775  4548  4799 0.84 -
47at50557_39758_0:003710|STRG.7189.3:9415-24648|+      -           5078 84764at50557         -            287     9e-19   66.8   0.0   1   1   9.1e-20   1.4e-18   66.1   0.0     1   225  4550  4775  4548  4799 0.84 -
47at50557_39758_0:003710|STRG.7189.4:10390-25623|+     -           5078 84764at50557         -            287     9e-19   66.8   0.0   1   1   9.1e-20   1.4e-18   66.1   0.0     1   225  4550  4775  4548  4799 0.84 -
47at50557_39758_0:003710|STRG.7189.5:10045-25278|+     -           5078 84764at50557         -            287     9e-19   66.8   0.0   1   1   9.1e-20   1.4e-18   66.1   0.0     1   225  4550  4775  4548  4799 0.84 -
47at50557_39758_0:003710|STRG.7189.6:9733-24966|+      -           5078 84764at50557         -            287     9e-19   66.8   0.0   1   1   9.1e-20   1.4e-18   66.1   0.0     1   225  4550  4775  4548  4799 0.84 -
47at50557_39758_0:003710|STRG.7189.7:12019-27252|+     -           5078 84764at50557         -            287     9e-19   66.8   0.0   1   1   9.1e-20   1.4e-18   66.1   0.0     1   225  4550  4775  4548  4799 0.84 -
47at50557_39758_0:003710|STRG.7189.8:10462-25695|+     -           5078 84764at50557         -            287     9e-19   66.8   0.0   1   1   9.1e-20   1.4e-18   66.1   0.0     1   225  4550  4775  4548  4799 0.84 -
47at50557_39758_0:003710|STRG.7189.9:7090-22323|+      -           5078 84764at50557         -            287     9e-19   66.8   0.0   1   1   9.1e-20   1.4e-18   66.1   0.0     1   225  4550  4775  4548  4799 0.84 -
125117at50557_54969_0:0029cc|STRG.2812.1:359-1417|+    -            353 84764at50557         -            287     1e-18   66.6   0.0   1   1   8.9e-20   1.4e-18   66.2   0.0     5   211    47   259    43   276 0.82 -
125117at50557_54969_0:0029cc|STRG.2812.2:359-1417|+    -            353 84764at50557         -            287     1e-18   66.6   0.0   1   1   8.9e-20   1.4e-18   66.2   0.0     5   211    47   259    43   276 0.82 -
57980at50557_28612_0:0052c4|STRG.3426.1:553-1299|+     -            249 84764at50557         -            287     1e-18   66.6   0.0   1   1   1.1e-19   1.7e-18   65.9   0.0     7   192     6   192     1   208 0.87 -
57980at50557_28612_0:0052c4|STRG.3426.2:553-1299|+     -            249 84764at50557         -            287     1e-18   66.6   0.0   1   1   1.1e-19   1.7e-18   65.9   0.0     7   192     6   192     1   208 0.87 -
57980at50557_28612_0:0052c4|STRG.3426.3:2074-2820|+    -            249 84764at50557         -            287     1e-18   66.6   0.0   1   1   1.1e-19   1.7e-18   65.9   0.0     7   192     6   192     1   208 0.87 -
57980at50557_28612_0:0052c4|STRG.3426.4:2074-2820|+    -            249 84764at50557         -            287     1e-18   66.6   0.0   1   1   1.1e-19   1.7e-18   65.9   0.0     7   192     6   192     1   208 0.87 -
84269at50557_7217_0:001194|STRG.1755.1:1895-2665|+     -            257 84764at50557         -            287   1.5e-18   66.0   0.0   1   1   1.2e-19   1.9e-18   65.7   0.0     6   192    20   207    17   226 0.85 -
84269at50557_7217_0:001194|STRG.1755.2:2066-2836|+     -            257 84764at50557         -            287   1.5e-18   66.0   0.0   1   1   1.2e-19   1.9e-18   65.7   0.0     6   192    20   207    17   226 0.85 -
84269at50557_7217_0:001194|STRG.1755.3:1955-2725|+     -            257 84764at50557         -            287   1.5e-18   66.0   0.0   1   1   1.2e-19   1.9e-18   65.7   0.0     6   192    20   207    17   226 0.85 -
8547at50557_74869_0:0028a5|STRG.1755.1:1922-2716|+     -            265 84764at50557         -            287   1.5e-18   66.0   0.0   1   1   1.2e-19   1.9e-18   65.7   0.0     6   192    11   198     8   231 0.86 -
8547at50557_74869_0:0028a5|STRG.1755.2:2093-2887|+     -            265 84764at50557         -            287   1.5e-18   66.0   0.0   1   1   1.2e-19   1.9e-18   65.7   0.0     6   192    11   198     8   231 0.86 -
8547at50557_74869_0:0028a5|STRG.1755.3:1982-2776|+     -            265 84764at50557         -            287   1.5e-18   66.0   0.0   1   1   1.2e-19   1.9e-18   65.7   0.0     6   192    11   198     8   231 0.86 -
8547at50557_74869_0:0028a5|STRG.12591.1:1450-2244|+    -            265 84764at50557         -            287   2.2e-18   65.5   0.2   1   2     3e-15   4.7e-14   51.3   0.3     8   150     2   144     1   159 0.85 -
8547at50557_74869_0:0028a5|STRG.12591.1:1450-2244|+    -            265 84764at50557         -            287   2.2e-18   65.5   0.2   2   2     0.002     0.031   12.5   0.0   145   211   161   231   152   245 0.77 -
8547at50557_74869_0:0028a5|STRG.12591.2:1134-1928|+    -            265 84764at50557         -            287   2.2e-18   65.5   0.2   1   2     3e-15   4.7e-14   51.3   0.3     8   150     2   144     1   159 0.85 -
8547at50557_74869_0:0028a5|STRG.12591.2:1134-1928|+    -            265 84764at50557         -            287   2.2e-18   65.5   0.2   2   2     0.002     0.031   12.5   0.0   145   211   161   231   152   245 0.77 -
8547at50557_74869_0:0028a5|STRG.12591.3:1184-1978|+    -            265 84764at50557         -            287   2.2e-18   65.5   0.2   1   2     3e-15   4.7e-14   51.3   0.3     8   150     2   144     1   159 0.85 -
8547at50557_74869_0:0028a5|STRG.12591.3:1184-1978|+    -            265 84764at50557         -            287   2.2e-18   65.5   0.2   2   2     0.002     0.031   12.5   0.0   145   211   161   231   152   245 0.77 -
8547at50557_74869_0:0028a5|STRG.12591.4:1250-2044|+    -            265 84764at50557         -            287   2.2e-18   65.5   0.2   1   2     3e-15   4.7e-14   51.3   0.3     8   150     2   144     1   159 0.85 -
8547at50557_74869_0:0028a5|STRG.12591.4:1250-2044|+    -            265 84764at50557         -            287   2.2e-18   65.5   0.2   2   2     0.002     0.031   12.5   0.0   145   211   161   231   152   245 0.77 -
8547at50557_74869_0:0028a5|STRG.12591.5:1418-2212|+    -            265 84764at50557         -            287   2.2e-18   65.5   0.2   1   2     3e-15   4.7e-14   51.3   0.3     8   150     2   144     1   159 0.85 -
8547at50557_74869_0:0028a5|STRG.12591.5:1418-2212|+    -            265 84764at50557         -            287   2.2e-18   65.5   0.2   2   2     0.002     0.031   12.5   0.0   145   211   161   231   152   245 0.77 -
125117at50557_54969_0:0029cc|STRG.8743.1:984-2036|+    -            351 84764at50557         -            287   3.9e-18   64.7   0.0   1   1   3.1e-19   4.8e-18   64.4   0.0     2   201    28   232    27   252 0.82 -
125117at50557_54969_0:0029cc|STRG.8743.2:1027-2079|+   -            351 84764at50557         -            287   3.9e-18   64.7   0.0   1   1   3.1e-19   4.8e-18   64.4   0.0     2   201    28   232    27   252 0.82 -
125117at50557_54969_0:0029cc|STRG.8743.3:853-1905|+    -            351 84764at50557         -            287   3.9e-18   64.7   0.0   1   1   3.1e-19   4.8e-18   64.4   0.0     2   201    28   232    27   252 0.82 -
125117at50557_54969_0:0029cc|STRG.8743.4:776-1828|+    -            351 84764at50557         -            287   3.9e-18   64.7   0.0   1   1   3.1e-19   4.8e-18   64.4   0.0     2   201    28   232    27   252 0.82 -
57980at50557_69004_0:0023c9|STRG.7555.1:15-1085|+      -            357 84764at50557         -            287   3.9e-18   64.7   0.1   1   1   3.6e-19   5.7e-18   64.2   0.1     7   208    11   213     6   250 0.80 -
17813at50557_103372_0:00172b|STRG.11211.1:701-3391|+   -            897 84764at50557         -            287   4.8e-18   64.4   0.0   1   1   5.3e-19   8.3e-18   63.6   0.0     4   232    30   260    27   269 0.85 -
17813at50557_103372_0:00172b|STRG.11211.2:277-2967|+   -            897 84764at50557         -            287   4.8e-18   64.4   0.0   1   1   5.3e-19   8.3e-18   63.6   0.0     4   232    30   260    27   269 0.85 -
17813at50557_103372_0:00172b|STRG.11211.3:566-3256|+   -            897 84764at50557         -            287   4.8e-18   64.4   0.0   1   1   5.3e-19   8.3e-18   63.6   0.0     4   232    30   260    27   269 0.85 -
63962at50557_286706_0:0004e9|STRG.4555.1:286-1134|+    -            283 84764at50557         -            287   6.5e-18   64.0   0.0   1   1   5.2e-19   8.2e-18   63.6   0.0     2   196    10   203     9   238 0.82 -
58206at50557_103372_0:002486|STRG.4927.4:398-1147|+    -            250 84764at50557         -            287   8.8e-18   63.5   0.0   1   1   6.5e-19     1e-17   63.3   0.0     2   163    85   246    84   250 0.81 -
84764at50557_286706_0:000034|STRG.7506.1:785-1747|+    -            321 84764at50557         -            287   1.2e-17   63.1   0.3   1   1   1.2e-17   1.9e-16   59.2   0.3     1   220     1   241     1   256 0.72 -
84764at50557_286706_0:000034|STRG.7506.3:926-1888|+    -            321 84764at50557         -            287   1.2e-17   63.1   0.3   1   1   1.2e-17   1.9e-16   59.2   0.3     1   220     1   241     1   256 0.72 -
84764at50557_286706_0:000034|STRG.7506.5:1173-2135|+   -            321 84764at50557         -            287   1.2e-17   63.1   0.3   1   1   1.2e-17   1.9e-16   59.2   0.3     1   220     1   241     1   256 0.72 -
84764at50557_286706_0:000034|STRG.7506.6:861-1823|+    -            321 84764at50557         -            287   1.2e-17   63.1   0.3   1   1   1.2e-17   1.9e-16   59.2   0.3     1   220     1   241     1   256 0.72 -
84764at50557_286706_0:000034|STRG.7506.7:573-1535|+    -            321 84764at50557         -            287   1.2e-17   63.1   0.3   1   1   1.2e-17   1.9e-16   59.2   0.3     1   220     1   241     1   256 0.72 -
84764at50557_286706_0:000034|STRG.7506.2:1173-2150|+   -            326 84764at50557         -            287   1.3e-17   63.0   0.3   1   2   1.8e-08   2.9e-07   29.0   0.2     1   131     1   136     1   147 0.77 -
84764at50557_286706_0:000034|STRG.7506.2:1173-2150|+   -            326 84764at50557         -            287   1.3e-17   63.0   0.3   2   2   2.3e-09   3.6e-08   32.0   0.0   137   220   166   246   156   261 0.84 -
84269at50557_108931_0:00068a|STRG.14917.3:275-877|+    -            201 84764at50557         -            287   2.5e-17   62.0   0.2   1   1   1.8e-18   2.9e-17   61.9   0.2     2   191     9   199     8   201 0.85 -
57980at50557_224129_0:002c37|STRG.9278.2:115-660|+     -            182 84764at50557         -            287   2.7e-17   62.0   0.0   1   1   1.9e-18     3e-17   61.8   0.0     6   182     5   182     1   182 0.89 -
57980at50557_224129_0:002c37|STRG.2932.4:388-957|+     -            190 84764at50557         -            287   2.8e-17   61.9   0.0   1   1   2.8e-18   4.4e-17   61.2   0.0     8   192     2   188     1   189 0.72 -
84269at50557_108931_0:00068a|STRG.15651.1:347-1210|+   -            288 84764at50557         -            287   2.9e-17   61.8   0.1   1   1   5.2e-18   8.2e-17   60.4   0.0    56   213    86   245    82   278 0.82 -
84269at50557_108931_0:00068a|STRG.15651.2:420-1283|+   -            288 84764at50557         -            287   2.9e-17   61.8   0.1   1   1   5.2e-18   8.2e-17   60.4   0.0    56   213    86   245    82   278 0.82 -
84269at50557_108931_0:00068a|STRG.15651.4:420-1283|+   -            288 84764at50557         -            287   2.9e-17   61.8   0.1   1   1   5.2e-18   8.2e-17   60.4   0.0    56   213    86   245    82   278 0.82 -
63962at50557_7539_0:002c1b|STRG.14917.1:588-1394|+     -            269 84764at50557         -            287     3e-17   61.8   0.1   1   1   2.4e-18   3.8e-17   61.5   0.1     3   193     4   195     2   205 0.85 -
125117at50557_54969_0:0029cc|STRG.14435.1:2338-3324|+  -            329 84764at50557         -            287   3.4e-17   61.6   0.0   1   1   2.8e-18   4.4e-17   61.2   0.0     3   206    12   220    10   234 0.80 -
125117at50557_54969_0:0029cc|STRG.217.1:1027-2013|+    -            329 84764at50557         -            287   3.4e-17   61.6   0.0   1   1   2.8e-18   4.4e-17   61.2   0.0     3   206    12   220    10   234 0.80 -
125117at50557_54969_0:0029cc|STRG.217.2:996-1982|+     -            329 84764at50557         -            287   3.4e-17   61.6   0.0   1   1   2.8e-18   4.4e-17   61.2   0.0     3   206    12   220    10   234 0.80 -
57980at50557_7237_0:0026c2|STRG.5326.10:2127-2948|+    -            274 84764at50557         -            287   3.7e-17   61.5   0.0   1   1   2.9e-18   4.5e-17   61.2   0.0     8   192     2   209     1   244 0.76 -
57980at50557_7237_0:0026c2|STRG.5326.11:1448-2269|+    -            274 84764at50557         -            287   3.7e-17   61.5   0.0   1   1   2.9e-18   4.5e-17   61.2   0.0     8   192     2   209     1   244 0.76 -
57980at50557_7237_0:0026c2|STRG.5326.12:1523-2344|+    -            274 84764at50557         -            287   3.7e-17   61.5   0.0   1   1   2.9e-18   4.5e-17   61.2   0.0     8   192     2   209     1   244 0.76 -
57980at50557_7237_0:0026c2|STRG.5326.13:2625-3446|+    -            274 84764at50557         -            287   3.7e-17   61.5   0.0   1   1   2.9e-18   4.5e-17   61.2   0.0     8   192     2   209     1   244 0.76 -
57980at50557_7237_0:0026c2|STRG.5326.14:1780-2601|+    -            274 84764at50557         -            287   3.7e-17   61.5   0.0   1   1   2.9e-18   4.5e-17   61.2   0.0     8   192     2   209     1   244 0.76 -
57980at50557_7237_0:0026c2|STRG.5326.15:969-1790|+     -            274 84764at50557         -            287   3.7e-17   61.5   0.0   1   1   2.9e-18   4.5e-17   61.2   0.0     8   192     2   209     1   244 0.76 -
57980at50557_7237_0:0026c2|STRG.5326.1:2043-2864|+     -            274 84764at50557         -            287   3.7e-17   61.5   0.0   1   1   2.9e-18   4.5e-17   61.2   0.0     8   192     2   209     1   244 0.76 -
57980at50557_7237_0:0026c2|STRG.5326.2:2948-3769|+     -            274 84764at50557         -            287   3.7e-17   61.5   0.0   1   1   2.9e-18   4.5e-17   61.2   0.0     8   192     2   209     1   244 0.76 -
57980at50557_7237_0:0026c2|STRG.5326.3:2755-3576|+     -            274 84764at50557         -            287   3.7e-17   61.5   0.0   1   1   2.9e-18   4.5e-17   61.2   0.0     8   192     2   209     1   244 0.76 -
57980at50557_7237_0:0026c2|STRG.5326.4:2773-3594|+     -            274 84764at50557         -            287   3.7e-17   61.5   0.0   1   1   2.9e-18   4.5e-17   61.2   0.0     8   192     2   209     1   244 0.76 -
57980at50557_7237_0:0026c2|STRG.5326.5:2006-2827|+     -            274 84764at50557         -            287   3.7e-17   61.5   0.0   1   1   2.9e-18   4.5e-17   61.2   0.0     8   192     2   209     1   244 0.76 -
57980at50557_7237_0:0026c2|STRG.5326.6:2272-3093|+     -            274 84764at50557         -            287   3.7e-17   61.5   0.0   1   1   2.9e-18   4.5e-17   61.2   0.0     8   192     2   209     1   244 0.76 -
57980at50557_7237_0:0026c2|STRG.5326.7:1948-2769|+     -            274 84764at50557         -            287   3.7e-17   61.5   0.0   1   1   2.9e-18   4.5e-17   61.2   0.0     8   192     2   209     1   244 0.76 -
57980at50557_7237_0:0026c2|STRG.5326.8:1885-2706|+     -            274 84764at50557         -            287   3.7e-17   61.5   0.0   1   1   2.9e-18   4.5e-17   61.2   0.0     8   192     2   209     1   244 0.76 -
57980at50557_7237_0:0026c2|STRG.5326.9:1331-2152|+     -            274 84764at50557         -            287   3.7e-17   61.5   0.0   1   1   2.9e-18   4.5e-17   61.2   0.0     8   192     2   209     1   244 0.76 -
57980at50557_224129_0:002c37|STRG.2932.1:409-1170|+    -            254 84764at50557         -            287   5.4e-17   61.0   0.0   1   1   5.4e-18   8.5e-17   60.3   0.0     8   192     2   188     1   196 0.72 -
57980at50557_224129_0:002c37|STRG.2932.2:399-1160|+    -            254 84764at50557         -            287   5.4e-17   61.0   0.0   1   1   5.4e-18   8.5e-17   60.3   0.0     8   192     2   188     1   196 0.72 -
57980at50557_224129_0:002c37|STRG.2932.3:389-1150|+    -            254 84764at50557         -            287   5.4e-17   61.0   0.0   1   1   5.4e-18   8.5e-17   60.3   0.0     8   192     2   188     1   196 0.72 -
57980at50557_7493_0:0030d1|STRG.8469.1:2280-3005|+     -            242 84764at50557         -            287   5.5e-17   60.9   0.1   1   1   4.3e-18   6.8e-17   60.6   0.1    33   193    26   191     4   208 0.79 -
57980at50557_7493_0:0030d1|STRG.8469.3:346-1071|+      -            242 84764at50557         -            287   5.5e-17   60.9   0.1   1   1   4.3e-18   6.8e-17   60.6   0.1    33   193    26   191     4   208 0.79 -
57980at50557_7493_0:0030d1|STRG.8469.4:346-1071|+      -            242 84764at50557         -            287   5.5e-17   60.9   0.1   1   1   4.3e-18   6.8e-17   60.6   0.1    33   193    26   191     4   208 0.79 -
57980at50557_34740_0:00324b|STRG.3421.3:84-851|+       -            256 84764at50557         -            287   6.6e-17   60.7   0.0   1   1   5.1e-18   8.1e-17   60.4   0.0     8   192     1   195     1   215 0.85 -
57980at50557_28612_0:0052c4|STRG.10999.1:153-1061|+    -            303 84764at50557         -            287   6.8e-17   60.6   0.0   1   1   5.8e-18   9.1e-17   60.2   0.0     6   196     9   203     4   218 0.75 -
57980at50557_28612_0:0052c4|STRG.10999.3:153-1061|+    -            303 84764at50557         -            287   6.8e-17   60.6   0.0   1   1   5.8e-18   9.1e-17   60.2   0.0     6   196     9   203     4   218 0.75 -
