#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
28600at50557_520822_0:000c07|STRG.5897.2:532-2412|+    -            627 28600at50557         -            507    5e-242  803.2  16.2   1   1  3.6e-242  2.3e-240  797.7  16.2     1   497    10   609    10   620 0.87 -
99773at50557_34720_0:00204d|STRG.13123.2:147-1328|+    -            394 28600at50557         -            507   0.00074   17.5   0.1   1   2     0.031         2    6.1   0.0     5    32    37    64    33    95 0.83 -
99773at50557_34720_0:00204d|STRG.13123.2:147-1328|+    -            394 28600at50557         -            507   0.00074   17.5   0.1   2   2    0.0032      0.21    9.4   0.1    75   149   165   244   137   261 0.73 -
108271at50557_13249_0:001644|STRG.8644.3:482-967|+     -            162 28600at50557         -            507   0.00093   17.1   0.0   1   1   1.6e-05     0.001   17.0   0.0     4   111     1   116     1   138 0.78 -
108271at50557_13249_0:001644|STRG.8644.4:1303-1788|+   -            162 28600at50557         -            507   0.00093   17.1   0.0   1   1   1.6e-05     0.001   17.0   0.0     4   111     1   116     1   138 0.78 -
119324at50557_54969_0:002fed|STRG.11450.1:22-276|+     -             85 28600at50557         -            507   0.00099   17.1   0.2   1   1     2e-05    0.0013   16.7   0.2   170   225     6    67     2    74 0.79 -
105221at50557_121845_0:0034ac|STRG.10766.1:526-1059|+  -            178 28600at50557         -            507    0.0013   16.6   0.2   1   2      0.12         8    4.2   0.0     3    37     7    41     4    97 0.86 -
105221at50557_121845_0:0034ac|STRG.10766.1:526-1059|+  -            178 28600at50557         -            507    0.0013   16.6   0.2   2   2   0.00093      0.06   11.2   0.4    97   147   124   176    81   178 0.77 -
105221at50557_121845_0:0034ac|STRG.10766.2:338-871|+   -            178 28600at50557         -            507    0.0013   16.6   0.2   1   2      0.12         8    4.2   0.0     3    37     7    41     4    97 0.86 -
105221at50557_121845_0:0034ac|STRG.10766.2:338-871|+   -            178 28600at50557         -            507    0.0013   16.6   0.2   2   2   0.00093      0.06   11.2   0.4    97   147   124   176    81   178 0.77 -
119324at50557_516756_0:001c87|STRG.2815.1:3084-3446|+  -            121 28600at50557         -            507    0.0016   16.4   1.4   1   2     0.015      0.97    7.2   0.0   278   305    18    45     7    53 0.86 -
119324at50557_516756_0:001c87|STRG.2815.1:3084-3446|+  -            121 28600at50557         -            507    0.0016   16.4   1.4   2   2     0.005      0.33    8.7   0.2   165   192    54    81    48   107 0.84 -
119324at50557_516756_0:001c87|STRG.2815.2:2426-2788|+  -            121 28600at50557         -            507    0.0016   16.4   1.4   1   2     0.015      0.97    7.2   0.0   278   305    18    45     7    53 0.86 -
119324at50557_516756_0:001c87|STRG.2815.2:2426-2788|+  -            121 28600at50557         -            507    0.0016   16.4   1.4   2   2     0.005      0.33    8.7   0.2   165   192    54    81    48   107 0.84 -
129498at50557_29053_0:002abd|STRG.194.1:580-942|+      -            121 28600at50557         -            507    0.0022   15.9   0.0   1   1   4.7e-05     0.003   15.4   0.0     4   113     2   119     1   121 0.74 -
104262at50557_29053_0:001062|STRG.7146.2:365-1033|+    -            223 28600at50557         -            507    0.0036   15.2   0.0   1   1     7e-05    0.0046   14.8   0.0     3   145    22   180    20   197 0.71 -
119324at50557_54969_0:002fed|STRG.8501.1:194-682|+     -            163 28600at50557         -            507    0.0069   14.3   0.1   1   1   0.00034     0.022   12.6   0.0   277   303     6    32     3    42 0.89 -
119324at50557_319348_0:001162|STRG.8501.2:162-587|+    -            142 28600at50557         -            507    0.0071   14.2   0.0   1   1   0.00022     0.014   13.2   0.0   277   303    16    42     9    56 0.89 -
118237at50557_13164_0:001264|STRG.6959.1:113-586|+     -            158 28600at50557         -            507     0.013   13.4   0.0   1   1   0.00021     0.014   13.3   0.0     1   113     3   120     3   155 0.61 -
118237at50557_13164_0:001264|STRG.6959.2:112-585|+     -            158 28600at50557         -            507     0.013   13.4   0.0   1   1   0.00021     0.014   13.3   0.0     1   113     3   120     3   155 0.61 -
108271at50557_7460_0:001bde|STRG.2098.2:803-1275|+     -            119 28600at50557         -            507     0.015   13.1   0.0   1   1   0.00023     0.015   13.1   0.0    73   119    29    80     2   115 0.73 -
104262at50557_13164_0:00360e|STRG.726.7:471-983|+      -            171 28600at50557         -            507     0.018   12.9   0.0   1   1   0.00032     0.021   12.7   0.0    63   119    54   117    36   155 0.73 -
109573at50557_103372_0:0023c7|STRG.16392.2:114-677|+   -            188 28600at50557         -            507     0.019   12.8   0.0   1   1    0.0007     0.046   11.5   0.0    74   155    57   147    39   159 0.69 -
119324at50557_29053_0:0019d1|STRG.8652.3:799-1077|+    -             93 28600at50557         -            507     0.024   12.5   0.0   1   2      0.02       1.3    6.8   0.0   163   189    14    40     4    64 0.68 -
119324at50557_29053_0:0019d1|STRG.8652.3:799-1077|+    -             93 28600at50557         -            507     0.024   12.5   0.0   2   2     0.053       3.4    5.4   0.0   148   188    52    89    38    93 0.63 -
119324at50557_29053_0:0019d1|STRG.8652.8:366-644|+     -             93 28600at50557         -            507     0.024   12.5   0.0   1   2      0.02       1.3    6.8   0.0   163   189    14    40     4    64 0.68 -
119324at50557_29053_0:0019d1|STRG.8652.8:366-644|+     -             93 28600at50557         -            507     0.024   12.5   0.0   2   2     0.053       3.4    5.4   0.0   148   188    52    89    38    93 0.63 -
105221at50557_1629725_0:001345|STRG.10022.1:191-454|+  -             88 28600at50557         -            507     0.025   12.4   0.1   1   1   0.00077      0.05   11.4   0.1    93   148    30    85     1    87 0.73 -
119324at50557_454923_0:001f56|STRG.8652.7:188-487|+    -            100 28600at50557         -            507     0.029   12.2   0.0   1   2     0.027       1.8    6.3   0.0   163   188    21    46    10    66 0.68 -
119324at50557_454923_0:001f56|STRG.8652.7:188-487|+    -            100 28600at50557         -            507     0.029   12.2   0.0   2   2     0.065       4.2    5.1   0.0   148   188    59    96    46   100 0.62 -
112578at50557_315563_0:0020eb|STRG.3081.1:42-293|+     -             84 28600at50557         -            507     0.038   11.8   0.1   1   2       0.2        13    3.5   0.0   166   196     3    33     1    36 0.83 -
112578at50557_315563_0:0020eb|STRG.3081.1:42-293|+     -             84 28600at50557         -            507     0.038   11.8   0.1   2   2     0.018       1.2    6.9   0.0   280   305    51    76    34    82 0.85 -
119324at50557_609295_0:001eaf|STRG.11700.1:275-784|+   -            170 28600at50557         -            507     0.046   11.5   1.0   1   2       2.1   1.4e+02    0.1   0.0   282   307    25    50    16    63 0.83 -
119324at50557_609295_0:001eaf|STRG.11700.1:275-784|+   -            170 28600at50557         -            507     0.046   11.5   1.0   2   2    0.0037      0.24    9.2   0.3   167   210    92   137    73   158 0.69 -
104262at50557_6973_0:00268c|STRG.7146.1:649-1154|+     -            163 28600at50557         -            507     0.066   11.0   0.0   1   2      0.42        27    2.4   0.0     3    23     6    26     4    37 0.83 -
104262at50557_6973_0:00268c|STRG.7146.1:649-1154|+     -            163 28600at50557         -            507     0.066   11.0   0.0   2   2     0.018       1.2    6.9   0.0    98   145    72   120    46   138 0.71 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/28600at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/28600at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/28600at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:08:36 2024
# [ok]
