#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
108755at50557_178035_0:0020de|STRG.8551.2:289-915|+    -            209 108755at50557        -            150   2.6e-95  315.3   2.5   1   1   5.4e-97   3.1e-95  315.0   2.5     1   150    11   165    11   165 0.98 -
108271at50557_35570_0:000679|STRG.8309.1:109-588|+     -            160 108755at50557        -            150   7.5e-09   34.7   0.0   1   2     0.062       3.6    6.5   0.0     5    35     1    31     1    40 0.91 -
108271at50557_35570_0:000679|STRG.8309.1:109-588|+     -            160 108755at50557        -            150   7.5e-09   34.7   0.0   2   2   4.7e-08   2.7e-06   26.4   0.0    83   143    78   145    57   150 0.74 -
104262at50557_52612_0:00098c|STRG.7146.1:858-1154|+    -             99 108755at50557        -            150   8.3e-09   34.5   0.0   1   1   1.9e-10   1.1e-08   34.2   0.0   106   149    11    54     4    55 0.94 -
28600at50557_520822_0:000c07|STRG.5897.2:532-2412|+    -            627 108755at50557        -            150     4e-08   32.3   0.0   1   2   7.6e-06   0.00044   19.2   0.0     4   148    12   161     9   163 0.76 -
28600at50557_520822_0:000c07|STRG.5897.2:532-2412|+    -            627 108755at50557        -            150     4e-08   32.3   0.0   2   2    0.0045      0.26   10.2   0.0     8   120   428   544   422   549 0.78 -
28600at50557_13686_0:0008a3|STRG.5897.1:532-2451|+     -            640 108755at50557        -            150   4.2e-08   32.2   0.0   1   2   7.9e-06   0.00046   19.2   0.0     4   148    12   161     9   163 0.76 -
28600at50557_13686_0:0008a3|STRG.5897.1:532-2451|+     -            640 108755at50557        -            150   4.2e-08   32.2   0.0   2   2    0.0047      0.27   10.2   0.0     8   120   428   544   422   549 0.78 -
108271at50557_7536_0:004142|STRG.3786.3:1076-1615|+    -            180 108755at50557        -            150   7.6e-08   31.4   0.0   1   1   7.3e-09   4.2e-07   29.0   0.0    84   143    84   144     1   152 0.63 -
108271at50557_7536_0:004142|STRG.3786.4:959-1498|+     -            180 108755at50557        -            150   7.6e-08   31.4   0.0   1   1   7.3e-09   4.2e-07   29.0   0.0    84   143    84   144     1   152 0.63 -
118237at50557_411798_0:000ee6|STRG.1858.1:18-638|+     -            207 108755at50557        -            150   1.6e-07   30.4   0.0   1   1   3.8e-09   2.2e-07   29.9   0.0     6   125    26   151    23   162 0.81 -
115559at50557_110193_0:002217|STRG.3786.6:54-500|+     -            149 108755at50557        -            150   6.9e-07   28.3   0.0   1   1   1.6e-08   9.4e-07   27.9   0.0   106   143    95   132    66   140 0.85 -
104262at50557_88501_0:0010fe|STRG.7412.1:206-823|+     -            206 108755at50557        -            150   1.1e-06   27.6   0.0   1   2   5.4e-05    0.0031   16.5   0.0     4    70    28    96    25   113 0.83 -
104262at50557_88501_0:0010fe|STRG.7412.1:206-823|+     -            206 108755at50557        -            150   1.1e-06   27.6   0.0   2   2    0.0074      0.43    9.5   0.0    74   127   126   179   116   206 0.66 -
118237at50557_7070_0:00080a|STRG.9206.1:1292-1768|+    -            159 108755at50557        -            150   1.2e-06   27.6   0.0   1   1   2.6e-08   1.5e-06   27.2   0.0     5   119     2   118     1   124 0.85 -
118237at50557_7070_0:00080a|STRG.9206.2:1450-1926|+    -            159 108755at50557        -            150   1.2e-06   27.6   0.0   1   1   2.6e-08   1.5e-06   27.2   0.0     5   119     2   118     1   124 0.85 -
108271at50557_34740_0:0010fd|STRG.11251.1:1464-2102|+  -            213 108755at50557        -            150   2.3e-06   26.6   0.0   1   1   1.7e-07   9.7e-06   24.6   0.0     2    65    36    99    35   200 0.68 -
108271at50557_103372_0:0020f5|STRG.11251.2:284-940|+   -            219 108755at50557        -            150   2.5e-06   26.5   0.0   1   1   1.7e-07   9.8e-06   24.6   0.0     2    65    12    75    11   178 0.67 -
108755at50557_7375_0:003bec|STRG.726.9:281-610|+       -            110 108755at50557        -            150   9.2e-06   24.7   0.0   1   1   1.9e-07   1.1e-05   24.4   0.0    82   148    12    81     4    83 0.86 -
105221at50557_7038_0:00321f|STRG.10766.3:169-471|+     -            101 108755at50557        -            150   1.8e-05   23.7   0.1   1   1   3.2e-07   1.9e-05   23.7   0.1    97   148    42    94     8    96 0.81 -
108271at50557_13249_0:001644|STRG.8644.2:1303-1731|+   -            143 108755at50557        -            150   1.8e-05   23.7   0.0   1   1   4.3e-07   2.5e-05   23.3   0.0    39   143    14   124     1   129 0.77 -
118237at50557_1155016_0:0017e6|STRG.9206.3:1143-1478|+ -            112 108755at50557        -            150   1.9e-05   23.6   0.0   1   1   3.8e-07   2.2e-05   23.4   0.0     5   112     2   111     1   112 0.82 -
111939at50557_103372_0:001457|STRG.1949.1:76-633|+     -            186 108755at50557        -            150   4.1e-05   22.5   0.0   1   1   1.1e-06   6.2e-05   22.0   0.0     5   116    22   135    18   150 0.75 -
118237at50557_56086_0:002463|STRG.16663.1:271-780|+    -            170 108755at50557        -            150   5.8e-05   22.1   0.0   1   1   1.3e-06   7.6e-05   21.7   0.0     4   119    18   134    15   164 0.70 -
118237at50557_56086_0:002463|STRG.16663.2:265-774|+    -            170 108755at50557        -            150   5.8e-05   22.1   0.0   1   1   1.3e-06   7.6e-05   21.7   0.0     4   119    18   134    15   164 0.70 -
118237at50557_56086_0:002463|STRG.16663.3:529-1038|+   -            170 108755at50557        -            150   5.8e-05   22.1   0.0   1   1   1.3e-06   7.6e-05   21.7   0.0     4   119    18   134    15   164 0.70 -
118237at50557_56086_0:002463|STRG.16663.4:494-1003|+   -            170 108755at50557        -            150   5.8e-05   22.1   0.0   1   1   1.3e-06   7.6e-05   21.7   0.0     4   119    18   134    15   164 0.70 -
118237at50557_56086_0:002463|STRG.16663.5:562-1071|+   -            170 108755at50557        -            150   5.8e-05   22.1   0.0   1   1   1.3e-06   7.6e-05   21.7   0.0     4   119    18   134    15   164 0.70 -
105221at50557_108931_0:004984|STRG.8644.1:1187-1405|+  -             73 108755at50557        -            150   0.00019   20.4   0.0   1   1   3.4e-06    0.0002   20.3   0.0    84   142    14    73     3    73 0.76 -
105221at50557_1629725_0:001345|STRG.10022.1:191-454|+  -             88 108755at50557        -            150   0.00021   20.2   0.0   1   1   4.3e-06   0.00025   20.0   0.0    82   149    10    80     3    81 0.83 -
118237at50557_144034_0:0012bb|STRG.1858.2:221-631|+    -            137 108755at50557        -            150   0.00026   19.9   0.0   1   1   5.8e-06   0.00033   19.6   0.0    53   125     3    81     1    92 0.77 -
104262at50557_83485_0:001dc3|STRG.5949.2:238-747|+     -            170 108755at50557        -            150   0.00039   19.4   0.1   1   1     1e-05    0.0006   18.8   0.1     4    90     1    92     1   103 0.75 -
108755at50557_116153_0:002245|STRG.7968.1:137-511|+    -            125 108755at50557        -            150   0.00042   19.3   0.2   1   1   1.2e-05   0.00067   18.6   0.0     5    71     4    72     1    80 0.84 -
118237at50557_7070_0:00080a|STRG.10215.1:254-799|+     -            182 108755at50557        -            150   0.00049   19.1   0.0   1   1   1.2e-05    0.0007   18.6   0.0     4    99    20   108    17   135 0.82 -
118237at50557_28612_0:004a80|STRG.10168.1:537-1025|+   -            163 108755at50557        -            150    0.0013   17.7   0.0   1   1   2.9e-05    0.0017   17.3   0.0     6   118     3   116     1   129 0.74 -
118237at50557_121845_0:0047c3|STRG.16723.1:130-648|+   -            173 108755at50557        -            150    0.0015   17.5   0.0   1   1   3.6e-05    0.0021   17.0   0.0     4   120    18   135    15   166 0.68 -
118237at50557_121845_0:0047c3|STRG.16723.2:311-829|+   -            173 108755at50557        -            150    0.0015   17.5   0.0   1   1   3.6e-05    0.0021   17.0   0.0     4   120    18   135    15   166 0.68 -
117348at50557_110193_0:002167|STRG.10215.2:252-728|+   -            159 108755at50557        -            150    0.0071   15.3   0.0   1   1   0.00016    0.0094   14.9   0.0    13    99     4    83     1   110 0.79 -
129498at50557_45779_0:0039a1|STRG.13324.2:78-374|+     -             99 108755at50557        -            150    0.0078   15.2   0.0   1   1   0.00016    0.0093   14.9   0.0     4    87     3    92     1    98 0.69 -
107216at50557_7394_0:0010f2|STRG.7033.1:804-1400|+     -            199 108755at50557        -            150    0.0081   15.1   0.0   1   2     0.021       1.2    8.1   0.0     5   116     9   138     6   145 0.51 -
107216at50557_7394_0:0010f2|STRG.7033.1:804-1400|+     -            199 108755at50557        -            150    0.0081   15.1   0.0   2   2       1.4        83    2.1   0.0   121   148   166   193   159   195 0.81 -
107216at50557_7394_0:0010f2|STRG.7033.3:721-1317|+     -            199 108755at50557        -            150    0.0081   15.1   0.0   1   2     0.021       1.2    8.1   0.0     5   116     9   138     6   145 0.51 -
107216at50557_7394_0:0010f2|STRG.7033.3:721-1317|+     -            199 108755at50557        -            150    0.0081   15.1   0.0   2   2       1.4        83    2.1   0.0   121   148   166   193   159   195 0.81 -
107216at50557_7394_0:0010f2|STRG.7033.4:860-1456|+     -            199 108755at50557        -            150    0.0081   15.1   0.0   1   2     0.021       1.2    8.1   0.0     5   116     9   138     6   145 0.51 -
107216at50557_7394_0:0010f2|STRG.7033.4:860-1456|+     -            199 108755at50557        -            150    0.0081   15.1   0.0   2   2       1.4        83    2.1   0.0   121   148   166   193   159   195 0.81 -
107216at50557_7394_0:0010f2|STRG.7033.5:900-1496|+     -            199 108755at50557        -            150    0.0081   15.1   0.0   1   2     0.021       1.2    8.1   0.0     5   116     9   138     6   145 0.51 -
107216at50557_7394_0:0010f2|STRG.7033.5:900-1496|+     -            199 108755at50557        -            150    0.0081   15.1   0.0   2   2       1.4        83    2.1   0.0   121   148   166   193   159   195 0.81 -
107216at50557_7394_0:0010f2|STRG.7033.6:886-1482|+     -            199 108755at50557        -            150    0.0081   15.1   0.0   1   2     0.021       1.2    8.1   0.0     5   116     9   138     6   145 0.51 -
107216at50557_7394_0:0010f2|STRG.7033.6:886-1482|+     -            199 108755at50557        -            150    0.0081   15.1   0.0   2   2       1.4        83    2.1   0.0   121   148   166   193   159   195 0.81 -
117348at50557_103372_0:000852|STRG.4767.1:130-744|+    -            205 108755at50557        -            150      0.04   12.9   0.1   1   1     0.003      0.17   10.8   0.1    49   116    66   139    16   149 0.61 -
117348at50557_104452_0:003894|STRG.10938.1:82-591|+    -            170 108755at50557        -            150     0.084   11.8   0.0   1   2     0.011      0.65    8.9   0.0     9    88    11    87     2   129 0.61 -
117348at50557_104452_0:003894|STRG.10938.1:82-591|+    -            170 108755at50557        -            150     0.084   11.8   0.0   2   2       1.5        85    2.1   0.0    36    66   111   141    97   153 0.74 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/108755at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/108755at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/108755at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:05:23 2024
# [ok]
