#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
66691at50557_456900_0:002b0f|STRG.6704.1:456-1556|+    -            367 66691at50557         -            296  4.4e-145  481.5   9.9   1   1  2.1e-146  1.3e-144  479.9   9.9     1   290    15   355    15   360 0.89 -
40115at50557_103372_0:0021d6|STRG.7491.2:2-1190|+      -            374 66691at50557         -            296   1.9e-07   29.7   8.2   1   4       1.7   1.1e+02    0.9   0.0   130   183    42    88    26    90 0.65 -
40115at50557_103372_0:0021d6|STRG.7491.2:2-1190|+      -            374 66691at50557         -            296   1.9e-07   29.7   8.2   2   4     0.012      0.78    7.9   3.0    10    84    79   156    71   176 0.75 -
40115at50557_103372_0:0021d6|STRG.7491.2:2-1190|+      -            374 66691at50557         -            296   1.9e-07   29.7   8.2   3   4     0.045       2.9    6.1   0.0   161   200   254   293   231   298 0.80 -
40115at50557_103372_0:0021d6|STRG.7491.2:2-1190|+      -            374 66691at50557         -            296   1.9e-07   29.7   8.2   4   4   0.00036     0.023   13.0   0.1    30    94   304   366   299   370 0.49 -
48053at50557_104421_0:0017a2|STRG.1224.1:20-1552|+     -            511 66691at50557         -            296   2.6e-07   29.2   0.4   1   3     0.012      0.76    8.0   0.1    39   101   239   299   211   334 0.70 -
48053at50557_104421_0:0017a2|STRG.1224.1:20-1552|+     -            511 66691at50557         -            296   2.6e-07   29.2   0.4   2   3   9.9e-06   0.00063   18.1   0.1    24   199   266   429   262   441 0.76 -
48053at50557_104421_0:0017a2|STRG.1224.1:20-1552|+     -            511 66691at50557         -            296   2.6e-07   29.2   0.4   3   3       2.9   1.9e+02    0.1   0.0    17    51   472   503   449   508 0.66 -
80377at50557_456900_0:000374|STRG.1093.1:114-1160|+    -            349 66691at50557         -            296   4.3e-07   28.5   0.3   1   2    0.0049      0.31    9.2   0.2   122   201    60   133    51   213 0.84 -
80377at50557_456900_0:000374|STRG.1093.1:114-1160|+    -            349 66691at50557         -            296   4.3e-07   28.5   0.3   2   2   0.00028     0.018   13.3   0.0    21   143   218   342   206   347 0.75 -
80377at50557_77166_0:002f29|STRG.13804.1:1091-2005|+   -            305 66691at50557         -            296     5e-07   28.3   4.6   1   3   0.00041     0.026   12.8   0.1    78   146    27    93    20    96 0.62 -
80377at50557_77166_0:002f29|STRG.13804.1:1091-2005|+   -            305 66691at50557         -            296     5e-07   28.3   4.6   2   3     0.042       2.7    6.2   0.0    31    68    68   105    61   134 0.75 -
80377at50557_77166_0:002f29|STRG.13804.1:1091-2005|+   -            305 66691at50557         -            296     5e-07   28.3   4.6   3   3    0.0028      0.18   10.0   0.8    20   200    99   269    92   280 0.71 -
31374at50557_133901_0:001035|STRG.8891.1:326-1870|+    -            515 66691at50557         -            296   6.9e-07   27.8   1.2   1   2   2.3e-06   0.00015   20.2   0.0   122   198   358   427   356   436 0.91 -
31374at50557_133901_0:001035|STRG.8891.1:326-1870|+    -            515 66691at50557         -            296   6.9e-07   27.8   1.2   2   2      0.09       5.7    5.1   0.0   118   148   438   468   432   497 0.70 -
40115at50557_411798_0:002bfa|STRG.649.1:1078-1863|+    -            262 66691at50557         -            296   9.1e-07   27.4   0.9   1   3     0.027       1.7    6.8   0.3   160   210    13    65     2    91 0.79 -
40115at50557_411798_0:002bfa|STRG.649.1:1078-1863|+    -            262 66691at50557         -            296   9.1e-07   27.4   0.9   2   3   4.4e-05    0.0028   16.0   0.0    23    93    99   168    81   180 0.83 -
40115at50557_411798_0:002bfa|STRG.649.1:1078-1863|+    -            262 66691at50557         -            296   9.1e-07   27.4   0.9   3   3      0.84        54    1.9   0.0    23    53   229   259   191   262 0.82 -
78072at50557_156304_0:001dd8|STRG.971.2:636-1358|+     -            241 66691at50557         -            296   9.4e-07   27.4   0.8   1   2   1.1e-05   0.00072   17.9   0.0    25   101     2    81     1    95 0.77 -
78072at50557_156304_0:001dd8|STRG.971.2:636-1358|+     -            241 66691at50557         -            296   9.4e-07   27.4   0.8   2   2     0.016         1    7.5   0.1    26    64   101   139    88   164 0.84 -
78072at50557_156304_0:001dd8|STRG.971.3:1260-1982|+    -            241 66691at50557         -            296   9.4e-07   27.4   0.8   1   2   1.1e-05   0.00072   17.9   0.0    25   101     2    81     1    95 0.77 -
78072at50557_156304_0:001dd8|STRG.971.3:1260-1982|+    -            241 66691at50557         -            296   9.4e-07   27.4   0.8   2   2     0.016         1    7.5   0.1    26    64   101   139    88   164 0.84 -
80377at50557_568069_0:004eea|STRG.1214.1:96-950|+      -            285 66691at50557         -            296     1e-06   27.3   1.9   1   4     0.063         4    5.6   0.1   166   204     6    44     1    51 0.65 -
80377at50557_568069_0:004eea|STRG.1214.1:96-950|+      -            285 66691at50557         -            296     1e-06   27.3   1.9   2   4    0.0075      0.48    8.6   0.2    44    98    68   119    46   124 0.75 -
80377at50557_568069_0:004eea|STRG.1214.1:96-950|+      -            285 66691at50557         -            296     1e-06   27.3   1.9   3   4     0.076       4.8    5.3   0.0   113   198   171   249   168   255 0.70 -
80377at50557_568069_0:004eea|STRG.1214.1:96-950|+      -            285 66691at50557         -            296     1e-06   27.3   1.9   4   4      0.42        26    2.9   0.0   117   140   258   281   252   283 0.83 -
80377at50557_166361_0:002fc1|STRG.830.1:195-746|+      -            184 66691at50557         -            296   1.4e-06   26.8   2.6   1   1   3.1e-07     2e-05   23.0   2.6    47   207     4   176     1   182 0.71 -
80377at50557_166361_0:002fc1|STRG.830.2:224-775|+      -            184 66691at50557         -            296   1.4e-06   26.8   2.6   1   1   3.1e-07     2e-05   23.0   2.6    47   207     4   176     1   182 0.71 -
80377at50557_166361_0:002fc1|STRG.830.3:195-746|+      -            184 66691at50557         -            296   1.4e-06   26.8   2.6   1   1   3.1e-07     2e-05   23.0   2.6    47   207     4   176     1   182 0.71 -
80377at50557_166361_0:002fc1|STRG.830.4:224-775|+      -            184 66691at50557         -            296   1.4e-06   26.8   2.6   1   1   3.1e-07     2e-05   23.0   2.6    47   207     4   176     1   182 0.71 -
31374at50557_1155016_0:001371|STRG.8891.2:390-1844|+   -            485 66691at50557         -            296   1.5e-06   26.7   2.0   1   2     2e-06   0.00012   20.4   0.0   122   198   363   432   361   443 0.90 -
31374at50557_1155016_0:001371|STRG.8891.2:390-1844|+   -            485 66691at50557         -            296   1.5e-06   26.7   2.0   2   2      0.12       7.6    4.7   0.1    27   147   442   472   436   482 0.58 -
40115at50557_123851_0:00295a|STRG.10321.10:1035-2003|+ -            323 66691at50557         -            296   1.8e-06   26.4   0.0   1   3   7.8e-07     5e-05   21.7   0.0    73   180    11   125     4   155 0.67 -
40115at50557_123851_0:00295a|STRG.10321.10:1035-2003|+ -            323 66691at50557         -            296   1.8e-06   26.4   0.0   2   3       9.7   6.1e+02   -1.6   0.0   161   185   243   267   204   285 0.48 -
40115at50557_123851_0:00295a|STRG.10321.10:1035-2003|+ -            323 66691at50557         -            296   1.8e-06   26.4   0.0   3   3       1.5        92    1.1   0.0    25    56   292   323   289   323 0.91 -
40115at50557_123851_0:00295a|STRG.10321.2:3422-4390|+  -            323 66691at50557         -            296   1.8e-06   26.4   0.0   1   3   7.8e-07     5e-05   21.7   0.0    73   180    11   125     4   155 0.67 -
40115at50557_123851_0:00295a|STRG.10321.2:3422-4390|+  -            323 66691at50557         -            296   1.8e-06   26.4   0.0   2   3       9.7   6.1e+02   -1.6   0.0   161   185   243   267   204   285 0.48 -
40115at50557_123851_0:00295a|STRG.10321.2:3422-4390|+  -            323 66691at50557         -            296   1.8e-06   26.4   0.0   3   3       1.5        92    1.1   0.0    25    56   292   323   289   323 0.91 -
40115at50557_123851_0:00295a|STRG.10321.4:1961-2929|+  -            323 66691at50557         -            296   1.8e-06   26.4   0.0   1   3   7.8e-07     5e-05   21.7   0.0    73   180    11   125     4   155 0.67 -
40115at50557_123851_0:00295a|STRG.10321.4:1961-2929|+  -            323 66691at50557         -            296   1.8e-06   26.4   0.0   2   3       9.7   6.1e+02   -1.6   0.0   161   185   243   267   204   285 0.48 -
40115at50557_123851_0:00295a|STRG.10321.4:1961-2929|+  -            323 66691at50557         -            296   1.8e-06   26.4   0.0   3   3       1.5        92    1.1   0.0    25    56   292   323   289   323 0.91 -
40115at50557_123851_0:00295a|STRG.10321.5:1999-2967|+  -            323 66691at50557         -            296   1.8e-06   26.4   0.0   1   3   7.8e-07     5e-05   21.7   0.0    73   180    11   125     4   155 0.67 -
40115at50557_123851_0:00295a|STRG.10321.5:1999-2967|+  -            323 66691at50557         -            296   1.8e-06   26.4   0.0   2   3       9.7   6.1e+02   -1.6   0.0   161   185   243   267   204   285 0.48 -
40115at50557_123851_0:00295a|STRG.10321.5:1999-2967|+  -            323 66691at50557         -            296   1.8e-06   26.4   0.0   3   3       1.5        92    1.1   0.0    25    56   292   323   289   323 0.91 -
40115at50557_123851_0:00295a|STRG.10321.6:864-1832|+   -            323 66691at50557         -            296   1.8e-06   26.4   0.0   1   3   7.8e-07     5e-05   21.7   0.0    73   180    11   125     4   155 0.67 -
40115at50557_123851_0:00295a|STRG.10321.6:864-1832|+   -            323 66691at50557         -            296   1.8e-06   26.4   0.0   2   3       9.7   6.1e+02   -1.6   0.0   161   185   243   267   204   285 0.48 -
40115at50557_123851_0:00295a|STRG.10321.6:864-1832|+   -            323 66691at50557         -            296   1.8e-06   26.4   0.0   3   3       1.5        92    1.1   0.0    25    56   292   323   289   323 0.91 -
40115at50557_123851_0:00295a|STRG.10321.7:1482-2450|+  -            323 66691at50557         -            296   1.8e-06   26.4   0.0   1   3   7.8e-07     5e-05   21.7   0.0    73   180    11   125     4   155 0.67 -
40115at50557_123851_0:00295a|STRG.10321.7:1482-2450|+  -            323 66691at50557         -            296   1.8e-06   26.4   0.0   2   3       9.7   6.1e+02   -1.6   0.0   161   185   243   267   204   285 0.48 -
40115at50557_123851_0:00295a|STRG.10321.7:1482-2450|+  -            323 66691at50557         -            296   1.8e-06   26.4   0.0   3   3       1.5        92    1.1   0.0    25    56   292   323   289   323 0.91 -
40115at50557_123851_0:00295a|STRG.10321.8:102-1070|+   -            323 66691at50557         -            296   1.8e-06   26.4   0.0   1   3   7.8e-07     5e-05   21.7   0.0    73   180    11   125     4   155 0.67 -
40115at50557_123851_0:00295a|STRG.10321.8:102-1070|+   -            323 66691at50557         -            296   1.8e-06   26.4   0.0   2   3       9.7   6.1e+02   -1.6   0.0   161   185   243   267   204   285 0.48 -
40115at50557_123851_0:00295a|STRG.10321.8:102-1070|+   -            323 66691at50557         -            296   1.8e-06   26.4   0.0   3   3       1.5        92    1.1   0.0    25    56   292   323   289   323 0.91 -
40115at50557_123851_0:00295a|STRG.10321.9:1042-2010|+  -            323 66691at50557         -            296   1.8e-06   26.4   0.0   1   3   7.8e-07     5e-05   21.7   0.0    73   180    11   125     4   155 0.67 -
40115at50557_123851_0:00295a|STRG.10321.9:1042-2010|+  -            323 66691at50557         -            296   1.8e-06   26.4   0.0   2   3       9.7   6.1e+02   -1.6   0.0   161   185   243   267   204   285 0.48 -
40115at50557_123851_0:00295a|STRG.10321.9:1042-2010|+  -            323 66691at50557         -            296   1.8e-06   26.4   0.0   3   3       1.5        92    1.1   0.0    25    56   292   323   289   323 0.91 -
57752at50557_121225_0:0018b6|STRG.7485.1:539-1453|+    -            305 66691at50557         -            296   2.1e-06   26.2  15.8   1   5     0.013      0.81    7.9   0.1   120   207     6    86     3    88 0.85 -
57752at50557_121225_0:0018b6|STRG.7485.1:539-1453|+    -            305 66691at50557         -            296   2.1e-06   26.2  15.8   2   5     0.011       0.7    8.1   0.2    22    67    83   128    77   143 0.84 -
57752at50557_121225_0:0018b6|STRG.7485.1:539-1453|+    -            305 66691at50557         -            296   2.1e-06   26.2  15.8   3   5     0.015      0.95    7.6   0.9    24    91   127   192   123   199 0.73 -
57752at50557_121225_0:0018b6|STRG.7485.1:539-1453|+    -            305 66691at50557         -            296   2.1e-06   26.2  15.8   4   5    0.0064      0.41    8.9   0.1   157   212   224   280   203   283 0.74 -
57752at50557_121225_0:0018b6|STRG.7485.1:539-1453|+    -            305 66691at50557         -            296   2.1e-06   26.2  15.8   5   5     0.077       4.9    5.3   0.1   123   146   281   304   278   305 0.91 -
57752at50557_121225_0:0018b6|STRG.7485.2:537-1451|+    -            305 66691at50557         -            296   2.1e-06   26.2  15.8   1   5     0.013      0.81    7.9   0.1   120   207     6    86     3    88 0.85 -
57752at50557_121225_0:0018b6|STRG.7485.2:537-1451|+    -            305 66691at50557         -            296   2.1e-06   26.2  15.8   2   5     0.011       0.7    8.1   0.2    22    67    83   128    77   143 0.84 -
57752at50557_121225_0:0018b6|STRG.7485.2:537-1451|+    -            305 66691at50557         -            296   2.1e-06   26.2  15.8   3   5     0.015      0.95    7.6   0.9    24    91   127   192   123   199 0.73 -
57752at50557_121225_0:0018b6|STRG.7485.2:537-1451|+    -            305 66691at50557         -            296   2.1e-06   26.2  15.8   4   5    0.0064      0.41    8.9   0.1   157   212   224   280   203   283 0.74 -
57752at50557_121225_0:0018b6|STRG.7485.2:537-1451|+    -            305 66691at50557         -            296   2.1e-06   26.2  15.8   5   5     0.077       4.9    5.3   0.1   123   146   281   304   278   305 0.91 -
66691at50557_13686_0:00342e|STRG.9422.1:206-559|+      -            118 66691at50557         -            296   2.8e-06   25.8   0.1   1   1     6e-08   3.8e-06   25.4   0.1    32   144     1   118     1   118 0.82 -
78072at50557_29058_0:001c12|STRG.8098.1:265-1008|+     -            248 66691at50557         -            296   3.2e-06   25.6  16.5   1   2   1.2e-05   0.00076   17.8   2.7    28   129     8   110     2   117 0.84 -
78072at50557_29058_0:001c12|STRG.8098.1:265-1008|+     -            248 66691at50557         -            296   3.2e-06   25.6  16.5   2   2   0.00017     0.011   14.1   5.0    23   108   153   242   149   247 0.84 -
31374at50557_103372_0:0017b9|STRG.16521.1:92-2047|+    -            652 66691at50557         -            296   3.3e-06   25.6   1.8   1   2   3.5e-05    0.0022   16.3   0.2    18   196   386   551   368   555 0.80 -
31374at50557_103372_0:0017b9|STRG.16521.1:92-2047|+    -            652 66691at50557         -            296   3.3e-06   25.6   1.8   2   2    0.0077      0.49    8.6   0.0   156   199   553   596   520   607 0.77 -
14512at50557_103372_0:0005b9|STRG.9027.1:361-2940|+    -            860 66691at50557         -            296   4.5e-06   25.1   0.1   1   2   5.6e-05    0.0035   15.6   0.0    25   199    14   176     7   187 0.79 -
14512at50557_103372_0:0005b9|STRG.9027.1:361-2940|+    -            860 66691at50557         -            296   4.5e-06   25.1   0.1   2   2     0.022       1.4    7.1   0.0   121   145   189   213   183   251 0.86 -
14512at50557_103372_0:0005b9|STRG.9027.2:361-2997|+    -            879 66691at50557         -            296   4.8e-06   25.0   0.1   1   2   5.9e-05    0.0037   15.5   0.0    25   199    14   176     7   186 0.79 -
14512at50557_103372_0:0005b9|STRG.9027.2:361-2997|+    -            879 66691at50557         -            296   4.8e-06   25.0   0.1   2   2     0.023       1.5    7.0   0.0   121   145   189   213   184   251 0.86 -
42371at50557_34720_0:000328|STRG.1318.4:313-1506|+     -            398 66691at50557         -            296   5.2e-06   24.9   1.7   1   3       1.6     1e+02    1.0   0.0   174   202    85   113    70   120 0.67 -
42371at50557_34720_0:000328|STRG.1318.4:313-1506|+     -            398 66691at50557         -            296   5.2e-06   24.9   1.7   2   3   0.00026     0.017   13.4   0.1    15    92   111   191    98   215 0.78 -
42371at50557_34720_0:000328|STRG.1318.4:313-1506|+     -            398 66691at50557         -            296   5.2e-06   24.9   1.7   3   3     0.015      0.92    7.7   0.1    22    88   290   354   281   382 0.77 -
25500at50557_13686_0:0020f5|STRG.10457.1:163-1968|+    -            602 66691at50557         -            296   6.3e-06   24.6   4.8   1   4      0.47        30    2.7   0.0   129   188    68   122    58   155 0.74 -
25500at50557_13686_0:0020f5|STRG.10457.1:163-1968|+    -            602 66691at50557         -            296   6.3e-06   24.6   4.8   2   4       2.2   1.4e+02    0.5   0.0   121   151   191   221   178   231 0.58 -
25500at50557_13686_0:0020f5|STRG.10457.1:163-1968|+    -            602 66691at50557         -            296   6.3e-06   24.6   4.8   3   4      0.13       8.3    4.6   0.0    28    60   232   264   229   273 0.89 -
25500at50557_13686_0:0020f5|STRG.10457.1:163-1968|+    -            602 66691at50557         -            296   6.3e-06   24.6   4.8   4   4   0.00021     0.013   13.7   1.7    27   138   481   590   445   599 0.74 -
14512at50557_56086_0:000590|STRG.5472.1:620-1087|+     -            156 66691at50557         -            296   1.4e-05   23.5   0.4   1   3     0.042       2.7    6.2   0.0   169   201     2    34     1    51 0.76 -
14512at50557_56086_0:000590|STRG.5472.1:620-1087|+     -            156 66691at50557         -            296   1.4e-05   23.5   0.4   2   3   0.00068     0.043   12.1   0.1   124   199    48   116    42   121 0.77 -
14512at50557_56086_0:000590|STRG.5472.1:620-1087|+     -            156 66691at50557         -            296   1.4e-05   23.5   0.4   3   3      0.32        20    3.3   0.0   160   194   119   154   113   156 0.62 -
42371at50557_34720_0:000328|STRG.1318.1:528-2345|+     -            606 66691at50557         -            296   1.6e-05   23.3   0.9   1   3       3.6   2.3e+02   -0.2   0.0   175   198   294   317   280   325 0.64 -
42371at50557_34720_0:000328|STRG.1318.1:528-2345|+     -            606 66691at50557         -            296   1.6e-05   23.3   0.9   2   3    0.0005     0.032   12.5   0.1    15    92   319   399   306   424 0.78 -
42371at50557_34720_0:000328|STRG.1318.1:528-2345|+     -            606 66691at50557         -            296   1.6e-05   23.3   0.9   3   3     0.014      0.86    7.8   0.1    44   146   520   575   489   606 0.54 -
42371at50557_34720_0:000328|STRG.1318.2:528-2348|+     -            607 66691at50557         -            296   1.6e-05   23.3   0.9   1   3       2.7   1.7e+02    0.2   0.0   174   202   294   322   279   329 0.67 -
42371at50557_34720_0:000328|STRG.1318.2:528-2348|+     -            607 66691at50557         -            296   1.6e-05   23.3   0.9   2   3   0.00047      0.03   12.6   0.1    15    92   320   400   305   425 0.78 -
42371at50557_34720_0:000328|STRG.1318.2:528-2348|+     -            607 66691at50557         -            296   1.6e-05   23.3   0.9   3   3     0.014      0.86    7.8   0.1    44   146   521   576   490   607 0.54 -
40115at50557_108931_0:001d6b|STRG.6260.1:424-1572|+    -            383 66691at50557         -            296   2.1e-05   22.9   1.3   1   3         1        65    1.6   0.0   107   148    98   139    61   150 0.64 -
40115at50557_108931_0:001d6b|STRG.6260.1:424-1572|+    -            383 66691at50557         -            296   2.1e-05   22.9   1.3   2   3      0.63        40    2.3   0.1   118   133   236   251   218   289 0.82 -
40115at50557_108931_0:001d6b|STRG.6260.1:424-1572|+    -            383 66691at50557         -            296   2.1e-05   22.9   1.3   3   3   5.6e-05    0.0036   15.6   0.0    20    89   303   371   285   382 0.80 -
42371at50557_34720_0:000328|STRG.1318.3:528-2489|+     -            654 66691at50557         -            296   2.2e-05   22.9   0.9   1   3       3.3   2.1e+02   -0.0   0.0   175   202   342   369   329   376 0.67 -
42371at50557_34720_0:000328|STRG.1318.3:528-2489|+     -            654 66691at50557         -            296   2.2e-05   22.9   0.9   2   3   0.00053     0.034   12.4   0.1    15    92   367   447   352   472 0.78 -
42371at50557_34720_0:000328|STRG.1318.3:528-2489|+     -            654 66691at50557         -            296   2.2e-05   22.9   0.9   3   3     0.015      0.98    7.6   0.1    44   146   568   623   538   654 0.54 -
40115at50557_104421_0:0011ee|STRG.16711.2:893-1756|+   -            288 66691at50557         -            296   2.2e-05   22.9   7.4   1   2    0.0057      0.36    9.0   0.5    35    93     6    61     2    94 0.91 -
40115at50557_104421_0:0011ee|STRG.16711.2:893-1756|+   -            288 66691at50557         -            296   2.2e-05   22.9   7.4   2   2   1.8e-05    0.0011   17.3   1.4    20   189   115   281   102   287 0.71 -
78072at50557_39758_0:003b38|STRG.16035.1:802-1341|+    -            180 66691at50557         -            296   2.8e-05   22.5   0.5   1   1   6.6e-07   4.2e-05   21.9   0.5    31   140    62   177    41   180 0.72 -
80377at50557_7370_0:002b5e|STRG.6304.1:136-549|+       -            138 66691at50557         -            296   6.1e-05   21.4   0.2   1   2     0.008      0.51    8.5   0.1    20    60    10    50     2    59 0.83 -
80377at50557_7370_0:002b5e|STRG.6304.1:136-549|+       -            138 66691at50557         -            296   6.1e-05   21.4   0.2   2   2   0.00095      0.06   11.6   0.0   117   184    60   125    51   132 0.79 -
78072at50557_166361_0:00328d|STRG.10688.1:1108-1800|+  -            231 66691at50557         -            296   6.6e-05   21.3   0.2   1   2    0.0053      0.33    9.1   0.0   120   148     9    37     5    44 0.92 -
78072at50557_166361_0:00328d|STRG.10688.1:1108-1800|+  -            231 66691at50557         -            296   6.6e-05   21.3   0.2   2   2    0.0027      0.17   10.1   0.1    75   147    52   128    42   135 0.61 -
78072at50557_166361_0:00328d|STRG.10688.2:747-1439|+   -            231 66691at50557         -            296   6.6e-05   21.3   0.2   1   2    0.0053      0.33    9.1   0.0   120   148     9    37     5    44 0.92 -
78072at50557_166361_0:00328d|STRG.10688.2:747-1439|+   -            231 66691at50557         -            296   6.6e-05   21.3   0.2   2   2    0.0027      0.17   10.1   0.1    75   147    52   128    42   135 0.61 -
78072at50557_166361_0:00328d|STRG.10688.3:734-1426|+   -            231 66691at50557         -            296   6.6e-05   21.3   0.2   1   2    0.0053      0.33    9.1   0.0   120   148     9    37     5    44 0.92 -
78072at50557_166361_0:00328d|STRG.10688.3:734-1426|+   -            231 66691at50557         -            296   6.6e-05   21.3   0.2   2   2    0.0027      0.17   10.1   0.1    75   147    52   128    42   135 0.61 -
40115at50557_110193_0:00292f|STRG.16711.1:1332-2066|+  -            245 66691at50557         -            296   0.00038   18.8   1.5   1   1   1.2e-05   0.00076   17.8   1.5    20   189    72   238    60   244 0.71 -
40115at50557_110193_0:00292f|STRG.16711.3:1004-1738|+  -            245 66691at50557         -            296   0.00038   18.8   1.5   1   1   1.2e-05   0.00076   17.8   1.5    20   189    72   238    60   244 0.71 -
49370at50557_456900_0:00265d|STRG.16305.2:214-1782|+   -            523 66691at50557         -            296   0.00042   18.7   0.5   1   4       5.7   3.6e+02   -0.8   0.0   168   191   366   389   325   400 0.66 -
49370at50557_456900_0:00265d|STRG.16305.2:214-1782|+   -            523 66691at50557         -            296   0.00042   18.7   0.5   2   4     0.041       2.6    6.2   0.0    25    60   404   439   399   448 0.87 -
49370at50557_456900_0:00265d|STRG.16305.2:214-1782|+   -            523 66691at50557         -            296   0.00042   18.7   0.5   3   4       6.2   3.9e+02   -0.9   0.0    42    65   464   485   442   489 0.77 -
49370at50557_456900_0:00265d|STRG.16305.2:214-1782|+   -            523 66691at50557         -            296   0.00042   18.7   0.5   4   4     0.011      0.73    8.0   0.0    16    57   480   521   468   523 0.86 -
49370at50557_456900_0:00265d|STRG.16305.1:416-1981|+   -            522 66691at50557         -            296   0.00054   18.3   0.5   1   4       5.1   3.2e+02   -0.7   0.0   168   194   366   392   326   405 0.69 -
49370at50557_456900_0:00265d|STRG.16305.1:416-1981|+   -            522 66691at50557         -            296   0.00054   18.3   0.5   2   4     0.041       2.6    6.2   0.0    25    60   404   439   399   448 0.87 -
49370at50557_456900_0:00265d|STRG.16305.1:416-1981|+   -            522 66691at50557         -            296   0.00054   18.3   0.5   3   4       7.3   4.6e+02   -1.2   0.0    42    65   464   485   449   489 0.79 -
49370at50557_456900_0:00265d|STRG.16305.1:416-1981|+   -            522 66691at50557         -            296   0.00054   18.3   0.5   4   4     0.016         1    7.5   0.0    17    57   481   521   471   522 0.86 -
40115at50557_38123_0:0006c3|STRG.7720.1:17-220|+       -             68 66691at50557         -            296   0.00061   18.1   0.0   1   1   1.1e-05   0.00067   18.0   0.0   156   201    14    59     7    67 0.88 -
14512at50557_29053_0:0002b6|STRG.2091.1:214-924|+      -            237 66691at50557         -            296     0.001   17.4   4.1   1   3     0.035       2.2    6.4   0.0   123   149    12    38     8    88 0.72 -
14512at50557_29053_0:0002b6|STRG.2091.1:214-924|+      -            237 66691at50557         -            296     0.001   17.4   4.1   2   3      0.03       1.9    6.6   0.2    25    59    88   122    69   130 0.81 -
14512at50557_29053_0:0002b6|STRG.2091.1:214-924|+      -            237 66691at50557         -            296     0.001   17.4   4.1   3   3      0.15       9.8    4.3   0.3    34    97   166   232   151   237 0.57 -
43553at50557_13686_0:000241|STRG.15103.7:1549-3015|+   -            489 66691at50557         -            296    0.0019   16.5   2.6   1   3      0.46        29    2.8   0.0   121   155   223   258   219   269 0.81 -
43553at50557_13686_0:000241|STRG.15103.7:1549-3015|+   -            489 66691at50557         -            296    0.0019   16.5   2.6   2   3    0.0047       0.3    9.3   0.1    24    67   298   341   294   364 0.89 -
43553at50557_13686_0:000241|STRG.15103.7:1549-3015|+   -            489 66691at50557         -            296    0.0019   16.5   2.6   3   3       1.2        76    1.4   0.0    21    60   380   418   363   440 0.76 -
43553at50557_13686_0:000241|STRG.15103.8:511-1977|+    -            489 66691at50557         -            296    0.0019   16.5   2.6   1   3      0.46        29    2.8   0.0   121   155   223   258   219   269 0.81 -
43553at50557_13686_0:000241|STRG.15103.8:511-1977|+    -            489 66691at50557         -            296    0.0019   16.5   2.6   2   3    0.0047       0.3    9.3   0.1    24    67   298   341   294   364 0.89 -
43553at50557_13686_0:000241|STRG.15103.8:511-1977|+    -            489 66691at50557         -            296    0.0019   16.5   2.6   3   3       1.2        76    1.4   0.0    21    60   380   418   363   440 0.76 -
43553at50557_13686_0:000241|STRG.15103.1:425-1957|+    -            511 66691at50557         -            296     0.002   16.4   2.6   1   3       0.4        25    3.0   0.0   121   155   223   258   211   271 0.81 -
43553at50557_13686_0:000241|STRG.15103.1:425-1957|+    -            511 66691at50557         -            296     0.002   16.4   2.6   2   3    0.0049      0.31    9.2   0.1    24    67   298   341   294   366 0.89 -
43553at50557_13686_0:000241|STRG.15103.1:425-1957|+    -            511 66691at50557         -            296     0.002   16.4   2.6   3   3       1.5        94    1.1   0.0    24    60   383   418   373   440 0.74 -
43553at50557_13686_0:000241|STRG.15103.2:241-1773|+    -            511 66691at50557         -            296     0.002   16.4   2.6   1   3       0.4        25    3.0   0.0   121   155   223   258   211   271 0.81 -
43553at50557_13686_0:000241|STRG.15103.2:241-1773|+    -            511 66691at50557         -            296     0.002   16.4   2.6   2   3    0.0049      0.31    9.2   0.1    24    67   298   341   294   366 0.89 -
43553at50557_13686_0:000241|STRG.15103.2:241-1773|+    -            511 66691at50557         -            296     0.002   16.4   2.6   3   3       1.5        94    1.1   0.0    24    60   383   418   373   440 0.74 -
43553at50557_13686_0:000241|STRG.15103.3:390-1922|+    -            511 66691at50557         -            296     0.002   16.4   2.6   1   3       0.4        25    3.0   0.0   121   155   223   258   211   271 0.81 -
43553at50557_13686_0:000241|STRG.15103.3:390-1922|+    -            511 66691at50557         -            296     0.002   16.4   2.6   2   3    0.0049      0.31    9.2   0.1    24    67   298   341   294   366 0.89 -
43553at50557_13686_0:000241|STRG.15103.3:390-1922|+    -            511 66691at50557         -            296     0.002   16.4   2.6   3   3       1.5        94    1.1   0.0    24    60   383   418   373   440 0.74 -
43553at50557_13686_0:000241|STRG.15103.4:315-1847|+    -            511 66691at50557         -            296     0.002   16.4   2.6   1   3       0.4        25    3.0   0.0   121   155   223   258   211   271 0.81 -
43553at50557_13686_0:000241|STRG.15103.4:315-1847|+    -            511 66691at50557         -            296     0.002   16.4   2.6   2   3    0.0049      0.31    9.2   0.1    24    67   298   341   294   366 0.89 -
43553at50557_13686_0:000241|STRG.15103.4:315-1847|+    -            511 66691at50557         -            296     0.002   16.4   2.6   3   3       1.5        94    1.1   0.0    24    60   383   418   373   440 0.74 -
