#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
17536at50557_103372_0:00299d|STRG.7965.1:0-1967|+       -            656 17536at50557         -            591  3.1e-212  704.9  28.3   1   1  8.1e-211  5.7e-209  694.1  28.3    74   591     1   655     1   655 0.83 -
98621at50557_110193_0:0027e7|STRG.13921.5:15-623|+      -            203 17536at50557         -            591     0.034   11.3   0.2   1   2      0.74        52    0.8   0.0   415   432     1    18     1    33 0.88 -
98621at50557_110193_0:0027e7|STRG.13921.5:15-623|+      -            203 17536at50557         -            591     0.034   11.3   0.2   2   2    0.0032      0.23    8.6   0.1   516   581   134   200   122   203 0.78 -
98621at50557_156304_0:000097|STRG.14590.1:50-538|+      -            163 17536at50557         -            591     0.036   11.2   0.0   1   2    0.0061      0.43    7.7   0.0   384   448     5    76     1    97 0.67 -
98621at50557_156304_0:000097|STRG.14590.1:50-538|+      -            163 17536at50557         -            591     0.036   11.2   0.0   2   2      0.35        25    1.8   0.0   473   493   119   141   111   153 0.83 -
107413at50557_7425_0:0008d4|STRG.10717.3:245-981|+      -            242 17536at50557         -            591     0.036   11.2   0.0   1   2    0.0017      0.12    9.5   0.0   399   453    31    90    19   101 0.74 -
107413at50557_7425_0:0008d4|STRG.10717.3:245-981|+      -            242 17536at50557         -            591     0.036   11.2   0.0   2   2       2.4   1.6e+02   -0.9   0.0   555   591   205   240   174   240 0.76 -
115080at50557_7539_0:00302c|STRG.14401.1:1127-1360|+    -             78 17536at50557         -            591     0.043   11.0  16.9   1   1   0.00071      0.05   10.7  16.9   238   295     1    71     1    76 0.77 -
115080at50557_103372_0:002750|STRG.11360.1:0-602|+      -            201 17536at50557         -            591     0.044   10.9   1.4   1   1   0.00072      0.05   10.7   1.4   249   270    64    85    19    98 0.71 -
115080at50557_103372_0:002750|STRG.11360.2:100-576|+    -            159 17536at50557         -            591     0.072   10.2   2.1   1   1    0.0012     0.085   10.0   2.1   250   270    23    43     2    56 0.69 -
98621at50557_197043_0:006184|STRG.7951.1:412-714|-      -            101 17536at50557         -            591     0.078   10.1   0.0   1   1    0.0012     0.083   10.0   0.0   401   433    13    45     6    67 0.88 -
98621at50557_29029_0:001d93|STRG.3794.1:291-1052|+      -            254 17536at50557         -            591       0.1    9.7   2.2   1   2    0.0023      0.16    9.0   0.7   400   440    12    56     5   139 0.81 -
98621at50557_29029_0:001d93|STRG.3794.1:291-1052|+      -            254 17536at50557         -            591       0.1    9.7   2.2   2   2         3   2.1e+02   -1.3   0.0   556   591   213   253   201   253 0.62 -
98621at50557_29029_0:001d93|STRG.3794.2:301-1073|+      -            248 17536at50557         -            591      0.15    9.1   3.1   1   1    0.0065      0.45    7.6   3.1   400   444    12    61     5   247 0.82 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/17536at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/17536at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/17536at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:33:45 2024
# [ok]
