#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
98332at50557_103372_0:00196c|STRG.1008.1:0-632|+       -            211 98332at50557         -            180   3.9e-99  328.4   0.4   1   1  2.6e-100   1.9e-98  326.2   0.4     1   180     1   209     1   209 0.94 -
98332at50557_7004_0:00518d|STRG.18738.1:1914-2168|+    -             85 98332at50557         -            180    0.0011   17.4   0.0   1   1   1.5e-05    0.0011   17.4   0.0    55   110    21    83     1    85 0.75 -
98332at50557_7004_0:00518d|STRG.18738.2:1336-1590|+    -             85 98332at50557         -            180    0.0011   17.4   0.0   1   1   1.5e-05    0.0011   17.4   0.0    55   110    21    83     1    85 0.75 -
98332at50557_7004_0:00518d|STRG.18738.3:1385-1639|+    -             85 98332at50557         -            180    0.0011   17.4   0.0   1   1   1.5e-05    0.0011   17.4   0.0    55   110    21    83     1    85 0.75 -
98332at50557_7004_0:00518d|STRG.18738.4:2038-2292|+    -             85 98332at50557         -            180    0.0011   17.4   0.0   1   1   1.5e-05    0.0011   17.4   0.0    55   110    21    83     1    85 0.75 -
98332at50557_7004_0:00518d|STRG.18738.6:1366-1620|+    -             85 98332at50557         -            180    0.0011   17.4   0.0   1   1   1.5e-05    0.0011   17.4   0.0    55   110    21    83     1    85 0.75 -
91571at50557_143948_0:002f00|STRG.10674.1:1088-1270|+  -             61 98332at50557         -            180    0.0012   17.2   0.0   1   1   1.7e-05    0.0013   17.2   0.0   131   169     7    48     2    59 0.72 -
78158at50557_456900_0:002177|STRG.13804.3:912-2729|+   -            606 98332at50557         -            180    0.0022   16.4   0.0   1   1   0.00061     0.045   12.1   0.0    39   128   456   562   432   569 0.75 -
91571at50557_1155016_0:0060c2|STRG.10619.2:575-838|+   -             88 98332at50557         -            180    0.0024   16.3   0.0   1   1     4e-05    0.0029   16.0   0.0   137   165    27    56    10    74 0.62 -
78158at50557_520822_0:0011dd|STRG.13804.2:0-1928|+     -            643 98332at50557         -            180    0.0026   16.2   0.0   1   1   0.00067     0.049   12.0   0.0    39   128   456   562   432   569 0.75 -
78158at50557_520822_0:0011dd|STRG.13804.1:0-2012|+     -            643 98332at50557         -            180    0.0026   16.2   0.0   1   1   0.00067     0.049   12.0   0.0    39   128   456   562   432   569 0.75 -
91571at50557_133901_0:002632|STRG.10619.1:347-829|+    -            161 98332at50557         -            180    0.0031   15.9   0.0   1   1   9.3e-05    0.0068   14.8   0.0   128   165    97   142    89   159 0.65 -
76830at50557_103372_0:000e32|STRG.2252.1:107-1606|+    -            500 98332at50557         -            180    0.0048   15.3   0.0   1   1   0.00011     0.008   14.6   0.0   131   177   289   339   268   342 0.82 -
76830at50557_103372_0:000e32|STRG.2252.2:107-1585|+    -            493 98332at50557         -            180    0.0048   15.3   0.0   1   1   0.00011    0.0079   14.6   0.0   131   177   282   332   261   335 0.82 -
76830at50557_103372_0:000e32|STRG.2252.3:107-1618|+    -            504 98332at50557         -            180    0.0049   15.3   0.0   1   1   0.00011    0.0081   14.5   0.0   131   177   293   343   272   346 0.82 -
91571at50557_516756_0:001c31|STRG.10619.4:1214-1696|+  -            161 98332at50557         -            180    0.0052   15.2   0.0   1   1   0.00013    0.0098   14.3   0.0   137   165    90   119    70   137 0.63 -
54067at50557_168631_0:001e78|STRG.1974.1:597-836|+     -             80 98332at50557         -            180      0.02   13.3   0.0   1   1    0.0035      0.25    9.7   0.0    44    81    32    79    22    80 0.65 -
54067at50557_168631_0:001e78|STRG.1974.2:1204-1443|+   -             80 98332at50557         -            180      0.02   13.3   0.0   1   1    0.0035      0.25    9.7   0.0    44    81    32    79    22    80 0.65 -
54067at50557_168631_0:001e78|STRG.1974.3:291-530|+     -             80 98332at50557         -            180      0.02   13.3   0.0   1   1    0.0035      0.25    9.7   0.0    44    81    32    79    22    80 0.65 -
96740at50557_110193_0:0006ca|STRG.13701.1:1182-1748|+  -            189 98332at50557         -            180      0.08   11.3   0.0   1   1    0.0016      0.12   10.7   0.0   130   175   137   185   118   188 0.75 -
96740at50557_110193_0:0006ca|STRG.13701.2:947-1513|+   -            189 98332at50557         -            180      0.08   11.3   0.0   1   1    0.0016      0.12   10.7   0.0   130   175   137   185   118   188 0.75 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/98332at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/98332at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/98332at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:37:12 2024
# [ok]
