#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
72085at50557_520822_0:002380|STRG.18971.1:93-1544|+   -            484 94143at50557         -            358   1.9e-35  121.5   0.2   1   1   5.5e-34   4.3e-32  110.5   0.2     2   340    47   481    46   484 0.73 -
138762at50557_13249_0:0030f7|STRG.22730.1:794-2260|+  -            489 94143at50557         -            358   1.1e-05   23.7   0.0   2   2   7.4e-07   5.7e-05   21.3   0.0   242   342   346   469   332   474 0.69 -
96248at50557_74873_0:000ac6|STRG.11583.1:214-1623|+   -            470 94143at50557         -            358   1.2e-05   23.5   0.0   1   1   2.8e-07   2.1e-05   22.7   0.0   244   341   326   438   319   442 0.74 -
96248at50557_74873_0:000ac6|STRG.11583.2:144-1619|+   -            492 94143at50557         -            358   1.3e-05   23.4   0.0   1   1     3e-07   2.3e-05   22.6   0.0   244   341   348   460   341   464 0.74 -
72085at50557_7213_0:002045|STRG.14737.2:1107-1886|+   -            260 94143at50557         -            358   2.8e-05   22.3   0.0   1   1   2.6e-06    0.0002   19.5   0.0   248   332   126   225    67   238 0.68 -
72085at50557_7213_0:002045|STRG.14737.3:548-1327|+    -            260 94143at50557         -            358   2.8e-05   22.3   0.0   1   1   2.6e-06    0.0002   19.5   0.0   248   332   126   225    67   238 0.68 -
138762at50557_13249_0:0030f7|STRG.22737.1:121-1494|+  -            458 94143at50557         -            358     3e-05   22.2   0.0   1   2       8.3   6.4e+02   -1.9   0.0    78   115   114   150   109   167 0.63 -
138762at50557_13249_0:0030f7|STRG.22737.1:121-1494|+  -            458 94143at50557         -            358     3e-05   22.2   0.0   2   2   5.8e-06   0.00044   18.4   0.0   240   328   334   443   275   458 0.79 -
138762at50557_13249_0:0030f7|STRG.6185.2:193-1152|+   -            320 94143at50557         -            358   3.4e-05   22.0   0.0   1   1   5.4e-06   0.00042   18.5   0.0    81   329     9   276     2   296 0.69 -
138762at50557_13249_0:0030f7|STRG.6185.3:1139-2248|+  -            370 94143at50557         -            358   3.7e-05   21.9   0.3   1   2   0.00067     0.051   11.6   0.1    81   175   114   218   102   268 0.77 -
138762at50557_13249_0:0030f7|STRG.6185.3:1139-2248|+  -            370 94143at50557         -            358   3.7e-05   21.9   0.3   2   2    0.0052       0.4    8.6   0.0   192   240   283   331   260   341 0.82 -
96248at50557_74873_0:000ac6|STRG.19505.2:0-1412|+     -            471 94143at50557         -            358   5.1e-05   21.5   0.1   1   1   2.6e-06    0.0002   19.5   0.0   270   347   348   439   315   443 0.73 -
96248at50557_74873_0:000ac6|STRG.19505.1:94-1527|+    -            478 94143at50557         -            358   5.3e-05   21.4   0.2   1   1   2.6e-06    0.0002   19.5   0.0   270   347   355   446   322   450 0.73 -
138762at50557_13249_0:0030f7|STRG.21681.1:137-1486|+  -            450 94143at50557         -            358   6.5e-05   21.1   0.0   1   2       2.4   1.8e+02   -0.1   0.0    81   118   103   139    94   165 0.78 -
138762at50557_13249_0:0030f7|STRG.21681.1:137-1486|+  -            450 94143at50557         -            358   6.5e-05   21.1   0.0   2   2   1.3e-05     0.001   17.2   0.0   242   340   331   446   267   450 0.75 -
138762at50557_13249_0:0030f7|STRG.21681.2:191-1540|+  -            450 94143at50557         -            358   6.5e-05   21.1   0.0   1   2       2.4   1.8e+02   -0.1   0.0    81   118   103   139    94   165 0.78 -
138762at50557_13249_0:0030f7|STRG.21681.2:191-1540|+  -            450 94143at50557         -            358   6.5e-05   21.1   0.0   2   2   1.3e-05     0.001   17.2   0.0   242   340   331   446   267   450 0.75 -
138762at50557_13249_0:0030f7|STRG.22733.1:223-1680|+  -            486 94143at50557         -            358     7e-05   21.0   0.0   1   1   4.2e-06   0.00032   18.8   0.0   239   328   320   431   294   449 0.67 -
138762at50557_13249_0:0030f7|STRG.19109.1:142-1602|+  -            487 94143at50557         -            358   0.00011   20.3   0.0   1   1   0.00022     0.017   13.1   0.0   164   347   237   456   230   464 0.68 -
138762at50557_13249_0:0030f7|STRG.19109.2:261-1721|+  -            487 94143at50557         -            358   0.00011   20.3   0.0   1   1   0.00022     0.017   13.1   0.0   164   347   237   456   230   464 0.68 -
96248at50557_74873_0:000ac6|STRG.14737.1:72-1529|+    -            486 94143at50557         -            358   0.00017   19.8   0.0   1   1     1e-05    0.0008   17.5   0.0   248   332   346   445   288   459 0.70 -
138762at50557_13249_0:0030f7|STRG.22729.1:9-1394|+    -            462 94143at50557         -            358   0.00028   19.0   0.0   1   1     9e-06   0.00069   17.7   0.0   221   326   326   450   285   459 0.72 -
138762at50557_13249_0:0030f7|STRG.7976.2:57-1427|+    -            457 94143at50557         -            358   0.00037   18.6   0.0   1   2       4.2   3.2e+02   -0.9   0.0    74   126   136   160   103   179 0.60 -
138762at50557_13249_0:0030f7|STRG.7976.2:57-1427|+    -            457 94143at50557         -            358   0.00037   18.6   0.0   2   2   2.7e-05    0.0021   16.2   0.0   239   342   335   455   286   457 0.73 -
72085at50557_64793_0:002c2e|STRG.19109.3:578-1138|+   -            187 94143at50557         -            358   0.00041   18.5   0.0   1   2     0.026         2    6.3   0.1   208   245     9    46     2    54 0.85 -
72085at50557_64793_0:002c2e|STRG.19109.3:578-1138|+   -            187 94143at50557         -            358   0.00041   18.5   0.0   2   2    0.0016      0.12   10.4   0.0   245   344    66   182    47   187 0.70 -
138762at50557_13249_0:0030f7|STRG.7976.1:293-1609|+   -            439 94143at50557         -            358     0.003   15.6   0.0   1   2         4   3.1e+02   -0.8   0.0    74   126   136   160   103   179 0.60 -
138762at50557_13249_0:0030f7|STRG.7976.1:293-1609|+   -            439 94143at50557         -            358     0.003   15.6   0.0   2   2   0.00024     0.018   13.0   0.0   239   324   335   436   286   438 0.72 -
138762at50557_13249_0:0030f7|STRG.13002.1:110-1585|+  -            492 94143at50557         -            358    0.0051   14.9   0.0   1   3       8.3   6.4e+02   -1.9   0.0    82   117   120   154   116   189 0.80 -
138762at50557_13249_0:0030f7|STRG.13002.1:110-1585|+  -            492 94143at50557         -            358    0.0051   14.9   0.0   2   3      0.82        64    1.4   0.0   213   246   292   326   245   371 0.83 -
138762at50557_13249_0:0030f7|STRG.13002.1:110-1585|+  -            492 94143at50557         -            358    0.0051   14.9   0.0   3   3    0.0018      0.14   10.2   0.0   304   344   419   460   404   473 0.84 -
138762at50557_13249_0:0030f7|STRG.13002.3:27-1502|+   -            492 94143at50557         -            358    0.0051   14.9   0.0   1   3       8.3   6.4e+02   -1.9   0.0    82   117   120   154   116   189 0.80 -
138762at50557_13249_0:0030f7|STRG.13002.3:27-1502|+   -            492 94143at50557         -            358    0.0051   14.9   0.0   2   3      0.82        64    1.4   0.0   213   246   292   326   245   371 0.83 -
138762at50557_13249_0:0030f7|STRG.13002.3:27-1502|+   -            492 94143at50557         -            358    0.0051   14.9   0.0   3   3    0.0018      0.14   10.2   0.0   304   344   419   460   404   473 0.84 -
72085at50557_456900_0:0000eb|STRG.2729.1:21-350|+     -            110 94143at50557         -            358     0.006   14.6   0.0   1   1   8.9e-05    0.0069   14.4   0.0   295   343    31    84     1    89 0.69 -
138762at50557_13249_0:0030f7|STRG.22725.1:164-1600|+  -            479 94143at50557         -            358    0.0063   14.6   0.5   1   1   0.00058     0.045   11.8   0.4   309   344   414   450   157   457 0.85 -
138762at50557_13249_0:0030f7|STRG.13604.1:18-1499|+   -            494 94143at50557         -            358     0.026   12.5   0.1   1   3       7.6   5.8e+02   -1.8   0.0    82   117   123   157   116   175 0.80 -
138762at50557_13249_0:0030f7|STRG.13604.1:18-1499|+   -            494 94143at50557         -            358     0.026   12.5   0.1   2   3       4.1   3.2e+02   -0.9   0.0   213   246   294   328   281   357 0.80 -
138762at50557_13249_0:0030f7|STRG.13604.1:18-1499|+   -            494 94143at50557         -            358     0.026   12.5   0.1   3   3    0.0034      0.26    9.2   0.0   308   344   425   462   343   478 0.85 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/94143at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/94143at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/94143at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:20:41 2024
# [ok]
