#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107216at50557_6973_0:00524c|STRG.20984.1:1-273|-       -             91 107216at50557        -            149   8.8e-51  170.4   0.2   1   1   1.6e-52   9.8e-51  170.3   0.2    55   138     1    91     1    91 0.96 -
140221at50557_568069_0:001a32|STRG.5112.3:235-699|+    -            155 107216at50557        -            149   5.7e-11   41.2   0.0   2   2   8.7e-12   5.4e-10   38.0   0.0    27   103    39   117    26   130 0.84 -
140221at50557_568069_0:001a32|STRG.5112.4:1787-2251|+  -            155 107216at50557        -            149   5.7e-11   41.2   0.0   1   2         2   1.3e+02    1.1   0.0     8    27     1    20     1    26 0.89 -
140221at50557_568069_0:001a32|STRG.5112.4:1787-2251|+  -            155 107216at50557        -            149   5.7e-11   41.2   0.0   2   2   8.7e-12   5.4e-10   38.0   0.0    27   103    39   117    26   130 0.84 -
140221at50557_568069_0:001a32|STRG.5112.5:18-482|+     -            155 107216at50557        -            149   5.7e-11   41.2   0.0   1   2         2   1.3e+02    1.1   0.0     8    27     1    20     1    26 0.89 -
140221at50557_568069_0:001a32|STRG.5112.5:18-482|+     -            155 107216at50557        -            149   5.7e-11   41.2   0.0   2   2   8.7e-12   5.4e-10   38.0   0.0    27   103    39   117    26   130 0.84 -
105221at50557_103372_0:000728|STRG.18561.1:0-587|+     -            196 107216at50557        -            149   7.1e-11   40.9   0.0   1   1   1.6e-10     1e-08   33.9   0.0    25   144    45   176     3   181 0.72 -
140221at50557_568069_0:001a32|STRG.13616.1:0-479|+     -            160 107216at50557        -            149   2.6e-10   39.1   0.0   1   1   5.5e-10   3.4e-08   32.2   0.0    27   105    43   123     2   139 0.76 -
140221at50557_568069_0:001a32|STRG.8133.2:0-488|+      -            163 107216at50557        -            149   5.3e-09   34.8   0.0   1   2      0.22        14    4.3   0.0     7    28     7    28     5    42 0.90 -
140221at50557_568069_0:001a32|STRG.8133.2:0-488|+      -            163 107216at50557        -            149   5.3e-09   34.8   0.0   2   2   7.7e-09   4.8e-07   28.5   0.0    29   120    48   141    42   150 0.82 -
104262at50557_13164_0:00360e|STRG.6952.3:3534-4046|+   -            171 107216at50557        -            149   5.3e-09   34.8   0.0   1   1   1.1e-10   6.7e-09   34.5   0.0    33   129    35   141    24   156 0.81 -
140221at50557_568069_0:001a32|STRG.8133.1:375-866|+    -            164 107216at50557        -            149   5.4e-09   34.8   0.0   1   2      0.22        14    4.3   0.0     7    28     8    29     6    43 0.90 -
140221at50557_568069_0:001a32|STRG.8133.1:375-866|+    -            164 107216at50557        -            149   5.4e-09   34.8   0.0   2   2   7.8e-09   4.9e-07   28.5   0.0    29   120    49   142    43   151 0.82 -
140221at50557_568069_0:001a32|STRG.6867.1:226-672|+    -            149 107216at50557        -            149   1.2e-08   33.6   0.0   1   2       2.2   1.4e+02    1.0   0.0     8    27     2    21     1    35 0.89 -
140221at50557_568069_0:001a32|STRG.6867.1:226-672|+    -            149 107216at50557        -            149   1.2e-08   33.6   0.0   2   2   1.4e-09   8.7e-08   30.9   0.0    28   104    41   119    29   148 0.85 -
140221at50557_568069_0:001a32|STRG.6867.2:27-473|+     -            149 107216at50557        -            149   1.2e-08   33.6   0.0   1   2       2.2   1.4e+02    1.0   0.0     8    27     2    21     1    35 0.89 -
140221at50557_568069_0:001a32|STRG.6867.2:27-473|+     -            149 107216at50557        -            149   1.2e-08   33.6   0.0   2   2   1.4e-09   8.7e-08   30.9   0.0    28   104    41   119    29   148 0.85 -
111939at50557_103372_0:001457|STRG.22061.1:0-557|+     -            186 107216at50557        -            149   2.8e-08   32.5   0.0   1   1   5.3e-10   3.3e-08   32.2   0.0    31   121    61   154    36   179 0.84 -
108271at50557_7536_0:004142|STRG.7757.1:678-1217|+     -            180 107216at50557        -            149   4.8e-07   28.5   0.0   1   2      0.11       6.9    5.3   0.0     8    27     1    20     1    31 0.91 -
108271at50557_7536_0:004142|STRG.7757.1:678-1217|+     -            180 107216at50557        -            149   4.8e-07   28.5   0.0   2   2     1e-06   6.4e-05   21.6   0.0    22   110    34   125    26   169 0.74 -
108271at50557_7536_0:004142|STRG.7757.2:57-596|+       -            180 107216at50557        -            149   4.8e-07   28.5   0.0   1   2      0.11       6.9    5.3   0.0     8    27     1    20     1    31 0.91 -
108271at50557_7536_0:004142|STRG.7757.2:57-596|+       -            180 107216at50557        -            149   4.8e-07   28.5   0.0   2   2     1e-06   6.4e-05   21.6   0.0    22   110    34   125    26   169 0.74 -
140221at50557_568069_0:001a32|STRG.5046.1:110-589|+    -            160 107216at50557        -            149   4.9e-06   25.2   0.0   1   2     0.085       5.3    5.6   0.0     7    28     4    25     2    39 0.90 -
140221at50557_568069_0:001a32|STRG.5046.1:110-589|+    -            160 107216at50557        -            149   4.9e-06   25.2   0.0   2   2   1.8e-05    0.0011   17.6   0.0    30   113    46   131    30   141 0.71 -
140221at50557_568069_0:001a32|STRG.5046.2:110-589|+    -            160 107216at50557        -            149   4.9e-06   25.2   0.0   1   2     0.085       5.3    5.6   0.0     7    28     4    25     2    39 0.90 -
140221at50557_568069_0:001a32|STRG.5046.2:110-589|+    -            160 107216at50557        -            149   4.9e-06   25.2   0.0   2   2   1.8e-05    0.0011   17.6   0.0    30   113    46   131    30   141 0.71 -
140221at50557_568069_0:001a32|STRG.5046.3:47-526|+     -            160 107216at50557        -            149   4.9e-06   25.2   0.0   1   2     0.085       5.3    5.6   0.0     7    28     4    25     2    39 0.90 -
140221at50557_568069_0:001a32|STRG.5046.3:47-526|+     -            160 107216at50557        -            149   4.9e-06   25.2   0.0   2   2   1.8e-05    0.0011   17.6   0.0    30   113    46   131    30   141 0.71 -
140221at50557_568069_0:001a32|STRG.5046.4:0-479|+      -            160 107216at50557        -            149   4.9e-06   25.2   0.0   1   2     0.085       5.3    5.6   0.0     7    28     4    25     2    39 0.90 -
140221at50557_568069_0:001a32|STRG.5046.4:0-479|+      -            160 107216at50557        -            149   4.9e-06   25.2   0.0   2   2   1.8e-05    0.0011   17.6   0.0    30   113    46   131    30   141 0.71 -
108271at50557_1049336_0:00042e|STRG.2933.1:429-665|+   -             79 107216at50557        -            149   8.5e-06   24.4   0.0   1   1   1.6e-07   9.8e-06   24.2   0.0    89   140    13    69     2    75 0.84 -
140221at50557_568069_0:001a32|STRG.4520.1:270-749|+    -            160 107216at50557        -            149   9.3e-06   24.3   0.0   1   1   1.9e-05    0.0012   17.5   0.0    30   111    46   129     2   139 0.70 -
107216at50557_7394_0:0010f2|STRG.5551.2:1164-1760|+    -            199 107216at50557        -            149   1.1e-05   24.1   0.0   1   3     0.085       5.3    5.6   0.0     4    25     5    26     2    62 0.81 -
107216at50557_7394_0:0010f2|STRG.5551.2:1164-1760|+    -            199 107216at50557        -            149   1.1e-05   24.1   0.0   2   3   0.00032      0.02   13.5   0.0    27   104    63   140    42   159 0.76 -
107216at50557_7394_0:0010f2|STRG.5551.2:1164-1760|+    -            199 107216at50557        -            149   1.1e-05   24.1   0.0   3   3       1.1        66    2.1   0.0    97   135   161   199   156   199 0.91 -
107216at50557_7394_0:0010f2|STRG.5551.4:1164-1760|+    -            199 107216at50557        -            149   1.1e-05   24.1   0.0   1   3     0.085       5.3    5.6   0.0     4    25     5    26     2    62 0.81 -
107216at50557_7394_0:0010f2|STRG.5551.4:1164-1760|+    -            199 107216at50557        -            149   1.1e-05   24.1   0.0   2   3   0.00032      0.02   13.5   0.0    27   104    63   140    42   159 0.76 -
107216at50557_7394_0:0010f2|STRG.5551.4:1164-1760|+    -            199 107216at50557        -            149   1.1e-05   24.1   0.0   3   3       1.1        66    2.1   0.0    97   135   161   199   156   199 0.91 -
109573at50557_1507135_0:000e82|STRG.8716.1:134-727|+   -            198 107216at50557        -            149   1.2e-05   24.0   0.0   1   3     0.083       5.1    5.7   0.0     8    24     1    17     1    29 0.87 -
109573at50557_1507135_0:000e82|STRG.8716.1:134-727|+   -            198 107216at50557        -            149   1.2e-05   24.0   0.0   2   3   0.00019     0.012   14.2   0.0    37    82    55   102    43   108 0.88 -
109573at50557_1507135_0:000e82|STRG.8716.1:134-727|+   -            198 107216at50557        -            149   1.2e-05   24.0   0.0   3   3       3.7   2.3e+02    0.3   0.0     8    26   136   154   127   180 0.77 -
108271at50557_13249_0:001644|STRG.12838.1:507-992|+    -            162 107216at50557        -            149   1.2e-05   24.0   0.0   1   2       2.5   1.5e+02    0.9   0.0     8    27     1    20     1    26 0.90 -
108271at50557_13249_0:001644|STRG.12838.1:507-992|+    -            162 107216at50557        -            149   1.2e-05   24.0   0.0   2   2   1.4e-06   8.5e-05   21.2   0.0    19   139    31   159    22   162 0.76 -
129498at50557_1629725_0:0008c6|STRG.22670.1:855-1181|+ -            109 107216at50557        -            149   1.3e-05   23.9   0.0   1   2     0.037       2.3    6.8   0.1     8    27     1    20     1    24 0.91 -
129498at50557_1629725_0:0008c6|STRG.22670.1:855-1181|+ -            109 107216at50557        -            149   1.3e-05   23.9   0.0   2   2   8.6e-05    0.0054   15.3   0.0    27    91    39   106    26   109 0.81 -
108271at50557_166361_0:003235|STRG.12295.1:324-815|+   -            164 107216at50557        -            149   5.1e-05   21.9   0.0   1   3     0.062       3.9    6.1   0.0     7    46     1    40     1    48 0.81 -
108271at50557_166361_0:003235|STRG.12295.1:324-815|+   -            164 107216at50557        -            149   5.1e-05   21.9   0.0   2   3       8.7   5.4e+02   -0.9   0.0    85   102    37    54    21    62 0.77 -
108271at50557_166361_0:003235|STRG.12295.1:324-815|+   -            164 107216at50557        -            149   5.1e-05   21.9   0.0   3   3   0.00033     0.021   13.4   0.0    92   140   110   163    99   164 0.83 -
105221at50557_29053_0:00200e|STRG.10226.1:21-521|+     -            167 107216at50557        -            149     7e-05   21.5   0.0   1   1   1.2e-05   0.00077   18.1   0.0    32   106    44   122     1   165 0.79 -
118237at50557_411798_0:000ee6|STRG.20502.1:0-620|+     -            207 107216at50557        -            149   9.1e-05   21.1   0.0   1   1   2.2e-06   0.00014   20.5   0.0    33   111    70   151    64   164 0.80 -
118237at50557_411798_0:000ee6|STRG.20502.3:317-1010|+  -            207 107216at50557        -            149   9.1e-05   21.1   0.0   1   1   2.2e-06   0.00014   20.5   0.0    33   111    70   151    64   164 0.80 -
104262at50557_88501_0:0010fe|STRG.12065.1:273-890|+    -            206 107216at50557        -            149   9.6e-05   21.0   0.6   1   3      0.26        16    4.1   0.0     4    27    25    48    22    73 0.86 -
104262at50557_88501_0:0010fe|STRG.12065.1:273-890|+    -            206 107216at50557        -            149   9.6e-05   21.0   0.6   2   3       3.3   2.1e+02    0.4   0.1    26    49    69    92    57    98 0.79 -
104262at50557_88501_0:0010fe|STRG.12065.1:273-890|+    -            206 107216at50557        -            149   9.6e-05   21.0   0.6   3   3   0.00033     0.021   13.4   0.0    55   109   123   175   115   190 0.85 -
104262at50557_88501_0:0010fe|STRG.12065.2:45-662|+     -            206 107216at50557        -            149   9.6e-05   21.0   0.6   1   3      0.26        16    4.1   0.0     4    27    25    48    22    73 0.86 -
104262at50557_88501_0:0010fe|STRG.12065.2:45-662|+     -            206 107216at50557        -            149   9.6e-05   21.0   0.6   2   3       3.3   2.1e+02    0.4   0.1    26    49    69    92    57    98 0.79 -
104262at50557_88501_0:0010fe|STRG.12065.2:45-662|+     -            206 107216at50557        -            149   9.6e-05   21.0   0.6   3   3   0.00033     0.021   13.4   0.0    55   109   123   175   115   190 0.85 -
115559at50557_42026_0:0013f7|STRG.18675.1:1121-1612|+  -            164 107216at50557        -            149   0.00012   20.7   0.2   1   3      0.27        17    4.0   0.0     8    27    10    29     6    36 0.87 -
115559at50557_42026_0:0013f7|STRG.18675.1:1121-1612|+  -            164 107216at50557        -            149   0.00012   20.7   0.2   2   3     0.025       1.6    7.4   0.0    80   115    39    74    29   100 0.76 -
115559at50557_42026_0:0013f7|STRG.18675.1:1121-1612|+  -            164 107216at50557        -            149   0.00012   20.7   0.2   3   3     0.027       1.7    7.2   0.0    72   131    93   158    79   164 0.64 -
118237at50557_28612_0:004a80|STRG.7051.1:51-539|+      -            163 107216at50557        -            149   0.00012   20.7   0.0   1   1   2.3e-06   0.00014   20.4   0.0    29   118    38   130    15   142 0.80 -
118237at50557_144034_0:0012bb|STRG.20502.2:149-559|+   -            137 107216at50557        -            149   0.00012   20.7   0.0   1   1   2.6e-06   0.00016   20.3   0.0    39   111     6    81     2    96 0.80 -
118237at50557_121845_0:0047c3|STRG.8947.2:151-672|+    -            174 107216at50557        -            149   0.00025   19.7   0.2   1   1   8.9e-06   0.00056   18.5   0.2    29   118    49   141    11   172 0.80 -
108271at50557_13249_0:001644|STRG.16182.1:102-581|+    -            160 107216at50557        -            149   0.00026   19.6   0.0   1   2      0.03       1.8    7.1   0.0     8    28     1    21     1    34 0.92 -
108271at50557_13249_0:001644|STRG.16182.1:102-581|+    -            160 107216at50557        -            149   0.00026   19.6   0.0   2   2    0.0023      0.14   10.7   0.0    79   136    87   151    61   160 0.58 -
118237at50557_121845_0:0047c3|STRG.8947.1:151-651|+    -            167 107216at50557        -            149   0.00026   19.6   0.2   1   1     1e-05   0.00063   18.4   0.2    29   118    49   141    11   157 0.80 -
118237at50557_121845_0:0047c3|STRG.8947.3:21-545|+     -            175 107216at50557        -            149   0.00029   19.5   0.2   1   1   1.1e-05   0.00067   18.3   0.2    29   118    49   141    11   163 0.81 -
108271at50557_13249_0:001644|STRG.12838.2:30-410|+     -            127 107216at50557        -            149   0.00061   18.4   0.0   1   1   1.1e-05   0.00069   18.2   0.0    25   139     2   124     1   127 0.73 -
28600at50557_520822_0:000c07|STRG.19050.2:641-2422|+   -            594 107216at50557        -            149   0.00062   18.4   0.0   1   3         2   1.2e+02    1.2   0.0     8    24    13    29     9    45 0.83 -
28600at50557_520822_0:000c07|STRG.19050.2:641-2422|+   -            594 107216at50557        -            149   0.00062   18.4   0.0   2   3     0.091       5.7    5.5   0.0    86   133   113   165    80   174 0.70 -
28600at50557_520822_0:000c07|STRG.19050.2:641-2422|+   -            594 107216at50557        -            149   0.00062   18.4   0.0   3   3     0.024       1.5    7.4   0.0    62   105   500   543   453   551 0.78 -
28600at50557_13686_0:0008a3|STRG.19050.1:837-2657|+    -            607 107216at50557        -            149   0.00068   18.3   0.0   1   3         2   1.3e+02    1.2   0.0     8    24    13    29     9    45 0.83 -
28600at50557_13686_0:0008a3|STRG.19050.1:837-2657|+    -            607 107216at50557        -            149   0.00068   18.3   0.0   2   3     0.094       5.9    5.5   0.0    86   133   113   165    80   174 0.70 -
28600at50557_13686_0:0008a3|STRG.19050.1:837-2657|+    -            607 107216at50557        -            149   0.00068   18.3   0.0   3   3     0.025       1.5    7.4   0.0    62   105   500   543   453   550 0.78 -
28600at50557_13686_0:0008a3|STRG.19050.3:0-1919|+      -            640 107216at50557        -            149   0.00082   18.0   0.0   1   3       2.1   1.3e+02    1.1   0.0     8    24    13    29     9    45 0.83 -
28600at50557_13686_0:0008a3|STRG.19050.3:0-1919|+      -            640 107216at50557        -            149   0.00082   18.0   0.0   2   3       0.1       6.3    5.4   0.0    86   133   113   165    81   174 0.70 -
28600at50557_13686_0:0008a3|STRG.19050.3:0-1919|+      -            640 107216at50557        -            149   0.00082   18.0   0.0   3   3     0.027       1.7    7.3   0.0    62   105   500   543   453   550 0.78 -
118237at50557_113334_0:00122f|STRG.13651.1:108-650|+   -            181 107216at50557        -            149    0.0015   17.1   0.0   1   1   4.1e-05    0.0025   16.4   0.0    33   111    61   145    17   155 0.83 -
107216at50557_197043_0:004b88|STRG.6952.1:3516-3896|+  -            127 107216at50557        -            149    0.0044   15.6   0.2   1   1   0.00073     0.046   12.3   0.2     7    27     8    28     2   127 0.88 -
118237at50557_7070_0:00080a|STRG.3845.2:3-458|+        -            152 107216at50557        -            149    0.0063   15.1   0.1   1   1   0.00013    0.0079   14.8   0.1    29   109    36   119     8   136 0.69 -
118237at50557_7539_0:0029ad|STRG.3845.1:250-705|+      -            152 107216at50557        -            149    0.0063   15.1   0.1   1   1   0.00013    0.0079   14.8   0.1    29   109    36   119     8   136 0.69 -
118237at50557_7070_0:00080a|STRG.20631.1:1146-1622|+   -            159 107216at50557        -            149     0.011   14.3   0.2   1   2       3.4   2.1e+02    0.4   0.0     8    26     2    20     1    25 0.87 -
118237at50557_7070_0:00080a|STRG.20631.1:1146-1622|+   -            159 107216at50557        -            149     0.011   14.3   0.2   2   2     0.001     0.062   11.9   0.0    38   109    48   122    34   142 0.76 -
129498at50557_7004_0:000522|STRG.13052.1:205-561|+     -            119 107216at50557        -            149     0.018   13.6   0.0   1   1   0.00067     0.042   12.4   0.0    28    84    48   104    38   108 0.79 -
117348at50557_29031_0:00277d|STRG.13021.5:69-605|+     -            179 107216at50557        -            149     0.023   13.3   0.0   1   1   0.00048      0.03   12.9   0.0    27   102    34   112    11   133 0.74 -
118237at50557_13164_0:001264|STRG.9953.1:39-512|+      -            158 107216at50557        -            149     0.037   12.6   0.0   1   1   0.00078     0.048   12.2   0.0    26   119    38   135    20   143 0.78 -
41766at50557_286306_0:004435|STRG.6952.1:59-3983|+     -            671 107216at50557        -            149     0.042   12.4   0.1   1   1     0.013      0.79    8.3   0.1     7    27   523   543   517   656 0.89 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/107216at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/107216at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/107216at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:14:13 2024
# [ok]
