#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
98332at50557_132113_0:00196c|STRG.1391.1:0-803|+       -            257 98332at50557         -            180   2.4e-98  325.9   0.6   1   1   1.5e-99   1.1e-97  323.7   0.6     1   179     1   208     1   209 0.94 -
98332at50557_1218281_0:000683|STRG.12225.3:1461-1610|+ -             50 98332at50557         -            180   0.00021   19.8   0.0   1   1   3.1e-06   0.00023   19.7   0.0   130   164     3    43     1    49 0.77 -
98332at50557_1218281_0:000683|STRG.12225.4:1461-1610|+ -             50 98332at50557         -            180   0.00021   19.8   0.0   1   1   3.1e-06   0.00023   19.7   0.0   130   164     3    43     1    49 0.77 -
98332at50557_1218281_0:000683|STRG.12225.5:1461-1610|+ -             50 98332at50557         -            180   0.00021   19.8   0.0   1   1   3.1e-06   0.00023   19.7   0.0   130   164     3    43     1    49 0.77 -
98332at50557_1218281_0:000683|STRG.12225.6:1789-1938|+ -             50 98332at50557         -            180   0.00021   19.8   0.0   1   1   3.1e-06   0.00023   19.7   0.0   130   164     3    43     1    49 0.77 -
98332at50557_1218281_0:000683|STRG.12225.7:1152-1301|+ -             50 98332at50557         -            180   0.00021   19.8   0.0   1   1   3.1e-06   0.00023   19.7   0.0   130   164     3    43     1    49 0.77 -
35377at50557_103372_0:001618|STRG.9369.1:412-2016|+    -            535 98332at50557         -            180   0.00022   19.7   0.0   1   1   9.3e-06   0.00069   18.1   0.0   129   178     5    59     1    61 0.81 -
68581at50557_29031_0:00220d|STRG.10707.1:631-885|+     -             85 98332at50557         -            180   0.00049   18.6   0.0   1   1   6.8e-06   0.00051   18.6   0.0   129   174    35    85    15    85 0.79 -
35377at50557_103372_0:001618|STRG.9369.2:0-1671|+      -            530 98332at50557         -            180   0.00056   18.4   0.0   1   1   2.4e-05    0.0018   16.8   0.0   130   178     1    54     1    56 0.82 -
35377at50557_103372_0:001618|STRG.9369.3:0-1589|+      -            530 98332at50557         -            180   0.00056   18.4   0.0   1   1   2.4e-05    0.0018   16.8   0.0   130   178     1    54     1    56 0.82 -
98332at50557_7004_0:00518d|STRG.22273.1:1920-2174|+    -             85 98332at50557         -            180    0.0011   17.4   0.0   1   1   1.5e-05    0.0011   17.4   0.0    55   110    21    83     1    85 0.75 -
98332at50557_7004_0:00518d|STRG.22273.2:1707-1961|+    -             85 98332at50557         -            180    0.0011   17.4   0.0   1   1   1.5e-05    0.0011   17.4   0.0    55   110    21    83     1    85 0.75 -
98332at50557_7004_0:00518d|STRG.22273.3:1718-1972|+    -             85 98332at50557         -            180    0.0011   17.4   0.0   1   1   1.5e-05    0.0011   17.4   0.0    55   110    21    83     1    85 0.75 -
98332at50557_7004_0:00518d|STRG.22273.4:2120-2374|+    -             85 98332at50557         -            180    0.0011   17.4   0.0   1   1   1.5e-05    0.0011   17.4   0.0    55   110    21    83     1    85 0.75 -
98332at50557_7004_0:00518d|STRG.22273.5:1169-1423|+    -             85 98332at50557         -            180    0.0011   17.4   0.0   1   1   1.5e-05    0.0011   17.4   0.0    55   110    21    83     1    85 0.75 -
91571at50557_143948_0:002f00|STRG.3123.1:4651-4833|+   -             61 98332at50557         -            180    0.0013   17.2   0.0   1   1   1.8e-05    0.0013   17.2   0.0   131   169     7    48     2    59 0.72 -
91571at50557_1155016_0:0060c2|STRG.10902.1:575-838|+   -             88 98332at50557         -            180    0.0026   16.3   0.0   1   1   4.2e-05    0.0031   16.0   0.0   137   165    27    56    10    74 0.62 -
91571at50557_133901_0:002632|STRG.10902.2:347-805|+    -            153 98332at50557         -            180    0.0045   15.5   0.0   1   1   0.00013    0.0098   14.4   0.0   137   165   105   134    85   151 0.63 -
76830at50557_103372_0:000e32|STRG.22932.1:51-1466|+    -            472 98332at50557         -            180     0.005   15.3   0.0   1   1   0.00011    0.0081   14.6   0.0   131   177   261   311   241   314 0.83 -
76830at50557_103372_0:000e32|STRG.22932.2:152-1630|+   -            493 98332at50557         -            180    0.0051   15.3   0.0   1   1   0.00012    0.0086   14.5   0.0   131   177   282   332   262   335 0.83 -
78158at50557_520822_0:0011dd|STRG.21448.2:0-1640|+     -            547 98332at50557         -            180    0.0053   15.2   0.0   1   1    0.0015      0.11   10.9   0.0    39   116   360   450   336   473 0.75 -
78158at50557_520822_0:0011dd|STRG.21448.1:0-1724|+     -            547 98332at50557         -            180    0.0053   15.2   0.0   1   1    0.0015      0.11   10.9   0.0    39   116   360   450   336   473 0.75 -
54067at50557_168631_0:001e78|STRG.23022.1:363-602|+    -             80 98332at50557         -            180     0.021   13.3   0.0   1   1    0.0036      0.27    9.7   0.0    44    81    32    79    22    80 0.65 -
54067at50557_168631_0:001e78|STRG.23022.2:691-930|+    -             80 98332at50557         -            180     0.021   13.3   0.0   1   1    0.0036      0.27    9.7   0.0    44    81    32    79    22    80 0.65 -
54067at50557_168631_0:001e78|STRG.23022.3:363-602|+    -             80 98332at50557         -            180     0.021   13.3   0.0   1   1    0.0036      0.27    9.7   0.0    44    81    32    79    22    80 0.65 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/98332at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/98332at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/98332at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:21:03 2024
# [ok]
