#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107413at50557_103372_0:00285a|STRG.9016.1:151-1075|+   -            297 107413at50557        -             88   2.4e-35  119.6   2.4   1   1   2.4e-36   1.5e-34  117.1   2.4     1    88   179   285   179   285 0.85 -
98621at50557_121845_0:003451|STRG.11365.3:3520-3987|+  -            156 107413at50557        -             88   2.6e-07   29.8   3.3   2   2   3.6e-08   2.3e-06   26.8   3.2    27    88    82   152    38   152 0.81 -
107413at50557_211228_0:00176b|STRG.19751.1:73-765|+    -            231 107413at50557        -             88   2.8e-07   29.7   3.5   1   1   2.3e-08   1.4e-06   27.4   2.8    26    88   171   230   134   230 0.81 -
98621at50557_199890_0:001c5b|STRG.3359.5:230-1562|+    -            209 107413at50557        -             88   3.8e-07   29.3   0.4   1   1   1.6e-08   9.8e-07   27.9   0.4    31    88   155   209   137   209 0.79 -
93746at50557_568069_0:0045cd|STRG.4687.4:36-1130|+     -            365 107413at50557        -             88   9.6e-07   28.0   0.3   1   1   4.4e-08   2.7e-06   26.5   0.3    29    88   299   365   283   365 0.73 -
98621at50557_30019_0:0019d5|STRG.11365.2:3215-4003|+   -            263 107413at50557        -             88   1.2e-06   27.7   3.1   1   1   9.8e-08   6.1e-06   25.4   2.9    27    88   189   259   146   259 0.81 -
98621at50557_139723_0:00116f|STRG.9296.2:362-1078|+    -            239 107413at50557        -             88   3.1e-06   26.3   0.6   1   1   1.7e-07   1.1e-05   24.6   0.6    30    81   186   238   145   239 0.62 -
98621at50557_28612_0:00515f|STRG.9296.1:162-833|+      -            224 107413at50557        -             88   5.5e-06   25.5   0.8   1   1   3.2e-07     2e-05   23.7   0.8    30    81   172   224   131   224 0.61 -
98621at50557_166361_0:000283|STRG.3559.1:369-1127|+    -            253 107413at50557        -             88     1e-05   24.7   1.8   1   1     5e-07   3.1e-05   23.1   0.7    28    88   192   253   155   253 0.77 -
107413at50557_166361_0:000318|STRG.19862.3:376-959|+   -            161 107413at50557        -             88   1.3e-05   24.3   1.7   1   1   4.2e-07   2.6e-05   23.4   1.7     1    53   102   161   102   161 0.71 -
98621at50557_7168_0:001486|STRG.6181.1:249-863|+       -            205 107413at50557        -             88   9.1e-05   21.6   0.4   1   1   4.2e-06   0.00026   20.2   0.1    26    88   136   205   120   205 0.74 -
107413at50557_108931_0:000e8f|STRG.19862.2:245-912|+   -            196 107413at50557        -             88    0.0001   21.4   2.7   1   1   3.7e-06   0.00023   20.3   2.7    26    53   169   196   130   196 0.90 -
98621at50557_454923_0:00128e|STRG.6181.2:1292-2086|+   -            265 107413at50557        -             88   0.00014   21.0   0.3   1   1   7.6e-06   0.00047   19.3   0.1    27    88   193   261   183   261 0.73 -
98621at50557_454923_0:00128e|STRG.6181.3:1232-2026|+   -            265 107413at50557        -             88   0.00014   21.0   0.3   1   1   7.6e-06   0.00047   19.3   0.1    27    88   193   261   183   261 0.73 -
98621at50557_454923_0:00128e|STRG.6181.4:1226-2020|+   -            265 107413at50557        -             88   0.00014   21.0   0.3   1   1   7.6e-06   0.00047   19.3   0.1    27    88   193   261   183   261 0.73 -
17536at50557_103372_0:00299d|STRG.11447.1:2-2278|+     -            759 107413at50557        -             88   0.00037   19.7   0.2   1   1     2e-05    0.0012   18.0   0.2    27    88   686   754   654   754 0.62 -
98621at50557_28612_0:00515f|STRG.3101.1:176-751|+      -            192 107413at50557        -             88   0.00053   19.2   0.7   1   1   0.00012    0.0075   15.5   0.7     4    53   127   190   124   192 0.57 -
107413at50557_77166_0:001c77|STRG.12492.1:1774-2466|+  -            231 107413at50557        -             88   0.00074   18.7   3.0   1   1   0.00063     0.039   13.2   3.0    28    71   167   211   120   227 0.74 -
107413at50557_77166_0:001c77|STRG.12492.2:1608-2300|+  -            231 107413at50557        -             88   0.00074   18.7   3.0   1   1   0.00063     0.039   13.2   3.0    28    71   167   211   120   227 0.74 -
107413at50557_1629725_0:00129d|STRG.6264.6:79-429|+    -            117 107413at50557        -             88    0.0051   16.0   0.0   1   1   0.00015    0.0093   15.2   0.0    26    51    92   117    74   117 0.82 -
17536at50557_326594_0:00071c|STRG.12277.2:6101-7309|+  -            403 107413at50557        -             88     0.017   14.4   0.0   1   1    0.0009     0.056   12.7   0.0    40    87   345   398   294   399 0.76 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/107413at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/107413at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/107413at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:14:13 2024
# [ok]
