#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
94143at50557_35570_0:003387|STRG.18971.1:39-1523|+    -            495 94143at50557         -            358     5e-35  117.9   0.1   1   1     7e-33   1.1e-31  107.0   0.1     2   334    65   493    64   495 0.72 -
94143at50557_79782_0:001eeb|STRG.3794.1:627-1466|+    -            280 94143at50557         -            358   8.5e-07   25.1   0.0   1   1   1.2e-07   1.8e-06   24.0   0.0   237   344   137   263    81   269 0.70 -
94143at50557_54969_0:002985|STRG.3789.1:676-1491|+    -            272 94143at50557         -            358   9.7e-07   24.9   0.0   1   1   1.4e-07   2.1e-06   23.8   0.0   229   343   139   272    90   272 0.68 -
94143at50557_1218281_0:001751|STRG.11406.1:60-422|+   -            121 94143at50557         -            358   1.1e-06   24.7   0.0   1   1   8.3e-08   1.3e-06   24.5   0.0   242   321    29   120    14   121 0.74 -
94143at50557_93721_0:004549|STRG.6013.2:456-881|+     -            142 94143at50557         -            358   1.2e-06   24.6   0.0   1   1   8.3e-08   1.3e-06   24.5   0.0    11   113    24   142     8   142 0.70 -
94143at50557_54969_0:002985|STRG.3791.1:352-1386|+    -            345 94143at50557         -            358   1.3e-06   24.5   0.1   1   1   1.9e-07   2.9e-06   23.3   0.0   221   343   204   345   181   345 0.76 -
94143at50557_79782_0:001eeb|STRG.22730.1:1022-2203|+  -            394 94143at50557         -            358   2.3e-06   23.7   0.0   1   2       7.7   1.2e+02   -1.7   0.0    92   124   227   259   223   270 0.86 -
94143at50557_79782_0:001eeb|STRG.22730.1:1022-2203|+  -            394 94143at50557         -            358   2.3e-06   23.7   0.0   2   2   7.9e-07   1.2e-05   21.3   0.0   242   336   270   387   254   394 0.68 -
94143at50557_39758_0:00342b|STRG.11583.1:205-1542|+   -            446 94143at50557         -            358   2.5e-06   23.5   0.0   1   1   2.8e-07   4.3e-06   22.8   0.0   244   340   329   440   322   444 0.74 -
94143at50557_39758_0:00342b|STRG.11583.2:198-1538|+   -            447 94143at50557         -            358   2.5e-06   23.5   0.0   1   1   2.8e-07   4.3e-06   22.7   0.0   244   340   330   441   323   445 0.74 -
94143at50557_93721_0:002ec0|STRG.14737.2:1314-1904|+  -            197 94143at50557         -            358   2.9e-06   23.3   0.0   1   1   1.3e-06     2e-05   20.6   0.0   248   332    57   156     1   170 0.68 -
94143at50557_93721_0:002ec0|STRG.14737.3:755-1345|+   -            197 94143at50557         -            358   2.9e-06   23.3   0.0   1   1   1.3e-06     2e-05   20.6   0.0   248   332    57   156     1   170 0.68 -
94143at50557_93721_0:002ec0|STRG.14737.4:292-882|+    -            197 94143at50557         -            358   2.9e-06   23.3   0.0   1   1   1.3e-06     2e-05   20.6   0.0   248   332    57   156     1   170 0.68 -
94143at50557_93721_0:002ec0|STRG.14737.5:721-1311|+   -            197 94143at50557         -            358   2.9e-06   23.3   0.0   1   1   1.3e-06     2e-05   20.6   0.0   248   332    57   156     1   170 0.68 -
94143at50557_93721_0:002ec0|STRG.14737.6:525-1115|+   -            197 94143at50557         -            358   2.9e-06   23.3   0.0   1   1   1.3e-06     2e-05   20.6   0.0   248   332    57   156     1   170 0.68 -
94143at50557_93721_0:002ec0|STRG.14737.7:213-803|+    -            197 94143at50557         -            358   2.9e-06   23.3   0.0   1   1   1.3e-06     2e-05   20.6   0.0   248   332    57   156     1   170 0.68 -
94143at50557_7176_0:001673|STRG.1494.1:301-1227|+     -            309 94143at50557         -            358     4e-06   22.9   0.0   1   1   2.8e-06   4.3e-05   19.5   0.0   238   327   194   302   136   309 0.78 -
94143at50557_319348_0:0009e2|STRG.17167.1:9-422|+     -            138 94143at50557         -            358   4.4e-06   22.7   0.0   1   1   3.2e-07   4.8e-06   22.6   0.0   242   320    46   136    14   138 0.76 -
94143at50557_224129_0:002582|STRG.6185.2:190-1101|+   -            304 94143at50557         -            358   5.2e-06   22.5   0.0   1   1   4.1e-06   6.2e-05   19.0   0.0    81   329    10   277     1   295 0.69 -
94143at50557_7038_0:001312|STRG.22737.1:322-1467|+    -            382 94143at50557         -            358   6.4e-06   22.2   0.0   1   2       6.6     1e+02   -1.5   0.0    78   115    47    83    41   100 0.63 -
94143at50557_7038_0:001312|STRG.22737.1:322-1467|+    -            382 94143at50557         -            358   6.4e-06   22.2   0.0   2   2   9.3e-06   0.00014   17.8   0.0   240   326   267   374   208   381 0.82 -
94143at50557_54969_0:002985|STRG.21681.1:290-1489|+   -            400 94143at50557         -            358   7.2e-06   22.0   0.0   1   2       2.2        33    0.1   0.0    81   118    52    88    43   114 0.78 -
94143at50557_54969_0:002985|STRG.21681.1:290-1489|+   -            400 94143at50557         -            358   7.2e-06   22.0   0.0   2   2   8.9e-06   0.00014   17.8   0.0   242   342   280   397   216   400 0.75 -
94143at50557_54969_0:002985|STRG.21681.2:344-1543|+   -            400 94143at50557         -            358   7.2e-06   22.0   0.0   1   2       2.2        33    0.1   0.0    81   118    52    88    43   114 0.78 -
94143at50557_54969_0:002985|STRG.21681.2:344-1543|+   -            400 94143at50557         -            358   7.2e-06   22.0   0.0   2   2   8.9e-06   0.00014   17.8   0.0   242   342   280   397   216   400 0.75 -
94143at50557_7038_0:001312|STRG.19505.2:0-1316|+      -            439 94143at50557         -            358   1.6e-05   20.9   0.1   1   1   4.4e-06   6.7e-05   18.8   0.0   270   346   348   438   315   439 0.72 -
94143at50557_7038_0:001312|STRG.19505.1:112-1431|+    -            440 94143at50557         -            358   1.6e-05   20.9   0.1   1   1   4.4e-06   6.7e-05   18.8   0.0   270   346   349   439   316   440 0.72 -
94143at50557_13164_0:00252e|STRG.14737.1:129-1478|+   -            450 94143at50557         -            358   2.9e-05   20.0   0.0   1   1   9.8e-06   0.00015   17.7   0.0   248   332   327   426   269   439 0.70 -
94143at50557_7038_0:001312|STRG.22729.1:243-1445|+    -            401 94143at50557         -            358   3.1e-05   20.0   0.0   1   1   4.8e-06   7.2e-05   18.7   0.0   221   326   248   372   207   390 0.71 -
94143at50557_6973_0:004c45|STRG.22733.1:517-1509|+    -            331 94143at50557         -            358   3.2e-05   19.9   0.1   1   1   8.4e-06   0.00013   17.9   0.1   235   325   219   330   166   331 0.72 -
94143at50557_54969_0:002985|STRG.7976.2:186-1484|+    -            433 94143at50557         -            358   3.6e-05   19.7   0.0   1   2       4.2        63   -0.8   0.0    74   126    93   117    60   136 0.60 -
94143at50557_54969_0:002985|STRG.7976.2:186-1484|+    -            433 94143at50557         -            358   3.6e-05   19.7   0.0   2   2   1.5e-05   0.00023   17.1   0.0   239   344   292   414   244   418 0.73 -
94143at50557_319348_0:0040ff|STRG.19109.1:514-1494|+  -            327 94143at50557         -            358   4.8e-05   19.3   0.0   1   1    0.0003    0.0045   12.8   0.0   164   325   113   309   106   327 0.62 -
94143at50557_319348_0:0040ff|STRG.19109.2:633-1613|+  -            327 94143at50557         -            358   4.8e-05   19.3   0.0   1   1    0.0003    0.0045   12.8   0.0   164   325   113   309   106   327 0.62 -
94143at50557_246812_0:0036b8|STRG.20111.4:588-824|+   -             79 94143at50557         -            358   0.00015   17.7   0.1   1   1   9.7e-06   0.00015   17.7   0.1   296   342    20    72     2    77 0.75 -
94143at50557_246812_0:0036b8|STRG.20111.5:540-776|+   -             79 94143at50557         -            358   0.00015   17.7   0.1   1   1   9.7e-06   0.00015   17.7   0.1   296   342    20    72     2    77 0.75 -
94143at50557_54969_0:002985|STRG.7976.1:422-1624|+    -            401 94143at50557         -            358   0.00036   16.4   0.0   1   2       3.6        55   -0.6   0.0    74   126    93   117    59   137 0.60 -
94143at50557_54969_0:002985|STRG.7976.1:422-1624|+    -            401 94143at50557         -            358   0.00036   16.4   0.0   2   2   0.00017    0.0025   13.7   0.0   239   325   292   394   243   400 0.73 -
94143at50557_319348_0:0040ff|STRG.13002.1:455-1579|+  -            375 94143at50557         -            358   0.00048   16.0   0.0   1   3         7   1.1e+02   -1.6   0.0    83   117     6    39     3    75 0.78 -
94143at50557_319348_0:0040ff|STRG.13002.1:455-1579|+  -            375 94143at50557         -            358   0.00048   16.0   0.0   2   3      0.56       8.5    2.1   0.0   213   245   177   210   124   258 0.83 -
94143at50557_319348_0:0040ff|STRG.13002.1:455-1579|+  -            375 94143at50557         -            358   0.00048   16.0   0.0   3   3    0.0013      0.02   10.7   0.0   304   344   304   345   289   358 0.84 -
94143at50557_319348_0:0040ff|STRG.13002.3:372-1496|+  -            375 94143at50557         -            358   0.00048   16.0   0.0   1   3         7   1.1e+02   -1.6   0.0    83   117     6    39     3    75 0.78 -
94143at50557_319348_0:0040ff|STRG.13002.3:372-1496|+  -            375 94143at50557         -            358   0.00048   16.0   0.0   2   3      0.56       8.5    2.1   0.0   213   245   177   210   124   258 0.83 -
94143at50557_319348_0:0040ff|STRG.13002.3:372-1496|+  -            375 94143at50557         -            358   0.00048   16.0   0.0   3   3    0.0013      0.02   10.7   0.0   304   344   304   345   289   358 0.84 -
94143at50557_143948_0:002d19|STRG.14739.1:2-355|+     -            118 94143at50557         -            358   0.00057   15.8   0.0   1   1   4.5e-05   0.00069   15.5   0.0   273   343     3    87     1    90 0.70 -
94143at50557_54969_0:002985|STRG.22725.1:443-1510|+   -            356 94143at50557         -            358    0.0023   13.8   0.8   1   1    0.0016     0.024   10.5   0.7   309   342   321   355    63   356 0.83 -
94143at50557_143948_0:002d19|STRG.6709.1:2-322|+      -            107 94143at50557         -            358     0.003   13.4   0.0   1   1   0.00023    0.0035   13.2   0.0   279   343     5    83     1    90 0.63 -
94143at50557_246812_0:0036b8|STRG.363.1:63-335|+      -             91 94143at50557         -            358    0.0046   12.8   0.0   1   1    0.0003    0.0046   12.8   0.0   308   343    28    64     2    87 0.75 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/94143at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/rerun_results/94143at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/94143at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:56:19 2024
# [ok]
