#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107216at50557_34720_0:000049|STRG.20984.1:1-273|-      -             91 107216at50557        -            149   1.9e-51  170.4   0.2   1   1   1.4e-52   2.1e-51  170.3   0.2    55   138     1    91     1    91 0.96 -
107216at50557_7394_0:0010f2|STRG.22670.1:843-1181|+    -            113 107216at50557        -            149   7.5e-07   25.7   0.0   1   2    0.0086      0.12    8.7   0.1     7    27     4    24     1    27 0.88 -
107216at50557_7394_0:0010f2|STRG.22670.1:843-1181|+    -            113 107216at50557        -            149   7.5e-07   25.7   0.0   2   2    0.0001    0.0015   15.0   0.0    27    91    43   110    35   113 0.81 -
107216at50557_110193_0:000c8b|STRG.5046.1:122-628|+    -            169 107216at50557        -            149   1.5e-06   24.7   0.0   1   2      0.28       4.2    3.8   0.0     8    28     1    21     1    25 0.90 -
107216at50557_110193_0:000c8b|STRG.5046.1:122-628|+    -            169 107216at50557        -            149   1.5e-06   24.7   0.0   2   2   1.4e-05   0.00021   17.7   0.0    31   114    43   128    32   169 0.75 -
107216at50557_110193_0:000c8b|STRG.5046.2:122-628|+    -            169 107216at50557        -            149   1.5e-06   24.7   0.0   1   2      0.28       4.2    3.8   0.0     8    28     1    21     1    25 0.90 -
107216at50557_110193_0:000c8b|STRG.5046.2:122-628|+    -            169 107216at50557        -            149   1.5e-06   24.7   0.0   2   2   1.4e-05   0.00021   17.7   0.0    31   114    43   128    32   169 0.75 -
107216at50557_110193_0:000c8b|STRG.5046.3:59-565|+     -            169 107216at50557        -            149   1.5e-06   24.7   0.0   1   2      0.28       4.2    3.8   0.0     8    28     1    21     1    25 0.90 -
107216at50557_110193_0:000c8b|STRG.5046.3:59-565|+     -            169 107216at50557        -            149   1.5e-06   24.7   0.0   2   2   1.4e-05   0.00021   17.7   0.0    31   114    43   128    32   169 0.75 -
107216at50557_110193_0:000c8b|STRG.5046.4:12-518|+     -            169 107216at50557        -            149   1.5e-06   24.7   0.0   1   2      0.28       4.2    3.8   0.0     8    28     1    21     1    25 0.90 -
107216at50557_110193_0:000c8b|STRG.5046.4:12-518|+     -            169 107216at50557        -            149   1.5e-06   24.7   0.0   2   2   1.4e-05   0.00021   17.7   0.0    31   114    43   128    32   169 0.75 -
107216at50557_535359_0:00186e|STRG.18675.1:1148-1648|+ -            167 107216at50557        -            149   1.6e-06   24.6   0.5   1   3      0.39       5.7    3.3   0.0     9    27     2    20     1    28 0.87 -
107216at50557_535359_0:00186e|STRG.18675.1:1148-1648|+ -            167 107216at50557        -            149   1.6e-06   24.6   0.5   2   3     0.012      0.17    8.3   0.1    70   114    20    64     9    87 0.77 -
107216at50557_535359_0:00186e|STRG.18675.1:1148-1648|+ -            167 107216at50557        -            149   1.6e-06   24.6   0.5   3   3   0.00084     0.012   12.0   0.1    72   146    84   164    70   167 0.74 -
107216at50557_224129_0:00130a|STRG.5551.2:1164-1760|+  -            199 107216at50557        -            149   2.3e-06   24.1   0.0   1   3     0.076       1.1    5.6   0.0     4    25     5    26     2    62 0.81 -
107216at50557_224129_0:00130a|STRG.5551.2:1164-1760|+  -            199 107216at50557        -            149   2.3e-06   24.1   0.0   2   3   0.00028    0.0042   13.5   0.0    27   104    63   140    42   159 0.76 -
107216at50557_224129_0:00130a|STRG.5551.2:1164-1760|+  -            199 107216at50557        -            149   2.3e-06   24.1   0.0   3   3      0.96        14    2.1   0.0    97   135   161   199   156   199 0.91 -
107216at50557_224129_0:00130a|STRG.5551.4:1164-1760|+  -            199 107216at50557        -            149   2.3e-06   24.1   0.0   1   3     0.076       1.1    5.6   0.0     4    25     5    26     2    62 0.81 -
107216at50557_224129_0:00130a|STRG.5551.4:1164-1760|+  -            199 107216at50557        -            149   2.3e-06   24.1   0.0   2   3   0.00028    0.0042   13.5   0.0    27   104    63   140    42   159 0.76 -
107216at50557_224129_0:00130a|STRG.5551.4:1164-1760|+  -            199 107216at50557        -            149   2.3e-06   24.1   0.0   3   3      0.96        14    2.1   0.0    97   135   161   199   156   199 0.91 -
107216at50557_56086_0:000591|STRG.4520.1:282-788|+     -            169 107216at50557        -            149     3e-06   23.7   0.0   1   2      0.24       3.5    4.0   0.0     8    28     1    21     1    35 0.90 -
107216at50557_56086_0:000591|STRG.4520.1:282-788|+     -            169 107216at50557        -            149     3e-06   23.7   0.0   2   2   2.6e-05   0.00037   16.9   0.0    32   114    44   128    30   169 0.78 -
107216at50557_7029_0:005ca6|STRG.8716.1:134-796|+      -            221 107216at50557        -            149   3.6e-06   23.4   0.0   1   3     0.087       1.3    5.4   0.0     8    24     1    17     1    28 0.87 -
107216at50557_7029_0:005ca6|STRG.8716.1:134-796|+      -            221 107216at50557        -            149   3.6e-06   23.4   0.0   2   3   0.00021    0.0031   13.9   0.0    37    82    55   102    44   108 0.88 -
107216at50557_7029_0:005ca6|STRG.8716.1:134-796|+      -            221 107216at50557        -            149   3.6e-06   23.4   0.0   3   3       3.8        56    0.1   0.0     8    26   136   154   127   181 0.76 -
107216at50557_7038_0:002032|STRG.12838.1:507-983|+     -            159 107216at50557        -            149   3.8e-06   23.4   0.0   1   2       2.1        31    1.0   0.0     8    27     1    20     1    28 0.90 -
107216at50557_7038_0:002032|STRG.12838.1:507-983|+     -            159 107216at50557        -            149   3.8e-06   23.4   0.0   2   2   1.9e-06   2.8e-05   20.6   0.0    19   138    31   158    21   159 0.76 -
117348at50557_28612_0:00318b|STRG.20502.1:75-575|+     -            167 107216at50557        -            149   1.2e-05   21.8   0.0   1   1   1.2e-06   1.7e-05   21.3   0.0    33   111    45   126    39   139 0.80 -
107216at50557_51655_0:0016fc|STRG.12295.1:324-812|+    -            163 107216at50557        -            149   1.5e-05   21.5   0.0   1   2     0.056      0.81    6.1   0.0     7    46     1    40     1    48 0.81 -
107216at50557_51655_0:0016fc|STRG.12295.1:324-812|+    -            163 107216at50557        -            149   1.5e-05   21.5   0.0   2   2   0.00042    0.0061   13.0   0.0    92   140   110   163    99   163 0.81 -
117348at50557_30019_0:002c28|STRG.20502.2:146-514|+    -            123 107216at50557        -            149   1.8e-05   21.2   0.0   1   1   1.5e-06   2.2e-05   20.9   0.0    38   111     6    82     2    97 0.80 -
107216at50557_7394_0:0010f2|STRG.16182.1:102-611|+     -            170 107216at50557        -            149     2e-05   21.0   0.0   1   2      0.03      0.43    7.0   0.0     8    28     1    21     1    33 0.92 -
107216at50557_7394_0:0010f2|STRG.16182.1:102-611|+     -            170 107216at50557        -            149     2e-05   21.0   0.0   2   2   0.00072      0.01   12.2   0.0    79   142    87   164    61   170 0.57 -
117348at50557_29031_0:00277d|STRG.20502.3:392-965|+    -            161 107216at50557        -            149   2.5e-05   20.7   0.0   1   1   2.3e-06   3.4e-05   20.3   0.0    37   111    43   120    29   133 0.80 -
117348at50557_79782_0:001424|STRG.7051.1:12-518|+      -            169 107216at50557        -            149   2.6e-05   20.6   0.0   1   1   2.1e-06   3.1e-05   20.4   0.0    29   118    51   143    17   155 0.81 -
117348at50557_224129_0:0005f4|STRG.8947.2:145-687|+    -            181 107216at50557        -            149   5.5e-05   19.6   0.2   1   1   8.2e-06   0.00012   18.5   0.2    29   119    51   144    13   176 0.79 -
117348at50557_326594_0:0022c4|STRG.8947.3:24-536|+     -            171 107216at50557        -            149   5.7e-05   19.6   0.2   1   1   9.8e-06   0.00014   18.3   0.2    29   118    48   140    10   155 0.80 -
117348at50557_326594_0:0022c4|STRG.8947.1:127-657|+    -            177 107216at50557        -            149   6.5e-05   19.4   0.3   1   1     1e-05   0.00015   18.2   0.3    29   118    57   149    19   171 0.81 -
117348at50557_7070_0:002817|STRG.13228.1:104-666|+     -            130 107216at50557        -            149   7.8e-05   19.1   0.1   1   1   6.6e-06   9.7e-05   18.8   0.1    29   116     7    97     2   106 0.80 -
117348at50557_104452_0:003894|STRG.13651.1:144-653|+   -            170 107216at50557        -            149   0.00027   17.4   0.0   1   1   2.8e-05   0.00041   16.8   0.0    33   111    49   133     6   151 0.84 -
107216at50557_7038_0:002032|STRG.12838.2:39-401|+      -            121 107216at50557        -            149   0.00057   16.3   0.0   1   1   4.3e-05   0.00063   16.2   0.0    29   138     3   120     1   121 0.67 -
107216at50557_197043_0:004b88|STRG.6952.1:3516-3896|+  -            127 107216at50557        -            149   0.00093   15.6   0.2   1   1   0.00066    0.0096   12.3   0.2     7    27     8    28     2   127 0.88 -
117348at50557_7038_0:000296|STRG.3845.2:3-482|+        -            160 107216at50557        -            149    0.0015   14.9   0.1   1   1   0.00013     0.002   14.6   0.1    29   108    36   118     9   136 0.69 -
117348at50557_133901_0:001206|STRG.3845.1:193-729|+    -            179 107216at50557        -            149    0.0015   14.9   0.4   1   1   0.00021    0.0031   13.9   0.4    29   106    55   135    15   152 0.70 -
117348at50557_116153_0:00098a|STRG.20631.1:1125-1637|+ -            171 107216at50557        -            149    0.0022   14.4   0.2   1   2       2.5        36    0.7   0.0     7    26     8    27     5    32 0.87 -
117348at50557_116153_0:00098a|STRG.20631.1:1125-1637|+ -            171 107216at50557        -            149    0.0022   14.4   0.2   2   2    0.0011     0.016   11.6   0.0    38   109    55   129    41   149 0.76 -
117348at50557_178035_0:000563|STRG.13021.2:2424-3428|+ -            176 107216at50557        -            149    0.0037   13.7   0.1   1   1   0.00031    0.0046   13.4   0.1    18   102    10   102     1   123 0.72 -
117348at50557_29031_0:00277d|STRG.13021.5:69-605|+     -            179 107216at50557        -            149    0.0048   13.3   0.0   1   1   0.00043    0.0063   12.9   0.0    27   102    34   112    11   133 0.74 -
117348at50557_178035_0:000563|STRG.13021.3:2424-3139|+ -            186 107216at50557        -            149    0.0052   13.2   0.0   1   1   0.00048     0.007   12.8   0.0    27   102    34   112    11   133 0.74 -
117348at50557_217634_0:001af2|STRG.9953.1:48-536|+     -            163 107216at50557        -            149    0.0084   12.5   0.0   1   1   0.00076     0.011   12.1   0.0    26   119    35   132    18   141 0.78 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/107216at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/rerun_results/107216at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/107216at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:56:26 2024
# [ok]
