#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
129956at50557_34720_0:00189a|STRG.10911.1:159-575|+     -            139 129956at50557        -            110   3.4e-63  209.4   0.1   1   1   8.7e-65     4e-63  209.2   0.1     1   108     1   112     1   117 0.94 -
129956at50557_7395_0:00347a|STRG.18297.5:49-303|+       -             85 129956at50557        -            110   2.2e-12   45.9   0.0   1   1   5.4e-14   2.5e-12   45.7   0.0    32    97     1    66     1    77 0.93 -
129956at50557_7395_0:00347a|STRG.18297.6:49-303|+       -             85 129956at50557        -            110   2.2e-12   45.9   0.0   1   1   5.4e-14   2.5e-12   45.7   0.0    32    97     1    66     1    77 0.93 -
129956at50557_7395_0:00347a|STRG.18297.7:49-303|+       -             85 129956at50557        -            110   2.2e-12   45.9   0.0   1   1   5.4e-14   2.5e-12   45.7   0.0    32    97     1    66     1    77 0.93 -
129956at50557_7395_0:00347a|STRG.18297.9:49-303|+       -             85 129956at50557        -            110   2.2e-12   45.9   0.0   1   1   5.4e-14   2.5e-12   45.7   0.0    32    97     1    66     1    77 0.93 -
24138at50557_7004_0:0051ca|STRG.1391.4:275-640|+        -            122 129956at50557        -            110   3.3e-12   45.3   0.0   1   2   1.4e-05   0.00065   18.6   0.0    50    90     2    44     1    65 0.81 -
24138at50557_7004_0:0051ca|STRG.1391.4:275-640|+        -            122 129956at50557        -            110   3.3e-12   45.3   0.0   2   2   1.1e-07   5.2e-06   25.3   0.0    31    79    72   120    60   122 0.93 -
59099at50557_64793_0:000fa7|STRG.1235.1:106-1851|+      -            582 129956at50557        -            110   4.7e-12   44.8   0.1   1   2   1.5e-05   0.00068   18.5   0.0    31   104    55   128    44   133 0.90 -
59099at50557_64793_0:000fa7|STRG.1235.1:106-1851|+      -            582 129956at50557        -            110   4.7e-12   44.8   0.1   2   2   4.6e-07   2.1e-05   23.4   0.0    32   103   225   295   222   304 0.89 -
129956at50557_38123_0:0017f4|STRG.6984.1:524-676|+      -             51 129956at50557        -            110   5.8e-12   44.5   0.2   1   1   1.3e-13   6.1e-12   44.4   0.2    32    81     1    50     1    51 0.97 -
129956at50557_38123_0:0017f4|STRG.6984.2:524-676|+      -             51 129956at50557        -            110   5.8e-12   44.5   0.2   1   1   1.3e-13   6.1e-12   44.4   0.2    32    81     1    50     1    51 0.97 -
59099at50557_286306_0:003cfb|STRG.1235.4:106-2000|+     -            596 129956at50557        -            110   6.7e-12   44.3   0.1   1   2   1.5e-05    0.0007   18.5   0.0    31   104    55   128    44   133 0.90 -
59099at50557_286306_0:003cfb|STRG.1235.4:106-2000|+     -            596 129956at50557        -            110   6.7e-12   44.3   0.1   2   2   4.7e-07   2.2e-05   23.4   0.0    32   103   225   295   222   304 0.89 -
59099at50557_286306_0:003cfb|STRG.1235.3:106-2027|+     -            605 129956at50557        -            110     7e-12   44.2   0.1   1   2   1.6e-05   0.00072   18.5   0.0    31   104    55   128    44   133 0.90 -
59099at50557_286306_0:003cfb|STRG.1235.3:106-2027|+     -            605 129956at50557        -            110     7e-12   44.2   0.1   2   2   4.8e-07   2.2e-05   23.3   0.0    32   103   225   295   222   304 0.89 -
129956at50557_7425_0:001fb1|STRG.19679.1:824-1066|+     -             81 129956at50557        -            110   8.5e-12   44.0   0.0   1   1   2.1e-13   9.7e-12   43.8   0.0    32   105     1    74     1    78 0.96 -
129956at50557_7425_0:001fb1|STRG.19679.2:811-1053|+     -             81 129956at50557        -            110   8.5e-12   44.0   0.0   1   1   2.1e-13   9.7e-12   43.8   0.0    32   105     1    74     1    78 0.96 -
129956at50557_38123_0:0017f4|STRG.5763.1:470-622|+      -             51 129956at50557        -            110   1.1e-11   43.6   0.2   1   1   2.5e-13   1.1e-11   43.6   0.2    32    81     1    50     1    51 0.97 -
129956at50557_38123_0:0017f4|STRG.5763.5:469-621|+      -             51 129956at50557        -            110   1.1e-11   43.6   0.2   1   1   2.5e-13   1.1e-11   43.6   0.2    32    81     1    50     1    51 0.97 -
129956at50557_199890_0:001386|STRG.5171.2:746-1030|+    -             95 129956at50557        -            110   2.7e-11   42.4   0.0   1   1   6.4e-13   2.9e-11   42.3   0.0    28   102    20    94     9    95 0.93 -
129956at50557_199890_0:001386|STRG.5171.3:841-1125|+    -             95 129956at50557        -            110   2.7e-11   42.4   0.0   1   1   6.4e-13   2.9e-11   42.3   0.0    28   102    20    94     9    95 0.93 -
129956at50557_7160_0:003f5c|STRG.15315.1:648-860|+      -             71 129956at50557        -            110   3.4e-11   42.1   0.1   1   1   7.8e-13   3.6e-11   42.0   0.1    36   104     3    71     1    71 0.96 -
129956at50557_7160_0:003f5c|STRG.15315.2:561-773|+      -             71 129956at50557        -            110   3.4e-11   42.1   0.1   1   1   7.8e-13   3.6e-11   42.0   0.1    36   104     3    71     1    71 0.96 -
129956at50557_7160_0:003f5c|STRG.15315.3:644-856|+      -             71 129956at50557        -            110   3.4e-11   42.1   0.1   1   1   7.8e-13   3.6e-11   42.0   0.1    36   104     3    71     1    71 0.96 -
129956at50557_7160_0:003f5c|STRG.15315.4:560-772|+      -             71 129956at50557        -            110   3.4e-11   42.1   0.1   1   1   7.8e-13   3.6e-11   42.0   0.1    36   104     3    71     1    71 0.96 -
129956at50557_7160_0:003f5c|STRG.15315.5:561-773|+      -             71 129956at50557        -            110   3.4e-11   42.1   0.1   1   1   7.8e-13   3.6e-11   42.0   0.1    36   104     3    71     1    71 0.96 -
129956at50557_29053_0:00060a|STRG.12667.1:416-670|+     -             85 129956at50557        -            110   3.8e-11   41.9   0.0   1   1   9.4e-13   4.3e-11   41.7   0.0    32    96     1    69     1    79 0.86 -
129956at50557_29053_0:00060a|STRG.12667.2:416-670|+     -             85 129956at50557        -            110   3.8e-11   41.9   0.0   1   1   9.4e-13   4.3e-11   41.7   0.0    32    96     1    69     1    79 0.86 -
129956at50557_29053_0:00060a|STRG.12667.3:416-670|+     -             85 129956at50557        -            110   3.8e-11   41.9   0.0   1   1   9.4e-13   4.3e-11   41.7   0.0    32    96     1    69     1    79 0.86 -
129956at50557_29053_0:00060a|STRG.5171.1:736-1014|+     -             93 129956at50557        -            110   4.7e-11   41.6   0.0   1   1   1.1e-12   5.2e-11   41.4   0.0    31   100    23    92     1    93 0.93 -
129956at50557_51655_0:0033b8|STRG.8958.1:610-921|+      -            104 129956at50557        -            110   3.6e-10   38.7   0.0   1   1   9.1e-12   4.2e-10   38.5   0.0    26    92     2    70     1    82 0.88 -
129956at50557_51655_0:0033b8|STRG.8958.2:610-921|+      -            104 129956at50557        -            110   3.6e-10   38.7   0.0   1   1   9.1e-12   4.2e-10   38.5   0.0    26    92     2    70     1    82 0.88 -
129956at50557_51655_0:0033b8|STRG.8958.4:785-1096|+     -            104 129956at50557        -            110   3.6e-10   38.7   0.0   1   1   9.1e-12   4.2e-10   38.5   0.0    26    92     2    70     1    82 0.88 -
129956at50557_7176_0:003daf|STRG.18717.1:1341-1580|+    -             80 129956at50557        -            110   4.6e-10   38.4   0.0   1   1   1.1e-11   5.1e-10   38.3   0.0    32   104     1    73     1    79 0.95 -
129956at50557_7160_0:003f5c|STRG.19296.2:2532-2768|+    -             79 129956at50557        -            110   6.1e-10   38.0   0.0   1   1   1.4e-11   6.4e-10   37.9   0.0    32   106     1    75     1    79 0.95 -
129956at50557_7176_0:003daf|STRG.18297.11:2403-2618|+   -             72 129956at50557        -            110   1.1e-09   37.2   0.0   1   1   2.5e-11   1.1e-09   37.1   0.0    32   103     1    72     1    72 0.96 -
129956at50557_29031_0:001f45|STRG.6711.1:674-817|+      -             48 129956at50557        -            110   2.8e-09   35.9   0.1   1   1   6.4e-11   2.9e-09   35.8   0.1    32    79     1    48     1    48 0.98 -
129956at50557_29031_0:001f45|STRG.6711.2:674-817|+      -             48 129956at50557        -            110   2.8e-09   35.9   0.1   1   1   6.4e-11   2.9e-09   35.8   0.1    32    79     1    48     1    48 0.98 -
135254at50557_103372_0:002a85|STRG.7181.1:116-490|+     -            125 129956at50557        -            110   6.6e-09   34.7   0.2   1   1   2.1e-10   9.6e-09   34.2   0.2    32   109    22    96    19    97 0.92 -
129956at50557_441921_0:0017da|STRG.15172.1:1195-1425|+  -             77 129956at50557        -            110   6.8e-09   34.6   0.0   1   1   1.6e-10   7.3e-09   34.5   0.0    32    98     1    66     1    76 0.89 -
129956at50557_37344_0:0029cb|STRG.11796.1:191-406|+     -             72 129956at50557        -            110   6.9e-09   34.6   0.0   1   1   1.5e-10   7.1e-09   34.6   0.0    32    99     1    68     1    72 0.90 -
101501at50557_1218281_0:0033ae|STRG.7750.1:252-470|+    -             73 129956at50557        -            110   1.2e-08   33.8   0.0   1   1   2.8e-10   1.3e-08   33.8   0.0    37   105     2    70     1    73 0.95 -
101501at50557_1218281_0:0033ae|STRG.7750.2:254-472|+    -             73 129956at50557        -            110   1.2e-08   33.8   0.0   1   1   2.8e-10   1.3e-08   33.8   0.0    37   105     2    70     1    73 0.95 -
129956at50557_104688_0:0004d5|STRG.1989.1:225-491|+     -             89 129956at50557        -            110   1.4e-08   33.6   0.1   1   1   3.5e-10   1.6e-08   33.4   0.1    27   104    12    89     5    89 0.96 -
117816at50557_307658_0:0005e3|STRG.15207.1:319-1203|+   -            295 129956at50557        -            110   1.6e-08   33.4   0.0   1   2   6.9e-07   3.1e-05   22.8   0.0    32    96    10    75     8    88 0.90 -
117816at50557_307658_0:0005e3|STRG.15207.1:319-1203|+   -            295 129956at50557        -            110   1.6e-08   33.4   0.0   2   2     0.024       1.1    8.2   0.0    32    95   103   166    98   178 0.74 -
129956at50557_441921_0:0017da|STRG.15171.1:1230-1460|+  -             77 129956at50557        -            110   1.8e-08   33.3   0.0   1   1   4.2e-10   1.9e-08   33.2   0.0    32    98     1    66     1    76 0.88 -
129956at50557_7536_0:0043e4|STRG.11340.3:548-901|+      -            118 129956at50557        -            110   4.5e-08   32.0   0.0   1   1   1.6e-09   7.4e-08   31.3   0.0    32   103     1    73     1    79 0.90 -
117816at50557_7397_0:002a90|STRG.14951.2:921-1079|+     -             53 129956at50557        -            110     8e-08   31.2   0.0   1   1   1.8e-09   8.2e-08   31.2   0.0    32    81     1    49     1    53 0.93 -
117816at50557_7397_0:002a90|STRG.14951.3:921-1079|+     -             53 129956at50557        -            110     8e-08   31.2   0.0   1   1   1.8e-09   8.2e-08   31.2   0.0    32    81     1    49     1    53 0.93 -
129956at50557_88501_0:00036a|STRG.11796.3:390-638|+     -             83 129956at50557        -            110   1.1e-07   30.7   0.0   1   1   2.8e-09   1.3e-07   30.5   0.0    22    94     8    79     4    83 0.90 -
83433at50557_1507135_0:0010eb|STRG.14976.14:244-1125|+  -            294 129956at50557        -            110   1.4e-07   30.4   0.0   1   2   5.9e-06   0.00027   19.8   0.0    32   108    12    80     8    82 0.92 -
83433at50557_1507135_0:0010eb|STRG.14976.14:244-1125|+  -            294 129956at50557        -            110   1.4e-07   30.4   0.0   2   2     0.027       1.3    8.0   0.0    31    74    90   125    85   159 0.77 -
83433at50557_1507135_0:0010eb|STRG.14976.1:124-1011|+   -            296 129956at50557        -            110   1.5e-07   30.3   0.0   1   2   5.9e-06   0.00027   19.8   0.0    32   108    12    80     8    82 0.92 -
83433at50557_1507135_0:0010eb|STRG.14976.1:124-1011|+   -            296 129956at50557        -            110   1.5e-07   30.3   0.0   2   2     0.028       1.3    8.0   0.0    31    74    90   125    85   159 0.77 -
83433at50557_1507135_0:0010eb|STRG.14976.2:124-1011|+   -            296 129956at50557        -            110   1.5e-07   30.3   0.0   1   2   5.9e-06   0.00027   19.8   0.0    32   108    12    80     8    82 0.92 -
83433at50557_1507135_0:0010eb|STRG.14976.2:124-1011|+   -            296 129956at50557        -            110   1.5e-07   30.3   0.0   2   2     0.028       1.3    8.0   0.0    31    74    90   125    85   159 0.77 -
83433at50557_13686_0:000d60|STRG.14976.11:124-1122|+    -            333 129956at50557        -            110     2e-07   29.9   0.0   1   2   7.3e-06   0.00033   19.5   0.0    32   108    12    80     8    82 0.92 -
83433at50557_13686_0:000d60|STRG.14976.11:124-1122|+    -            333 129956at50557        -            110     2e-07   29.9   0.0   2   2     0.033       1.5    7.8   0.0    31    74    90   125    85   159 0.77 -
83433at50557_286306_0:001317|STRG.14976.6:106-1095|+    -            330 129956at50557        -            110   2.2e-07   29.8   0.0   1   2   7.2e-06   0.00033   19.6   0.0    32   108    18    86    14    88 0.92 -
83433at50557_286306_0:001317|STRG.14976.6:106-1095|+    -            330 129956at50557        -            110   2.2e-07   29.8   0.0   2   2     0.033       1.5    7.8   0.0    31    74    96   131    91   165 0.77 -
83433at50557_286306_0:001317|STRG.14976.12:226-1324|+   -            337 129956at50557        -            110   2.3e-07   29.7   0.0   1   2   7.4e-06   0.00034   19.5   0.0    32   108    18    86    14    88 0.92 -
83433at50557_286306_0:001317|STRG.14976.12:226-1324|+   -            337 129956at50557        -            110   2.3e-07   29.7   0.0   2   2     0.035       1.6    7.7   0.0    31    74    96   131    91   164 0.77 -
83433at50557_286306_0:001317|STRG.14976.13:106-1204|+   -            337 129956at50557        -            110   2.3e-07   29.7   0.0   1   2   7.4e-06   0.00034   19.5   0.0    32   108    18    86    14    88 0.92 -
83433at50557_286306_0:001317|STRG.14976.13:106-1204|+   -            337 129956at50557        -            110   2.3e-07   29.7   0.0   2   2     0.035       1.6    7.7   0.0    31    74    96   131    91   164 0.77 -
83433at50557_286306_0:001317|STRG.14976.7:107-1141|+    -            345 129956at50557        -            110   2.5e-07   29.6   0.0   1   2   7.7e-06   0.00035   19.5   0.0    32   108    18    86    14    88 0.92 -
83433at50557_286306_0:001317|STRG.14976.7:107-1141|+    -            345 129956at50557        -            110   2.5e-07   29.6   0.0   2   2     0.036       1.7    7.6   0.0    31    74    96   131    91   164 0.77 -
83433at50557_286306_0:001317|STRG.14976.5:106-1146|+    -            347 129956at50557        -            110   2.6e-07   29.6   0.0   1   2   7.8e-06   0.00036   19.4   0.0    32   108    18    86    14    88 0.92 -
83433at50557_286306_0:001317|STRG.14976.5:106-1146|+    -            347 129956at50557        -            110   2.6e-07   29.6   0.0   2   2     0.037       1.7    7.6   0.0    31    74    96   131    91   164 0.77 -
129956at50557_13686_0:0011f5|STRG.11796.4:384-605|+     -             74 129956at50557        -            110   2.7e-07   29.5   0.0   1   1     6e-09   2.7e-07   29.5   0.0    27    94     4    70     1    74 0.90 -
83433at50557_286306_0:001317|STRG.14976.16:107-1174|+   -            356 129956at50557        -            110   2.8e-07   29.4   0.0   1   2   8.1e-06   0.00037   19.4   0.0    32   108    18    86    14    88 0.92 -
83433at50557_286306_0:001317|STRG.14976.16:107-1174|+   -            356 129956at50557        -            110   2.8e-07   29.4   0.0   2   2     0.038       1.7    7.6   0.0    31    74    96   131    91   164 0.77 -
83433at50557_156304_0:001c1d|STRG.14976.15:124-1191|+   -            356 129956at50557        -            110   2.8e-07   29.4   0.0   1   2   8.1e-06   0.00037   19.4   0.0    32   108    12    80     8    82 0.92 -
83433at50557_156304_0:001c1d|STRG.14976.15:124-1191|+   -            356 129956at50557        -            110   2.8e-07   29.4   0.0   2   2     0.038       1.7    7.6   0.0    31    74    90   125    85   158 0.77 -
83433at50557_13686_0:000d60|STRG.14976.9:126-1235|+     -            370 129956at50557        -            110   2.9e-07   29.4   0.0   1   2   8.7e-06    0.0004   19.3   0.0    32   108    12    80     8    82 0.92 -
83433at50557_13686_0:000d60|STRG.14976.9:126-1235|+     -            370 129956at50557        -            110   2.9e-07   29.4   0.0   2   2      0.04       1.8    7.5   0.0    31    73    90   124    85   158 0.77 -
83433at50557_13686_0:000d60|STRG.14976.10:126-1238|+    -            371 129956at50557        -            110   2.9e-07   29.4   0.0   1   2   8.7e-06    0.0004   19.3   0.0    32   108    12    80     8    82 0.92 -
83433at50557_13686_0:000d60|STRG.14976.10:126-1238|+    -            371 129956at50557        -            110   2.9e-07   29.4   0.0   2   2     0.041       1.9    7.5   0.0    31    73    90   124    85   158 0.77 -
83433at50557_13686_0:000d60|STRG.14976.4:126-1238|+     -            371 129956at50557        -            110   2.9e-07   29.4   0.0   1   2   8.7e-06    0.0004   19.3   0.0    32   108    12    80     8    82 0.92 -
83433at50557_13686_0:000d60|STRG.14976.4:126-1238|+     -            371 129956at50557        -            110   2.9e-07   29.4   0.0   2   2     0.041       1.9    7.5   0.0    31    73    90   124    85   158 0.77 -
83433at50557_13686_0:000d60|STRG.14976.8:244-1356|+     -            371 129956at50557        -            110   2.9e-07   29.4   0.0   1   2   8.7e-06    0.0004   19.3   0.0    32   108    12    80     8    82 0.92 -
83433at50557_13686_0:000d60|STRG.14976.8:244-1356|+     -            371 129956at50557        -            110   2.9e-07   29.4   0.0   2   2     0.041       1.9    7.5   0.0    31    73    90   124    85   158 0.77 -
129956at50557_307658_0:002521|STRG.11796.1:440-658|+    -             73 129956at50557        -            110   3.2e-07   29.3   0.0   1   1     7e-09   3.2e-07   29.2   0.0    27    94     3    69     1    73 0.90 -
129956at50557_307658_0:002521|STRG.11796.2:360-578|+    -             73 129956at50557        -            110   3.2e-07   29.3   0.0   1   1     7e-09   3.2e-07   29.2   0.0    27    94     3    69     1    73 0.90 -
129956at50557_121225_0:0029b4|STRG.1576.1:286-528|+     -             81 129956at50557        -            110   3.6e-07   29.1   0.1   1   1   8.2e-09   3.7e-07   29.0   0.1    33   103     1    70     1    77 0.82 -
129956at50557_121225_0:0029b4|STRG.1576.2:283-525|+     -             81 129956at50557        -            110   3.6e-07   29.1   0.1   1   1   8.2e-09   3.7e-07   29.0   0.1    33   103     1    70     1    77 0.82 -
117816at50557_217634_0:001779|STRG.14951.1:912-1364|+   -            151 129956at50557        -            110   5.5e-07   28.5   0.0   1   1   1.5e-08     7e-07   28.2   0.0    32    84     1    52     1    74 0.87 -
117816at50557_217634_0:001779|STRG.14951.4:921-1373|+   -            151 129956at50557        -            110   5.5e-07   28.5   0.0   1   1   1.5e-08     7e-07   28.2   0.0    32    84     1    52     1    74 0.87 -
117816at50557_217634_0:001779|STRG.14951.6:911-1363|+   -            151 129956at50557        -            110   5.5e-07   28.5   0.0   1   1   1.5e-08     7e-07   28.2   0.0    32    84     1    52     1    74 0.87 -
117816at50557_217634_0:001779|STRG.14951.7:902-1354|+   -            151 129956at50557        -            110   5.5e-07   28.5   0.0   1   1   1.5e-08     7e-07   28.2   0.0    32    84     1    52     1    74 0.87 -
104832at50557_315563_0:002a5b|STRG.2219.1:3363-3986|+   -            208 129956at50557        -            110   1.1e-06   27.5   0.0   1   2   1.4e-05   0.00064   18.6   0.0    28   102    52   123    41   131 0.85 -
104832at50557_315563_0:002a5b|STRG.2219.1:3363-3986|+   -            208 129956at50557        -            110   1.1e-06   27.5   0.0   2   2     0.058       2.7    7.0   0.0    32   105   135   202   127   206 0.79 -
104832at50557_315563_0:002a5b|STRG.2219.2:3363-3986|+   -            208 129956at50557        -            110   1.1e-06   27.5   0.0   1   2   1.4e-05   0.00064   18.6   0.0    28   102    52   123    41   131 0.85 -
104832at50557_315563_0:002a5b|STRG.2219.2:3363-3986|+   -            208 129956at50557        -            110   1.1e-06   27.5   0.0   2   2     0.058       2.7    7.0   0.0    32   105   135   202   127   206 0.79 -
104832at50557_315563_0:002a5b|STRG.2219.3:1795-2418|+   -            208 129956at50557        -            110   1.1e-06   27.5   0.0   1   2   1.4e-05   0.00064   18.6   0.0    28   102    52   123    41   131 0.85 -
104832at50557_315563_0:002a5b|STRG.2219.3:1795-2418|+   -            208 129956at50557        -            110   1.1e-06   27.5   0.0   2   2     0.058       2.7    7.0   0.0    32   105   135   202   127   206 0.79 -
104832at50557_315563_0:002a5b|STRG.2219.4:1795-2418|+   -            208 129956at50557        -            110   1.1e-06   27.5   0.0   1   2   1.4e-05   0.00064   18.6   0.0    28   102    52   123    41   131 0.85 -
104832at50557_315563_0:002a5b|STRG.2219.4:1795-2418|+   -            208 129956at50557        -            110   1.1e-06   27.5   0.0   2   2     0.058       2.7    7.0   0.0    32   105   135   202   127   206 0.79 -
104832at50557_315563_0:002a5b|STRG.2219.5:1795-2418|+   -            208 129956at50557        -            110   1.1e-06   27.5   0.0   1   2   1.4e-05   0.00064   18.6   0.0    28   102    52   123    41   131 0.85 -
104832at50557_315563_0:002a5b|STRG.2219.5:1795-2418|+   -            208 129956at50557        -            110   1.1e-06   27.5   0.0   2   2     0.058       2.7    7.0   0.0    32   105   135   202   127   206 0.79 -
104832at50557_315563_0:002a5b|STRG.2219.6:1242-1865|+   -            208 129956at50557        -            110   1.1e-06   27.5   0.0   1   2   1.4e-05   0.00064   18.6   0.0    28   102    52   123    41   131 0.85 -
104832at50557_315563_0:002a5b|STRG.2219.6:1242-1865|+   -            208 129956at50557        -            110   1.1e-06   27.5   0.0   2   2     0.058       2.7    7.0   0.0    32   105   135   202   127   206 0.79 -
129956at50557_7160_0:003f5c|STRG.3373.1:102-383|+       -             94 129956at50557        -            110   1.2e-06   27.4   0.0   1   1   3.1e-08   1.4e-06   27.2   0.0    42   103     2    65     1    71 0.87 -
129956at50557_7160_0:003f5c|STRG.3373.2:530-811|+       -             94 129956at50557        -            110   1.2e-06   27.4   0.0   1   1   3.1e-08   1.4e-06   27.2   0.0    42   103     2    65     1    71 0.87 -
129956at50557_7160_0:003f5c|STRG.3373.3:532-813|+       -             94 129956at50557        -            110   1.2e-06   27.4   0.0   1   1   3.1e-08   1.4e-06   27.2   0.0    42   103     2    65     1    71 0.87 -
117816at50557_13249_0:002086|STRG.3428.1:359-898|+      -            180 129956at50557        -            110   1.3e-06   27.3   0.0   1   1   4.1e-08   1.9e-06   26.8   0.0    31    83   118   170    83   177 0.85 -
117816at50557_13249_0:002086|STRG.3428.2:359-898|+      -            180 129956at50557        -            110   1.3e-06   27.3   0.0   1   1   4.1e-08   1.9e-06   26.8   0.0    31    83   118   170    83   177 0.85 -
117816at50557_680683_0:00163d|STRG.4783.2:3013-3519|+   -            169 129956at50557        -            110   3.3e-06   26.0   0.0   1   2   1.7e-05   0.00076   18.4   0.0    32    89     2    61     1    66 0.80 -
117816at50557_680683_0:00163d|STRG.4783.2:3013-3519|+   -            169 129956at50557        -            110   3.3e-06   26.0   0.0   2   2      0.14       6.5    5.7   0.0    32    88   110   167   104   169 0.91 -
117816at50557_680683_0:00163d|STRG.4783.3:1685-2191|+   -            169 129956at50557        -            110   3.3e-06   26.0   0.0   1   2   1.7e-05   0.00076   18.4   0.0    32    89     2    61     1    66 0.80 -
117816at50557_680683_0:00163d|STRG.4783.3:1685-2191|+   -            169 129956at50557        -            110   3.3e-06   26.0   0.0   2   2      0.14       6.5    5.7   0.0    32    88   110   167   104   169 0.91 -
117816at50557_680683_0:00163d|STRG.4783.4:421-927|+     -            169 129956at50557        -            110   3.3e-06   26.0   0.0   1   2   1.7e-05   0.00076   18.4   0.0    32    89     2    61     1    66 0.80 -
117816at50557_680683_0:00163d|STRG.4783.4:421-927|+     -            169 129956at50557        -            110   3.3e-06   26.0   0.0   2   2      0.14       6.5    5.7   0.0    32    88   110   167   104   169 0.91 -
129956at50557_37344_0:0029cb|STRG.16385.5:1234-1542|+   -            103 129956at50557        -            110   5.9e-06   25.2   0.0   1   1   1.7e-07   7.7e-06   24.8   0.0    29   103    30   102    13   103 0.88 -
83433at50557_7091_0:0009f7|STRG.18950.3:223-771|+       -            183 129956at50557        -            110   7.1e-06   24.9   0.0   1   2   2.9e-06   0.00013   20.8   0.0    32   106     6    72     3    76 0.90 -
83433at50557_7091_0:0009f7|STRG.18950.3:223-771|+       -            183 129956at50557        -            110   7.1e-06   24.9   0.0   2   2       3.8   1.7e+02    1.1   0.0    50   101   135   181   104   183 0.61 -
129956at50557_7397_0:004a22|STRG.16385.1:594-869|+      -             92 129956at50557        -            110   7.5e-06   24.8   0.0   1   1   1.8e-07   8.3e-06   24.7   0.0    31   104     2    73     1    79 0.90 -
129956at50557_7397_0:004a22|STRG.16385.2:1194-1469|+    -             92 129956at50557        -            110   7.5e-06   24.8   0.0   1   1   1.8e-07   8.3e-06   24.7   0.0    31   104     2    73     1    79 0.90 -
129956at50557_7397_0:004a22|STRG.16385.3:1327-1602|+    -             92 129956at50557        -            110   7.5e-06   24.8   0.0   1   1   1.8e-07   8.3e-06   24.7   0.0    31   104     2    73     1    79 0.90 -
129956at50557_7397_0:004a22|STRG.16385.4:171-446|+      -             92 129956at50557        -            110   7.5e-06   24.8   0.0   1   1   1.8e-07   8.3e-06   24.7   0.0    31   104     2    73     1    79 0.90 -
129956at50557_441921_0:0017da|STRG.10508.10:159-401|+   -             81 129956at50557        -            110   9.4e-06   24.5   0.0   1   1   2.5e-07   1.2e-05   24.2   0.0    23   104     5    81     1    81 0.91 -
129956at50557_441921_0:0017da|STRG.10508.11:173-415|+   -             81 129956at50557        -            110   9.4e-06   24.5   0.0   1   1   2.5e-07   1.2e-05   24.2   0.0    23   104     5    81     1    81 0.91 -
129956at50557_441921_0:0017da|STRG.10508.1:159-401|+    -             81 129956at50557        -            110   9.4e-06   24.5   0.0   1   1   2.5e-07   1.2e-05   24.2   0.0    23   104     5    81     1    81 0.91 -
129956at50557_441921_0:0017da|STRG.10508.2:159-401|+    -             81 129956at50557        -            110   9.4e-06   24.5   0.0   1   1   2.5e-07   1.2e-05   24.2   0.0    23   104     5    81     1    81 0.91 -
129956at50557_441921_0:0017da|STRG.10508.3:159-401|+    -             81 129956at50557        -            110   9.4e-06   24.5   0.0   1   1   2.5e-07   1.2e-05   24.2   0.0    23   104     5    81     1    81 0.91 -
129956at50557_441921_0:0017da|STRG.10508.7:159-401|+    -             81 129956at50557        -            110   9.4e-06   24.5   0.0   1   1   2.5e-07   1.2e-05   24.2   0.0    23   104     5    81     1    81 0.91 -
129956at50557_441921_0:0017da|STRG.10508.8:159-401|+    -             81 129956at50557        -            110   9.4e-06   24.5   0.0   1   1   2.5e-07   1.2e-05   24.2   0.0    23   104     5    81     1    81 0.91 -
129956at50557_441921_0:0017da|STRG.10508.9:159-401|+    -             81 129956at50557        -            110   9.4e-06   24.5   0.0   1   1   2.5e-07   1.2e-05   24.2   0.0    23   104     5    81     1    81 0.91 -
135254at50557_103372_0:002a85|STRG.11625.1:871-1074|+   -             68 129956at50557        -            110   1.6e-05   23.8   0.0   1   1   3.6e-07   1.7e-05   23.7   0.0    33    95     2    67     1    68 0.89 -
135254at50557_103372_0:002a85|STRG.11625.2:791-994|+    -             68 129956at50557        -            110   1.6e-05   23.8   0.0   1   1   3.6e-07   1.7e-05   23.7   0.0    33    95     2    67     1    68 0.89 -
135254at50557_103372_0:002a85|STRG.11625.3:724-927|+    -             68 129956at50557        -            110   1.6e-05   23.8   0.0   1   1   3.6e-07   1.7e-05   23.7   0.0    33    95     2    67     1    68 0.89 -
135254at50557_103372_0:002a85|STRG.11625.4:900-1103|+   -             68 129956at50557        -            110   1.6e-05   23.8   0.0   1   1   3.6e-07   1.7e-05   23.7   0.0    33    95     2    67     1    68 0.89 -
135254at50557_103372_0:002a85|STRG.11625.5:781-984|+    -             68 129956at50557        -            110   1.6e-05   23.8   0.0   1   1   3.6e-07   1.7e-05   23.7   0.0    33    95     2    67     1    68 0.89 -
135254at50557_103372_0:002a85|STRG.11625.6:900-1103|+   -             68 129956at50557        -            110   1.6e-05   23.8   0.0   1   1   3.6e-07   1.7e-05   23.7   0.0    33    95     2    67     1    68 0.89 -
