#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
27737at50557_103372_0:000a01|STRG.10748.1:104-1936|+  -            611 27737at50557         -            506  3.2e-264  876.2   9.2   1   1  1.4e-265  1.2e-263  874.4   9.2     6   506    27   605    22   605 0.91 -
43553at50557_103372_0:0013d1|STRG.14268.1:371-1903|+  -            511 27737at50557         -            506   0.00044   18.0   0.0   2   2   5.6e-05    0.0045   14.7   0.0    31   100   344   420   315   463 0.80 -
43553at50557_103372_0:0013d1|STRG.14268.2:345-1877|+  -            511 27737at50557         -            506   0.00044   18.0   0.0   1   2      0.91        73    0.8   0.0    24    63   169   211   150   274 0.63 -
43553at50557_103372_0:0013d1|STRG.14268.2:345-1877|+  -            511 27737at50557         -            506   0.00044   18.0   0.0   2   2   5.6e-05    0.0045   14.7   0.0    31   100   344   420   315   463 0.80 -
43553at50557_103372_0:0013d1|STRG.14268.3:328-1860|+  -            511 27737at50557         -            506   0.00044   18.0   0.0   1   2      0.91        73    0.8   0.0    24    63   169   211   150   274 0.63 -
43553at50557_103372_0:0013d1|STRG.14268.3:328-1860|+  -            511 27737at50557         -            506   0.00044   18.0   0.0   2   2   5.6e-05    0.0045   14.7   0.0    31   100   344   420   315   463 0.80 -
25500at50557_121845_0:000041|STRG.2360.2:637-1350|+   -            238 27737at50557         -            506   0.00046   17.9   0.2   1   2       0.6        48    1.4   0.1    31    78    41    89    20    99 0.71 -
25500at50557_121845_0:000041|STRG.2360.2:637-1350|+   -            238 27737at50557         -            506   0.00046   17.9   0.2   2   2   8.7e-05     0.007   14.0   0.0    48    97   103   159    96   169 0.83 -
25500at50557_121845_0:000041|STRG.2360.1:143-772|+    -            210 27737at50557         -            506    0.0005   17.8   0.1   1   2      0.59        47    1.4   0.1    31    79    13    62     6    74 0.69 -
25500at50557_121845_0:000041|STRG.2360.1:143-772|+    -            210 27737at50557         -            506    0.0005   17.8   0.1   2   2     7e-05    0.0056   14.3   0.0    48    97    75   131    68   140 0.83 -
78072at50557_315563_0:002315|STRG.7544.1:17-490|+     -            158 27737at50557         -            506     0.001   16.8   1.0   1   4      0.26        21    2.6   0.0    74    96    10    32     4    45 0.85 -
78072at50557_315563_0:002315|STRG.7544.1:17-490|+     -            158 27737at50557         -            506     0.001   16.8   1.0   2   4      0.11       8.8    3.8   0.0   185   210    50    75    36    85 0.79 -
78072at50557_315563_0:002315|STRG.7544.1:17-490|+     -            158 27737at50557         -            506     0.001   16.8   1.0   3   4     0.021       1.7    6.2   0.0   184   213    92   121    86   131 0.83 -
78072at50557_315563_0:002315|STRG.7544.1:17-490|+     -            158 27737at50557         -            506     0.001   16.8   1.0   4   4       1.5   1.2e+02    0.0   0.1    31    59   129   158   120   158 0.73 -
80377at50557_7375_0:002fbf|STRG.10128.1:91-762|+      -            224 27737at50557         -            506    0.0016   16.1   1.4   1   2      0.79        63    1.0   0.0    42    95    74    91    20   103 0.52 -
80377at50557_7375_0:002fbf|STRG.10128.1:91-762|+      -            224 27737at50557         -            506    0.0016   16.1   1.4   2   2   0.00011    0.0088   13.7   0.4    30    96   103   178    93   188 0.76 -
80377at50557_456900_0:000374|STRG.9321.2:98-1102|+    -            335 27737at50557         -            506    0.0019   15.9   0.0   1   3      0.11       8.4    3.9   0.0    43    95   112   171    79   196 0.60 -
80377at50557_456900_0:000374|STRG.9321.2:98-1102|+    -            335 27737at50557         -            506    0.0019   15.9   0.0   2   3     0.016       1.3    6.6   0.0    35    99   187   258   176   267 0.69 -
80377at50557_456900_0:000374|STRG.9321.2:98-1102|+    -            335 27737at50557         -            506    0.0019   15.9   0.0   3   3      0.54        43    1.5   0.0   176   208   272   304   264   314 0.82 -
31374at50557_133901_0:001035|STRG.10131.1:394-1938|+  -            515 27737at50557         -            506    0.0021   15.8   0.0   1   3      0.12       9.8    3.7   0.0   185   218   360   393   354   401 0.88 -
31374at50557_133901_0:001035|STRG.10131.1:394-1938|+  -            515 27737at50557         -            506    0.0021   15.8   0.0   2   3     0.066       5.3    4.5   0.0   185   215   402   432   379   436 0.80 -
31374at50557_133901_0:001035|STRG.10131.1:394-1938|+  -            515 27737at50557         -            506    0.0021   15.8   0.0   3   3     0.089       7.1    4.1   0.0    31    65   438   473   435   485 0.86 -
31374at50557_133901_0:001035|STRG.10131.2:394-1938|+  -            515 27737at50557         -            506    0.0021   15.8   0.0   1   3      0.12       9.8    3.7   0.0   185   218   360   393   354   401 0.88 -
31374at50557_133901_0:001035|STRG.10131.2:394-1938|+  -            515 27737at50557         -            506    0.0021   15.8   0.0   2   3     0.066       5.3    4.5   0.0   185   215   402   432   379   436 0.80 -
31374at50557_133901_0:001035|STRG.10131.2:394-1938|+  -            515 27737at50557         -            506    0.0021   15.8   0.0   3   3     0.089       7.1    4.1   0.0    31    65   438   473   435   485 0.86 -
40115at50557_29031_0:00277e|STRG.9405.1:1491-2276|+   -            262 27737at50557         -            506    0.0026   15.4   0.2   1   4       2.1   1.7e+02   -0.4   0.0   194   220    61    88    48   109 0.69 -
40115at50557_29031_0:00277e|STRG.9405.1:1491-2276|+   -            262 27737at50557         -            506    0.0026   15.4   0.2   2   4    0.0013       0.1   10.2   0.0   189   222   152   185   139   193 0.78 -
40115at50557_29031_0:00277e|STRG.9405.1:1491-2276|+   -            262 27737at50557         -            506    0.0026   15.4   0.2   3   4       3.7     3e+02   -1.2   0.0   190   214   198   222   189   235 0.69 -
40115at50557_29031_0:00277e|STRG.9405.1:1491-2276|+   -            262 27737at50557         -            506    0.0026   15.4   0.2   4   4       3.7     3e+02   -1.2   0.0   183   207   233   257   225   259 0.80 -
40115at50557_29031_0:00277e|STRG.9405.2:1463-2248|+   -            262 27737at50557         -            506    0.0026   15.4   0.2   1   4       2.1   1.7e+02   -0.4   0.0   194   220    61    88    48   109 0.69 -
40115at50557_29031_0:00277e|STRG.9405.2:1463-2248|+   -            262 27737at50557         -            506    0.0026   15.4   0.2   2   4    0.0013       0.1   10.2   0.0   189   222   152   185   139   193 0.78 -
40115at50557_29031_0:00277e|STRG.9405.2:1463-2248|+   -            262 27737at50557         -            506    0.0026   15.4   0.2   3   4       3.7     3e+02   -1.2   0.0   190   214   198   222   189   235 0.69 -
40115at50557_29031_0:00277e|STRG.9405.2:1463-2248|+   -            262 27737at50557         -            506    0.0026   15.4   0.2   4   4       3.7     3e+02   -1.2   0.0   183   207   233   257   225   259 0.80 -
56099at50557_34720_0:001a91|STRG.19375.1:86-1417|+    -            444 27737at50557         -            506    0.0034   15.1   0.4   1   3      0.17        14    3.1   0.0    31    97    65   139    35   144 0.66 -
56099at50557_34720_0:001a91|STRG.19375.1:86-1417|+    -            444 27737at50557         -            506    0.0034   15.1   0.4   2   3     0.004      0.32    8.6   0.1   117   219   219   320   198   330 0.73 -
56099at50557_34720_0:001a91|STRG.19375.1:86-1417|+    -            444 27737at50557         -            506    0.0034   15.1   0.4   3   3       1.2        96    0.4   0.0    23    61   317   354   314   359 0.78 -
40115at50557_77166_0:00051d|STRG.18369.2:518-931|+    -            138 27737at50557         -            506    0.0035   15.0   0.1   1   2   0.00022     0.018   12.7   0.0   183   220    31    68    16    89 0.83 -
40115at50557_77166_0:00051d|STRG.18369.2:518-931|+    -            138 27737at50557         -            506    0.0035   15.0   0.1   2   2       1.4   1.2e+02    0.1   0.1    30    56   110   137    90   138 0.51 -
80377at50557_38123_0:002ff9|STRG.10016.2:517-1626|+   -            370 27737at50557         -            506    0.0065   14.1   5.1   1   2      0.54        43    1.5   0.0   184   218    10    44     6    63 0.89 -
80377at50557_38123_0:002ff9|STRG.10016.2:517-1626|+   -            370 27737at50557         -            506    0.0065   14.1   5.1   2   2   0.00072     0.058   11.0   2.9    31   102    89   167    80   182 0.66 -
80377at50557_38123_0:002ff9|STRG.10016.1:157-1698|+   -            514 27737at50557         -            506     0.014   13.0   4.8   1   2      0.72        58    1.1   0.0   184   218    35    69    30   102 0.86 -
80377at50557_38123_0:002ff9|STRG.10016.1:157-1698|+   -            514 27737at50557         -            506     0.014   13.0   4.8   2   2    0.0012     0.093   10.3   2.8    31   101   114   191   109   207 0.65 -
22030at50557_7536_0:0040ec|STRG.18366.1:813-1154|+    -            114 27737at50557         -            506     0.016   12.9   0.2   1   2     0.072       5.8    4.4   0.1    79    98    54    73    17    81 0.63 -
22030at50557_7536_0:0040ec|STRG.18366.1:813-1154|+    -            114 27737at50557         -            506     0.016   12.9   0.2   2   2     0.023       1.8    6.1   0.0   182   208    86   112    78   114 0.87 -
22030at50557_7536_0:0040ec|STRG.18366.2:813-1154|+    -            114 27737at50557         -            506     0.016   12.9   0.2   1   2     0.072       5.8    4.4   0.1    79    98    54    73    17    81 0.63 -
22030at50557_7536_0:0040ec|STRG.18366.2:813-1154|+    -            114 27737at50557         -            506     0.016   12.9   0.2   2   2     0.023       1.8    6.1   0.0   182   208    86   112    78   114 0.87 -
40115at50557_103372_0:0021d6|STRG.18154.1:4065-5042|+ -            326 27737at50557         -            506     0.017   12.8   0.8   1   3     0.054       4.3    4.8   0.1    35    79    28    70    16   105 0.69 -
40115at50557_103372_0:0021d6|STRG.18154.1:4065-5042|+ -            326 27737at50557         -            506     0.017   12.8   0.8   2   3       2.9   2.4e+02   -0.9   0.0   100   139   134   173    61   186 0.61 -
40115at50557_103372_0:0021d6|STRG.18154.1:4065-5042|+ -            326 27737at50557         -            506     0.017   12.8   0.8   3   3     0.034       2.8    5.5   0.1    38    58   306   326   297   326 0.84 -
40115at50557_108931_0:001d6b|STRG.19253.1:926-1963|+  -            346 27737at50557         -            506      0.02   12.5   0.0   1   2       2.4   1.9e+02   -0.6   0.0    67    96   184   220   158   242 0.57 -
40115at50557_108931_0:001d6b|STRG.19253.1:926-1963|+  -            346 27737at50557         -            506      0.02   12.5   0.0   2   2    0.0033      0.26    8.9   0.0   185   218   289   322   277   330 0.89 -
55830at50557_168631_0:000573|STRG.12503.1:1271-2170|+ -            300 27737at50557         -            506     0.021   12.5   0.2   1   2     0.023       1.8    6.1   0.0    42   104    14    83     6   146 0.65 -
55830at50557_168631_0:000573|STRG.12503.1:1271-2170|+ -            300 27737at50557         -            506     0.021   12.5   0.2   2   2      0.06       4.8    4.7   0.0    42    66   198   222   183   264 0.71 -
55830at50557_168631_0:000573|STRG.12503.2:1187-2086|+ -            300 27737at50557         -            506     0.021   12.5   0.2   1   2     0.023       1.8    6.1   0.0    42   104    14    83     6   146 0.65 -
55830at50557_168631_0:000573|STRG.12503.2:1187-2086|+ -            300 27737at50557         -            506     0.021   12.5   0.2   2   2      0.06       4.8    4.7   0.0    42    66   198   222   183   264 0.71 -
70122at50557_56086_0:00188d|STRG.3968.3:654-1001|+    -            116 27737at50557         -            506     0.023   12.3   0.0   1   1   0.00031     0.025   12.2   0.0   311   377    19    85     7   108 0.84 -
70122at50557_56086_0:00188d|STRG.3968.4:654-1001|+    -            116 27737at50557         -            506     0.023   12.3   0.0   1   1   0.00031     0.025   12.2   0.0   311   377    19    85     7   108 0.84 -
70122at50557_56086_0:00188d|STRG.3968.5:654-1001|+    -            116 27737at50557         -            506     0.023   12.3   0.0   1   1   0.00031     0.025   12.2   0.0   311   377    19    85     7   108 0.84 -
70122at50557_56086_0:00188d|STRG.3968.6:654-1001|+    -            116 27737at50557         -            506     0.023   12.3   0.0   1   1   0.00031     0.025   12.2   0.0   311   377    19    85     7   108 0.84 -
70122at50557_56086_0:00188d|STRG.3968.7:654-1001|+    -            116 27737at50557         -            506     0.023   12.3   0.0   1   1   0.00031     0.025   12.2   0.0   311   377    19    85     7   108 0.84 -
57752at50557_103372_0:000c5a|STRG.1783.1:490-1854|+   -            455 27737at50557         -            506     0.024   12.3   0.1   1   4       0.1         8    3.9   0.0   188   217   153   182   148   198 0.83 -
57752at50557_103372_0:000c5a|STRG.1783.1:490-1854|+   -            455 27737at50557         -            506     0.024   12.3   0.1   2   4      0.68        55    1.2   0.0    45    95   201   257   186   268 0.62 -
57752at50557_103372_0:000c5a|STRG.1783.1:490-1854|+   -            455 27737at50557         -            506     0.024   12.3   0.1   3   4      0.67        54    1.2   0.0    31    59   270   299   265   315 0.86 -
57752at50557_103372_0:000c5a|STRG.1783.1:490-1854|+   -            455 27737at50557         -            506     0.024   12.3   0.1   4   4         2   1.6e+02   -0.4   0.0   145   207   369   430   318   435 0.63 -
57752at50557_103372_0:000c5a|STRG.1783.2:483-1847|+   -            455 27737at50557         -            506     0.024   12.3   0.1   1   4       0.1         8    3.9   0.0   188   217   153   182   148   198 0.83 -
57752at50557_103372_0:000c5a|STRG.1783.2:483-1847|+   -            455 27737at50557         -            506     0.024   12.3   0.1   2   4      0.68        55    1.2   0.0    45    95   201   257   186   268 0.62 -
57752at50557_103372_0:000c5a|STRG.1783.2:483-1847|+   -            455 27737at50557         -            506     0.024   12.3   0.1   3   4      0.67        54    1.2   0.0    31    59   270   299   265   315 0.86 -
57752at50557_103372_0:000c5a|STRG.1783.2:483-1847|+   -            455 27737at50557         -            506     0.024   12.3   0.1   4   4         2   1.6e+02   -0.4   0.0   145   207   369   430   318   435 0.63 -
57752at50557_103372_0:000c5a|STRG.1783.3:68-1432|+    -            455 27737at50557         -            506     0.024   12.3   0.1   1   4       0.1         8    3.9   0.0   188   217   153   182   148   198 0.83 -
57752at50557_103372_0:000c5a|STRG.1783.3:68-1432|+    -            455 27737at50557         -            506     0.024   12.3   0.1   2   4      0.68        55    1.2   0.0    45    95   201   257   186   268 0.62 -
57752at50557_103372_0:000c5a|STRG.1783.3:68-1432|+    -            455 27737at50557         -            506     0.024   12.3   0.1   3   4      0.67        54    1.2   0.0    31    59   270   299   265   315 0.86 -
57752at50557_103372_0:000c5a|STRG.1783.3:68-1432|+    -            455 27737at50557         -            506     0.024   12.3   0.1   4   4         2   1.6e+02   -0.4   0.0   145   207   369   430   318   435 0.63 -
40115at50557_103372_0:0021d6|STRG.18154.2:4656-5666|+ -            337 27737at50557         -            506     0.025   12.2   0.2   1   3     0.056       4.5    4.8   0.1    35    79    28    70    16   106 0.69 -
40115at50557_103372_0:0021d6|STRG.18154.2:4656-5666|+ -            337 27737at50557         -            506     0.025   12.2   0.2   2   3       3.1   2.5e+02   -1.0   0.0   100   139   134   173    61   186 0.61 -
40115at50557_103372_0:0021d6|STRG.18154.2:4656-5666|+ -            337 27737at50557         -            506     0.025   12.2   0.2   3   3     0.075         6    4.4   0.0    38    59   306   327   297   332 0.82 -
40115at50557_103372_0:0021d6|STRG.18154.3:4065-5075|+ -            337 27737at50557         -            506     0.025   12.2   0.2   1   3     0.056       4.5    4.8   0.1    35    79    28    70    16   106 0.69 -
40115at50557_103372_0:0021d6|STRG.18154.3:4065-5075|+ -            337 27737at50557         -            506     0.025   12.2   0.2   2   3       3.1   2.5e+02   -1.0   0.0   100   139   134   173    61   186 0.61 -
40115at50557_103372_0:0021d6|STRG.18154.3:4065-5075|+ -            337 27737at50557         -            506     0.025   12.2   0.2   3   3     0.075         6    4.4   0.0    38    59   306   327   297   332 0.82 -
48053at50557_13249_0:0016bb|STRG.7472.1:758-1732|+    -            325 27737at50557         -            506     0.025   12.2   0.1   1   4       1.6   1.3e+02   -0.0   0.0    44    75    84   115    69   119 0.81 -
48053at50557_13249_0:0016bb|STRG.7472.1:758-1732|+    -            325 27737at50557         -            506     0.025   12.2   0.1   2   4      0.02       1.6    6.3   0.0   184   215   118   149   109   164 0.85 -
48053at50557_13249_0:0016bb|STRG.7472.1:758-1732|+    -            325 27737at50557         -            506     0.025   12.2   0.1   3   4         8   6.4e+02   -2.3   0.0   195   223   173   201   162   211 0.79 -
48053at50557_13249_0:0016bb|STRG.7472.1:758-1732|+    -            325 27737at50557         -            506     0.025   12.2   0.1   4   4      0.78        63    1.0   0.0   185   210   205   230   192   256 0.79 -
78072at50557_56086_0:002946|STRG.19320.1:1498-2259|+  -            254 27737at50557         -            506      0.03   11.9   0.0   1   2       1.4   1.1e+02    0.2   0.0   197   229    23    55    17   102 0.47 -
78072at50557_56086_0:002946|STRG.19320.1:1498-2259|+  -            254 27737at50557         -            506      0.03   11.9   0.0   2   2    0.0027      0.22    9.1   0.0   185   213   103   131    99   137 0.89 -
78072at50557_56086_0:002946|STRG.19320.4:597-1358|+   -            254 27737at50557         -            506      0.03   11.9   0.0   1   2       1.4   1.1e+02    0.2   0.0   197   229    23    55    17   102 0.47 -
78072at50557_56086_0:002946|STRG.19320.4:597-1358|+   -            254 27737at50557         -            506      0.03   11.9   0.0   2   2    0.0027      0.22    9.1   0.0   185   213   103   131    99   137 0.89 -
78072at50557_56086_0:002946|STRG.19320.6:522-1283|+   -            254 27737at50557         -            506      0.03   11.9   0.0   1   2       1.4   1.1e+02    0.2   0.0   197   229    23    55    17   102 0.47 -
78072at50557_56086_0:002946|STRG.19320.6:522-1283|+   -            254 27737at50557         -            506      0.03   11.9   0.0   2   2    0.0027      0.22    9.1   0.0   185   213   103   131    99   137 0.89 -
80377at50557_454923_0:001015|STRG.16929.1:141-920|+   -            260 27737at50557         -            506     0.035   11.7   0.1   1   3     0.094       7.6    4.0   0.0   176   220    49    93    46   100 0.83 -
80377at50557_454923_0:001015|STRG.16929.1:141-920|+   -            260 27737at50557         -            506     0.035   11.7   0.1   2   3      0.24        19    2.7   0.1    33    98    97   171    94   181 0.60 -
80377at50557_454923_0:001015|STRG.16929.1:141-920|+   -            260 27737at50557         -            506     0.035   11.7   0.1   3   3      0.87        70    0.8   0.0   185   220   187   222   181   229 0.91 -
14512at50557_29053_0:0002b6|STRG.8472.1:214-924|+     -            237 27737at50557         -            506     0.036   11.7   0.4   1   2     0.033       2.7    5.5   0.2    40    98    59   123    31   130 0.68 -
14512at50557_29053_0:0002b6|STRG.8472.1:214-924|+     -            237 27737at50557         -            506     0.036   11.7   0.4   2   2     0.067       5.4    4.5   0.0    45    96   178   237   165   237 0.80 -
76755at50557_315563_0:0012ae|STRG.8238.1:625-3362|+   -            237 27737at50557         -            506     0.045   11.4   0.0   1   3       1.7   1.4e+02   -0.2   0.0   185   216    86   115    71   135 0.74 -
76755at50557_315563_0:0012ae|STRG.8238.1:625-3362|+   -            237 27737at50557         -            506     0.045   11.4   0.0   2   3      0.06       4.8    4.7   0.0    73    96   154   177   142   191 0.86 -
76755at50557_315563_0:0012ae|STRG.8238.1:625-3362|+   -            237 27737at50557         -            506     0.045   11.4   0.0   3   3      0.28        23    2.4   0.0   183   208   198   223   184   229 0.84 -
80377at50557_35570_0:0015c0|STRG.19320.2:1668-2216|+  -            183 27737at50557         -            506     0.046   11.3   0.1   1   2       2.7   2.2e+02   -0.8   0.0    77   107    30    60    22    71 0.83 -
80377at50557_35570_0:0015c0|STRG.19320.2:1668-2216|+  -            183 27737at50557         -            506     0.046   11.3   0.1   2   2    0.0017      0.14    9.8   0.0   185   213    67    95    62   100 0.89 -
80377at50557_35570_0:0015c0|STRG.19320.3:1872-2420|+  -            183 27737at50557         -            506     0.046   11.3   0.1   1   2       2.7   2.2e+02   -0.8   0.0    77   107    30    60    22    71 0.83 -
80377at50557_35570_0:0015c0|STRG.19320.3:1872-2420|+  -            183 27737at50557         -            506     0.046   11.3   0.1   2   2    0.0017      0.14    9.8   0.0   185   213    67    95    62   100 0.89 -
80377at50557_35570_0:0015c0|STRG.19320.5:2664-3212|+  -            183 27737at50557         -            506     0.046   11.3   0.1   1   2       2.7   2.2e+02   -0.8   0.0    77   107    30    60    22    71 0.83 -
80377at50557_35570_0:0015c0|STRG.19320.5:2664-3212|+  -            183 27737at50557         -            506     0.046   11.3   0.1   2   2    0.0017      0.14    9.8   0.0   185   213    67    95    62   100 0.89 -
80377at50557_35570_0:0015c0|STRG.19320.7:1467-2015|+  -            183 27737at50557         -            506     0.046   11.3   0.1   1   2       2.7   2.2e+02   -0.8   0.0    77   107    30    60    22    71 0.83 -
80377at50557_35570_0:0015c0|STRG.19320.7:1467-2015|+  -            183 27737at50557         -            506     0.046   11.3   0.1   2   2    0.0017      0.14    9.8   0.0   185   213    67    95    62   100 0.89 -
80377at50557_121845_0:0030d4|STRG.14099.1:183-851|+   -            223 27737at50557         -            506     0.057   11.0   0.0   1   2     0.071       5.7    4.4   0.0   187   217     3    33     1    39 0.92 -
80377at50557_121845_0:0030d4|STRG.14099.1:183-851|+   -            223 27737at50557         -            506     0.057   11.0   0.0   2   2     0.072       5.8    4.4   0.0    31   102   110   185   101   209 0.74 -
80377at50557_121845_0:0030d4|STRG.14099.2:183-851|+   -            223 27737at50557         -            506     0.057   11.0   0.0   1   2     0.071       5.7    4.4   0.0   187   217     3    33     1    39 0.92 -
80377at50557_121845_0:0030d4|STRG.14099.2:183-851|+   -            223 27737at50557         -            506     0.057   11.0   0.0   2   2     0.072       5.8    4.4   0.0    31   102   110   185   101   209 0.74 -
37475at50557_29031_0:002211|STRG.10865.2:371-796|+    -            142 27737at50557         -            506      0.11   10.1   0.0   1   2      0.34        28    2.2   0.0   193   230    16    53     8    58 0.83 -
37475at50557_29031_0:002211|STRG.10865.2:371-796|+    -            142 27737at50557         -            506      0.11   10.1   0.0   2   2     0.027       2.2    5.8   0.0   189   215   104   130    98   138 0.86 -
90358at50557_34720_0:001602|STRG.3347.1:104-1357|+    -            418 27737at50557         -            506      0.12   10.0   2.8   1   3       1.9   1.5e+02   -0.3   0.0    42    62   129   149   102   153 0.78 -
90358at50557_34720_0:001602|STRG.3347.1:104-1357|+    -            418 27737at50557         -            506      0.12   10.0   2.8   2   3       1.7   1.4e+02   -0.1   0.1    73   134   226   293   222   298 0.70 -
90358at50557_34720_0:001602|STRG.3347.1:104-1357|+    -            418 27737at50557         -            506      0.12   10.0   2.8   3   3    0.0061      0.49    8.0   0.1    13    96   326   415   316   418 0.71 -
69548at50557_103372_0:0010c7|STRG.11797.2:794-2122|+  -            443 27737at50557         -            506      0.51    7.9   6.3   1   3     0.051       4.1    4.9   0.1    10    61   107   157    99   206 0.83 -
69548at50557_103372_0:0010c7|STRG.11797.2:794-2122|+  -            443 27737at50557         -            506      0.51    7.9   6.3   2   3     0.052       4.2    4.9   0.5    31    60   280   309   274   354 0.81 -
69548at50557_103372_0:0010c7|STRG.11797.2:794-2122|+  -            443 27737at50557         -            506      0.51    7.9   6.3   3   3       3.1   2.5e+02   -1.0   0.0    44    85   334   377   325   396 0.68 -
69548at50557_103372_0:0010c7|STRG.11797.3:781-2109|+  -            443 27737at50557         -            506      0.51    7.9   6.3   1   3     0.051       4.1    4.9   0.1    10    61   107   157    99   206 0.83 -
69548at50557_103372_0:0010c7|STRG.11797.3:781-2109|+  -            443 27737at50557         -            506      0.51    7.9   6.3   2   3     0.052       4.2    4.9   0.5    31    60   280   309   274   354 0.81 -
69548at50557_103372_0:0010c7|STRG.11797.3:781-2109|+  -            443 27737at50557         -            506      0.51    7.9   6.3   3   3       3.1   2.5e+02   -1.0   0.0    44    85   334   377   325   396 0.68 -
69548at50557_103372_0:0010c7|STRG.11797.4:390-1718|+  -            443 27737at50557         -            506      0.51    7.9   6.3   1   3     0.051       4.1    4.9   0.1    10    61   107   157    99   206 0.83 -
69548at50557_103372_0:0010c7|STRG.11797.4:390-1718|+  -            443 27737at50557         -            506      0.51    7.9   6.3   2   3     0.052       4.2    4.9   0.5    31    60   280   309   274   354 0.81 -
69548at50557_103372_0:0010c7|STRG.11797.4:390-1718|+  -            443 27737at50557         -            506      0.51    7.9   6.3   3   3       3.1   2.5e+02   -1.0   0.0    44    85   334   377   325   396 0.68 -
69548at50557_103372_0:0010c7|STRG.11797.5:1125-2453|+ -            443 27737at50557         -            506      0.51    7.9   6.3   1   3     0.051       4.1    4.9   0.1    10    61   107   157    99   206 0.83 -
69548at50557_103372_0:0010c7|STRG.11797.5:1125-2453|+ -            443 27737at50557         -            506      0.51    7.9   6.3   2   3     0.052       4.2    4.9   0.5    31    60   280   309   274   354 0.81 -
69548at50557_103372_0:0010c7|STRG.11797.5:1125-2453|+ -            443 27737at50557         -            506      0.51    7.9   6.3   3   3       3.1   2.5e+02   -1.0   0.0    44    85   334   377   325   396 0.68 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/27737at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/27737at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/27737at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:05:12 2024
# [ok]
