#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107413at50557_103372_0:00285a|STRG.7846.1:151-1050|+   -            300 107413at50557        -             88     3e-35  119.5   2.5   1   1   2.3e-36   1.9e-34  116.9   2.5     1    88   182   288   182   288 0.85 -
98621at50557_136037_0:0009c4|STRG.5443.3:6-554|+       -            183 107413at50557        -             88    0.0007   19.0   0.4   1   2       4.1   3.3e+02    0.8   0.0    20    36     4    20     2    37 0.79 -
98621at50557_136037_0:0009c4|STRG.5443.3:6-554|+       -            183 107413at50557        -             88    0.0007   19.0   0.4   2   2   7.4e-05     0.006   16.0   0.0    26    53   154   181   137   183 0.82 -
107413at50557_77166_0:001c77|STRG.10915.1:1595-2287|+  -            231 107413at50557        -             88   0.00084   18.7   3.0   1   1   0.00054     0.044   13.2   3.0    28    71   167   211   120   227 0.74 -
107413at50557_77166_0:001c77|STRG.10915.2:1621-2313|+  -            231 107413at50557        -             88   0.00084   18.7   3.0   1   1   0.00054     0.044   13.2   3.0    28    71   167   211   120   227 0.74 -
17536at50557_326594_0:00071c|STRG.10734.2:6707-7915|+  -            403 107413at50557        -             88     0.019   14.4   0.0   1   1   0.00078     0.064   12.7   0.0    40    87   345   398   294   399 0.76 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/107413at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/107413at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/107413at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:02:11 2024
# [ok]
